name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
"A Tow Truck LLC, Fairbanks, AK Towing & Recovery",(907) 378-9093,,,,,,AK,,4.9,42,Towing service,,,"https://www.google.com/maps/place/A+Tow+Truck+LLC,+Fairbanks,+AK+Towing+%26+Recovery/data=!4m7!3m6!1s0x298580317ac02b27:0x395eab571743dd44!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11y9rbqq77!19sChIJJyvAejGAhSkRRN1DF1erXjk?authuser=0&hl=en&rclk=1",auto repair shop,Yukon-Koyukuk Census Area,county,AK,2026-07-09T16:33:40,0x298580317ac02b27:0x395eab571743dd44
A&A Mobile Auto Repair,(907) 209-8425,,,,,,AK,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/A%26A+Mobile+Auto+Repair/data=!4m7!3m6!1s0x5400df82ed9b9e11:0xd827580227a65cf2!8m2!3d58.3813339!4d-134.1970811!16s%2Fg%2F11ckr7y8pz!19sChIJEZ6b7YLfAFQR8lymJwJYJ9g?authuser=0&hl=en&rclk=1,auto repair shop,Hoonah-Angoon Census Area,county,AK,2026-07-21T09:58:33,0x5400df82ed9b9e11:0xd827580227a65cf2
AK Adrenaline,(907) 513-7761,https://www.akadrenaline.com/,,"Kenai, AK 99611, United States",,,AK,,,,Mechanic,,,https://www.google.com/maps/place/AK+Adrenaline/data=!4m7!3m6!1s0x56c67b92879e6a25:0x15829c9810e2f092!8m2!3d60.5549114!4d-151.2597038!16s%2Fg%2F11twv4clb_!19sChIJJWqeh5J7xlYRkvDiEJicghU?authuser=0&hl=en&rclk=1,auto repair shop,Kenai Peninsula Borough,county,AK,2026-07-21T10:16:44,0x56c67b92879e6a25:0x15829c9810e2f092
Aiden's Auto Care LLC,(907) 209-5737,http://aidensautocare.com/,,,,,AK,,5.0,14,Oil change service,,,https://www.google.com/maps/place/Aiden%27s+Auto+Care+LLC/data=!4m7!3m6!1s0x8f646c235bb74313:0x31a2aafe16c98a6b!8m2!3d58.3833216!4d-134.1957194!16s%2Fg%2F11ypxgky_t!19sChIJE0O3WyNsZI8Ra4rJFv6qojE?authuser=0&hl=en&rclk=1,auto repair shop,Hoonah-Angoon Census Area,county,AK,2026-07-21T09:58:33,0x8f646c235bb74313:0x31a2aafe16c98a6b
Alaska Auto Rental,(907) 457-7368,http://www.alaskaautorental.com/denali-rental-cars,,,,,AK,,5.0,1,Car rental agency,,,https://www.google.com/maps/place/Alaska+Auto+Rental/data=!4m7!3m6!1s0x56cd25f44ad88ced:0x18e25cc24048172f!8m2!3d61.307439!4d-158.813174!16s%2Fg%2F11b6ylgvdn!19sChIJ7YzYSvQlzVYRLxdIQMJc4hg?authuser=0&hl=en&rclk=1,auto repair shop,Denali Borough,county,AK,2026-07-21T09:38:11,0x56cd25f44ad88ced:0x18e25cc24048172f
Alaska Tire and Auto,(907) 345-5935,,,"Anchorage, AK 99515, United States",,,AK,,5.0,6,Auto repair shop,,,https://www.google.com/maps/place/Alaska+Tire+and+Auto/data=!4m7!3m6!1s0x56c899007fd93d2f:0x2a9d706c1c473829!8m2!3d61.1055166!4d-149.8588113!16s%2Fg%2F11xsfjy8w8!19sChIJLz3ZfwCZyFYRKThHHGxwnSo?authuser=0&hl=en&rclk=1,auto repair shop,Anchorage,city,AK,2026-07-21T10:49:41,0x56c899007fd93d2f:0x2a9d706c1c473829
All About Details,(907) 821-4131,http://www.harveybuffs.com/,,,,,AK,,4.9,33,Car detailing service,,,https://www.google.com/maps/place/All+About+Details/data=!4m7!3m6!1s0x540c2773ae05b93b:0x9e4ae1c18093499f!8m2!3d55.3537316!4d-131.6571996!16s%2Fg%2F11h18l3gc9!19sChIJO7kFrnMnDFQRn0mTgMHhSp4?authuser=0&hl=en&rclk=1,auto repair shop,Ketchikan Gateway Borough,county,AK,2026-07-21T10:20:08,0x540c2773ae05b93b:0x9e4ae1c18093499f
Auto Hobby Shop,,http://www.kodiakmwr.com/auto.shtml,,"Kodiak, AK 99615, United States",,,AK,,4.8,5,Auto repair shop,,,https://www.google.com/maps/place/Auto+Hobby+Shop/data=!4m7!3m6!1s0x56eaddd6fe0016ad:0x2f06ab057a34607f!8m2!3d57.7302106!4d-152.5125214!16s%2Fg%2F11rxzfs28s!19sChIJrRYA_tbd6lYRf2A0egWrBi8?authuser=0&hl=en&rclk=1,auto repair shop,Kodiak Island Borough,county,AK,2026-07-21T10:21:43,0x56eaddd6fe0016ad:0x2f06ab057a34607f
AutoScott Services LLC,(907) 687-5130,https://autoscottservices.com/,,,,,AK,,5.0,11,Snow removal service,,,https://www.google.com/maps/place/AutoScott+Services+LLC/data=!4m7!3m6!1s0x51324d821d8bd375:0xd626126cf855f5bc!8m2!3d64.8163815!4d-147.716204!16s%2Fg%2F11mp8gd0k2!19sChIJddOLHYJNMlERvPVV-GwSJtY?authuser=0&hl=en&rclk=1,auto repair shop,Yukon-Koyukuk Census Area,county,AK,2026-07-09T16:33:37,0x51324d821d8bd375:0xd626126cf855f5bc
Backcountry Towing and Recovery,(907) 723-1519,,,,,,AK,,5.0,2,Towing service,,,https://www.google.com/maps/place/Backcountry+Towing+and+Recovery/data=!4m7!3m6!1s0x27dbf064271e9f63:0xef9561ed368bf44f!8m2!3d58.3833216!4d-134.1957194!16s%2Fg%2F11ww6mcplq!19sChIJY58eJ2Tw2ycRT_SLNu1hle8?authuser=0&hl=en&rclk=1,auto repair shop,Hoonah-Angoon Census Area,county,AK,2026-07-21T09:58:33,0x27dbf064271e9f63:0xef9561ed368bf44f
