name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
360 Diamond Diesel Repair,(479) 297-1496,https://www.360diamonddieselrepair.com/,,,,,AR,,4.8,51,Mechanic,,,https://www.google.com/maps/place/360+Diamond+Diesel+Repair/data=!4m7!3m6!1s0x87cbb9a5cb4764f9:0x72ac106a11142706!8m2!3d35.832475!4d-93.9824755!16s%2Fg%2F11sy40qzxb!19sChIJ-WRHy6W5y4cRBicUEWoQrHI?authuser=0&hl=en&rclk=1,auto repair shop,Sebastian County,county,AR,2026-07-22T03:56:07,0x87cbb9a5cb4764f9:0x72ac106a11142706
A Call Away Mobile Mechanic,(501) 448-6932,,,,,,AR,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/A+Call+Away+Mobile+Mechanic/data=!4m7!3m6!1s0x866273927082d487:0x1312687ce4bde8f1!8m2!3d34.6209374!4d-92.4789055!16s%2Fg%2F11xw1mfll9!19sChIJh9SCcJJzYoYR8ei95HxoEhM?authuser=0&hl=en&rclk=1,auto repair shop,Saline County,county,AR,2026-07-22T03:38:01,0x866273927082d487:0x1312687ce4bde8f1
A+ Auto Glass,(501) 491-9373,,,,,,AR,,5.0,2,Auto glass repair service,,,https://www.google.com/maps/place/A%2B+Auto+Glass/data=!4m7!3m6!1s0x4a372f5140181347:0x4eb0f317ea5dfdea!8m2!3d34.4929284!4d-93.057079!16s%2Fg%2F11z075rx51!19sChIJRxMYQFEvN0oR6v1d6hfzsE4?authuser=0&hl=en&rclk=1,auto repair shop,Garland County,county,AR,2026-07-10T17:29:39,0x4a372f5140181347:0x4eb0f317ea5dfdea
Affordable Window Tinting,(501) 606-0436,,,,,,AR,,4.4,79,Window tinting service,,,https://www.google.com/maps/place/Affordable+Window+Tinting/data=!4m7!3m6!1s0x87d2a4890e7a9475:0x89e73975e80419d8!8m2!3d33.76426!4d-93.542309!16s%2Fg%2F11f01tll3p!19sChIJdZR6Domk0ocR2BkE6HU554k?authuser=0&hl=en&rclk=1,auto repair shop,Perry County,county,AR,2026-07-10T20:11:24,0x87d2a4890e7a9475:0x89e73975e80419d8
Alan’s Diesel & Auto Quality Repair,(870) 664-1591,https://alansdieselandauto.com/,,,,,AR,,5.0,10,Mechanic,,,https://www.google.com/maps/place/Alan%E2%80%99s+Diesel+%26+Auto+Quality+Repair/data=!4m7!3m6!1s0x41b33d2cce01e379:0x16d2633fcbafb050!8m2!3d35.248574!4d-92.9594424!16s%2Fg%2F11l1ff7gzy!19sChIJeeMBziw9s0ERULCvyz9j0hY?authuser=0&hl=en&rclk=1,auto repair shop,Pope County,county,AR,2026-07-10T20:46:19,0x41b33d2cce01e379:0x16d2633fcbafb050
Amish Auto & Exhaust,,,,"Sheridan, AR 72150, United States",,,AR,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Amish+Auto+%26+Exhaust/data=!4m7!3m6!1s0x862d577ebd3e1fed:0xe2db5be074ed322b!8m2!3d34.3115636!4d-92.4166253!16s%2Fg%2F11vylwswbw!19sChIJ7R8-vX5XLYYRKzLtdOBb2-I?authuser=0&hl=en&rclk=1,auto repair shop,Grant County,county,AR,2026-07-22T00:01:40,0x862d577ebd3e1fed:0xe2db5be074ed322b
Andy's Mobile Auto Repair,(501) 703-3262,https://andysmobileautorep.wixsite.com/andysmobileautorepai,,,,,AR,,4.9,249,Mechanic,,,https://www.google.com/maps/place/Andy%27s+Mobile+Auto+Repair/data=!4m7!3m6!1s0x6cd383340f7168b1:0xc24392fa6248419a!8m2!3d34.9476105!4d-91.9980875!16s%2Fg%2F11lcsdycyn!19sChIJsWhxDzSD02wRmkFIYvqSQ8I?authuser=0&hl=en&rclk=1,auto repair shop,Arkansas County,county,AR,2026-07-21T20:14:00,0x6cd383340f7168b1:0xc24392fa6248419a
Arkansas 24/7 Truck & Trailer Repair,(501) 710-8428,https://www.arkansastrucktrailerrepair.com/,,,,,AR,,5.0,18,Diesel engine repair service,,,https://www.google.com/maps/place/Arkansas+24%2F7+Truck+%26+Trailer+Repair/data=!4m7!3m6!1s0x87d4efc02540fe25:0xf2b87af1d81a9a92!8m2!3d35.3760766!4d-90.6692695!16s%2Fg%2F11yx4kk_qy!19sChIJJf5AJcDv1IcRkpoa2PF6uPI?authuser=0&hl=en&rclk=1,auto repair shop,Lee County,county,AR,2026-07-22T01:10:17,0x87d4efc02540fe25:0xf2b87af1d81a9a92
Arkansas LockTech LLC,(870) 888-8911,http://www.arkansaslocktech.com/,,,,,AR,,5.0,20,Emergency locksmith service,,,https://www.google.com/maps/place/Arkansas+LockTech+LLC/data=!4m7!3m6!1s0xacbed6b1159ee587:0x1a2e30c22981aab3!8m2!3d34.2482285!4d-92.9380804!16s%2Fg%2F11wp9lh9bf!19sChIJh-WeFbHWvqwRs6qBKcIwLho?authuser=0&hl=en&rclk=1,auto repair shop,Clark County,county,AR,2026-07-21T21:45:43,0xacbed6b1159ee587:0x1a2e30c22981aab3
Arkansas Power Washing And Painting Llc,,,,"Mountain Home, AR 72653, United States",,,AR,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Arkansas+Power+Washing+And+Painting+Llc/data=!4m7!3m6!1s0x87d1d956dae78731:0x9ff9e714c3b6aa92!8m2!3d36.3336296!4d-92.3855577!16s%2Fg%2F11z8p8d823!19sChIJMYfn2lbZ0YcRkqq2wxTn-Z8?authuser=0&hl=en&rclk=1,auto repair shop,Baxter County,county,AR,2026-07-21T20:37:48,0x87d1d956dae78731:0x9ff9e714c3b6aa92
