name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Arlington Autocare,(703) 247-3060,https://www.arlingtonautocare.com/,,"3298 Wilson Blvd, Arlington, VA 22201, United States",3298 Wilson Blvd,Arlington,VA,22201,4.4,1190,Auto repair shop,,,https://www.google.com/maps/place/Arlington+Autocare/data=!4m7!3m6!1s0x89b7b68311402521:0x2f4360710096969a!8m2!3d38.8840312!4d-77.0986548!16s%2Fg%2F1vgx1n77!19sChIJISVAEYO2t4kRmpaWAHFgQy8?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-15T06:55:56,0x89b7b68311402521:0x2f4360710096969a
Baird Automotive,(703) 527-1770,http://www.bairdautomotive.com/,,"3427 Washington Blvd, Arlington, VA 22201, United States",3427 Washington Blvd,Arlington,VA,22201,4.6,124,Auto repair shop,,,https://www.google.com/maps/place/Baird+Automotive/data=!4m7!3m6!1s0x89b7b6826e8974d1:0x773bca4b63757f35!8m2!3d38.8861863!4d-77.1015041!16s%2Fg%2F1thqbrbq!19sChIJ0XSJboK2t4kRNX91Y0vKO3c?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-15T07:00:52,0x89b7b6826e8974d1:0x773bca4b63757f35
Capitol Auto Land Inc,(703) 998-0207,https://capitolautoland.com/,,"2427 Shirlington Rd, Arlington, VA 22206, United States",2427 Shirlington Rd,Arlington,VA,22206,4.9,1739,Auto repair shop,,,https://www.google.com/maps/place/Capitol+Auto+Land+Inc/data=!4m7!3m6!1s0x89b7b14e16ff9da9:0x28fff69234d956d7!8m2!3d38.8475601!4d-77.083617!16s%2Fg%2F1thcnnxr!19sChIJqZ3_Fk6xt4kR11bZNJL2_yg?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7b14e16ff9da9:0x28fff69234d956d7
Clarendon Tire,(703) 524-7622,http://clarendontire.com/,,"3237 Wilson Blvd, Arlington, VA 22201, United States",3237 Wilson Blvd,Arlington,VA,22201,4.9,1229,Tire shop,,,https://www.google.com/maps/place/Clarendon+Tire/data=!4m7!3m6!1s0x89b7b6839f1a4225:0x5a11a1b2f7541b83!8m2!3d38.885212!4d-77.098175!16s%2Fg%2F1hc3sgj28!19sChIJJUIan4O2t4kRgxtU97KhEVo?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-23T01:52:22,0x89b7b6839f1a4225:0x5a11a1b2f7541b83
E & D International Auto Repair Alignment & Towing Service,(571) 319-0418,https://ed-auto.com/,,"3800 S Four Mile Run Dr Suit F, Arlington, VA 22206, United States",3800 S Four Mile Run Dr Suit F,Arlington,VA,22206,4.4,282,Auto repair shop,,,https://www.google.com/maps/place/E+%26+D+International+Auto+Repair+Alignment+%26+Towing+Service/data=!4m7!3m6!1s0x89b7b14e1656dd7d:0x5faa81af69ee195e!8m2!3d38.8447019!4d-77.0900898!16s%2Fg%2F1260bll_n!19sChIJfd1WFk6xt4kRXhnuaa-Bql8?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-15T06:55:56,0x89b7b14e1656dd7d:0x5faa81af69ee195e
Jim’s Automotive,(703) 931-9431,https://www.autorepairarlingtonva.com/,,"4961 10th St S, Arlington, VA 22204, United States",4961 10th St S,Arlington,VA,22204,4.9,164,Auto repair shop,,,https://www.google.com/maps/place/Jim%E2%80%99s+Automotive/data=!4m7!3m6!1s0x89b7b406ff83658f:0x293ef963e96641c1!8m2!3d38.8559196!4d-77.1110102!16s%2Fg%2F1tld11nv!19sChIJj2WD_wa0t4kRwUFm6WP5Pik?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7b406ff83658f:0x293ef963e96641c1
Auto Shop Service LLC,(301) 336-5623,,,"6615 Central Ave, Capitol Heights, MD 20743, United States",6615 Central Ave,Capitol Heights,MD,20743,4.9,117,Auto repair shop,,,https://www.google.com/maps/place/Auto+Shop+Service+LLC/data=!4m7!3m6!1s0x89b7c717e34f0f77:0x2882d6a8f917cc37!8m2!3d38.8870722!4d-76.8922128!16s%2Fg%2F11f2pj90r8!19sChIJdw9P4xfHt4kRN8wX-ajWgig?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c717e34f0f77:0x2882d6a8f917cc37
M & D Auto Repair,(240) 510-3738,http://md-auto-repair.com/,,"10 Uline Ave, Capitol Heights, MD 20743, United States",10 Uline Ave,Capitol Heights,MD,20743,4.0,59,Car repair and maintenance service,,,https://www.google.com/maps/place/M+%26+D+Auto+Repair/data=!4m7!3m6!1s0x89b7bfb6ccb1f7dd:0xf8ff19e6625d2d6f!8m2!3d38.8857837!4d-76.9082307!16s%2Fg%2F11clytvzy5!19sChIJ3fexzLa_t4kRby1dYuYZ__g?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-15T06:55:56,0x89b7bfb6ccb1f7dd:0xf8ff19e6625d2d6f
QR AUTO CLINIC LLC,(301) 333-2886,https://qrautoclinic23.base44.app/,,"23 Hampton Park Blvd, Capitol Heights, MD 20743, United States",23 Hampton Park Blvd,Capitol Heights,MD,20743,4.3,131,Auto repair shop,,,https://www.google.com/maps/place/QR+AUTO+CLINIC+LLC/data=!4m7!3m6!1s0x89b7bf964c2440bb:0x9f617fac365fc6d1!8m2!3d38.889674!4d-76.853973!16s%2Fg%2F11ghfbktzy!19sChIJu0AkTJa_t4kR0cZfNqx_YZ8?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-15T06:55:56,0x89b7bf964c2440bb:0x9f617fac365fc6d1
YBE Auto Repair Center,(202) 455-3822,https://ybe-auto-repair-shop.square.site/,,"8632 Edgeworth Dr, Capitol Heights, MD 20743, United States",8632 Edgeworth Dr,Capitol Heights,MD,20743,4.8,29,Auto repair shop,,,https://www.google.com/maps/place/YBE+Auto+Repair+Center/data=!4m7!3m6!1s0x89b7b7f100000001:0x2b9c4391cd42e4e4!8m2!3d38.8809343!4d-76.856519!16s%2Fg%2F1vzn6g1t!19sChIJAQAAAPG3t4kR5ORCzZFDnCs?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7b7f100000001:0x2b9c4391cd42e4e4
