name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
(A mobile mechanic)Coastal Mobile Auto Repair LLC,(772) 971-9651,https://www.facebook.com/CMARMobileMechanic/,,,,,FL,,5.0,36,Mechanic,,,https://www.google.com/maps/place/%28A+mobile+mechanic%29Coastal+Mobile+Auto+Repair+LLC/data=!4m7!3m6!1s0xa6b3ab7996cc37c9:0x54ee3d03eda9cbeb!8m2!3d27.4415055!4d-80.3924825!16s%2Fg%2F11vq_p0qcg!19sChIJyTfMlnmrs6YR68up7QM97lQ?authuser=0&hl=en&rclk=1,auto repair shop,St. Lucie County,county,FL,2026-07-15T14:11:18,0xa6b3ab7996cc37c9:0x54ee3d03eda9cbeb
21auto - Jacksonville,(833) 438-2121,https://www.21auto.io/,,,,,FL,,5.0,6,Car repair and maintenance service,,,https://www.google.com/maps/place/21auto+-+Jacksonville/data=!4m7!3m6!1s0x2c70cbd6640aa491:0x7e5d407de6c949b5!8m2!3d30.0586716!4d-81.575793!16s%2Fg%2F11vdh6bhpb!19sChIJkaQKZNbLcCwRtUnJ5n1AXX4?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-23T09:45:08,0x2c70cbd6640aa491:0x7e5d407de6c949b5
24 Hour Tire & Repair,(850) 693-5165,https://www.twenty4hrtire.com/,,,,,FL,,5.0,3,Tire service,,,https://www.google.com/maps/place/24+Hour+Tire+%26+Repair/data=!4m7!3m6!1s0x8892d7118b72fa5b:0xd6bc7978d2cf4075!8m2!3d30.882549!4d-85.0439205!16s%2Fg%2F11xkrznw6g!19sChIJW_pyixHXkogRdUDP0nh5vNY?authuser=0&hl=en&rclk=1,auto repair shop,Jackson County,county,FL,2026-07-15T11:32:36,0x8892d7118b72fa5b:0xd6bc7978d2cf4075
24 Hr Advance Mobile Repairs,(352) 647-7814,,,,,,FL,,4.6,29,Mechanic,,,https://www.google.com/maps/place/24+Hr+Advance+Mobile+Repairs/data=!4m7!3m6!1s0x2175123c707b80b5:0x47f3db545d62ef26!8m2!3d29.8322945!4d-82.3797429!16s%2Fg%2F11l6dvqm9r!19sChIJtYB7cDwSdSERJu9iXVTb80c?authuser=0&hl=en&rclk=1,auto repair shop,Bradford County,county,FL,2026-07-15T08:29:18,0x2175123c707b80b5:0x47f3db545d62ef26
592 MOBILE MECHANIC SERVICE LLC,(216) 618-0389,,,,,,FL,,4.9,355,Mechanic,,,https://www.google.com/maps/place/592+MOBILE+MECHANIC+SERVICE+LLC/data=!4m7!3m6!1s0x88dd711199802425:0xed912fee1119099f!8m2!3d28.2361725!4d-81.6170006!16s%2Fg%2F11rh096xtl!19sChIJJSSAmRFx3YgRnwkZEe4vke0?authuser=0&hl=en&rclk=1,auto repair shop,Polk County,county,FL,2026-07-15T13:46:10,0x88dd711199802425:0xed912fee1119099f
904 Mobile Auto Repair LLC,(904) 684-9034,http://www.904mobileautorepair.com/,,,,,FL,,4.9,49,Mechanic,,,https://www.google.com/maps/place/904+Mobile+Auto+Repair+LLC/data=!4m7!3m6!1s0x46bd4c18b02f1085:0xb9287f42a6bbd8cb!8m2!3d30.3164717!4d-81.683107!16s%2Fg%2F11xt2slk2z!19sChIJhRAvsBhMvUYRy9i7pkJ_KLk?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:06,0x46bd4c18b02f1085:0xb9287f42a6bbd8cb
A Helping Hand Roadside Assistance asap Towing,(904) 924-4181,https://a-helping-hand-roadside-assistance.webflow.io/,,,,,FL,,4.9,75,Towing service,,,https://www.google.com/maps/place/A+Helping+Hand+Roadside+Assistance+asap+Towing/data=!4m7!3m6!1s0xebf59d3186fd0bd:0xa308b8a0df326596!8m2!3d30.2215214!4d-81.6576015!16s%2Fg%2F11k57jc_lg!19sChIJvdBvGNNZvw4RlmUy36C4CKM?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:07,0xebf59d3186fd0bd:0xa308b8a0df326596
A&P Mobile Auto Service,(386) 585-3282,http://www.apmobileautoservice.com/,,,,,FL,,4.9,68,Car repair and maintenance service,,,https://www.google.com/maps/place/A%26P+Mobile+Auto+Service/data=!4m7!3m6!1s0x88e6946e6d1db56f:0xeef56a220fb7de8d!8m2!3d29.5469935!4d-81.23042!16s%2Fg%2F11g8bb17mr!19sChIJb7UdbW6U5ogRjd63DyJq9e4?authuser=0&hl=en&rclk=1,auto repair shop,Flagler County,county,FL,2026-07-23T05:13:45,0x88e6946e6d1db56f:0xeef56a220fb7de8d
A&T Automotive Repairs LLC,(352) 772-1010,,,,,,FL,,5.0,5,Mechanic,,,https://www.google.com/maps/place/A%26T+Automotive+Repairs+LLC/data=!4m7!3m6!1s0x22068750db1627b5:0xb106c518017326ae!8m2!3d29.0631944!4d-81.917093!16s%2Fg%2F11njtqbb2g!19sChIJtScW21CHBiIRriZzARjFBrE?authuser=0&hl=en&rclk=1,auto repair shop,Gilchrist County,county,FL,2026-07-23T05:39:27,0x22068750db1627b5:0xb106c518017326ae
A-Asap Roadside Service,(561) 308-6424,,,,,,FL,,5.0,2,Mechanic,,,https://www.google.com/maps/place/A-Asap+Roadside+Service/data=!4m7!3m6!1s0x2074b02a7fd2a2cd:0xd5476a93d9e3717f!8m2!3d30.0621285!4d-82.617773!16s%2Fg%2F11mt5w1ymc!19sChIJzaLSfyqwdCARf3Hj2ZNqR9U?authuser=0&hl=en&rclk=1,auto repair shop,Suwannee County,county,FL,2026-07-15T14:37:44,0x2074b02a7fd2a2cd:0xd5476a93d9e3717f
A2Z Automotive,(352) 388-7169,,,,,,FL,,5.0,3,Car repair and maintenance service,,,https://www.google.com/maps/place/A2Z+Automotive/data=!4m7!3m6!1s0x88e60f4d6f1ff8f5:0x205a9625ae9e091b!8m2!3d30.0864725!4d-81.8737525!16s%2Fg%2F11h1rzsnx0!19sChIJ9fgfb00P5ogRGwmeriWWWiA?authuser=0&hl=en&rclk=1,auto repair shop,Bradford County,county,FL,2026-07-15T08:29:18,0x88e60f4d6f1ff8f5:0x205a9625ae9e091b
AA trust Roadside Assistant Services,(386) 372-8412,https://www.aatrustroadside.com/,,,,,FL,,5.0,35,Tire service,,,https://www.google.com/maps/place/AA+trust+Roadside+Assistant+Services/data=!4m7!3m6!1s0x26f4afe2fc9638bd:0x32f1f3382d715b11!8m2!3d29.703564!4d-81.4584715!16s%2Fg%2F11yfg8nh0y!19sChIJvTiW_OKv9CYREVtxLTjz8TI?authuser=0&hl=en&rclk=1,auto repair shop,Flagler County,county,FL,2026-07-23T05:13:45,0x26f4afe2fc9638bd:0x32f1f3382d715b11
AB Mobile Mechanics,(850) 261-3963,,,,,,FL,,4.4,63,Car repair and maintenance service,,,https://www.google.com/maps/place/AB+Mobile+Mechanics/data=!4m7!3m6!1s0x8890ef2c83519c23:0x88f58df8c0eb8a58!8m2!3d30.508778!4d-87.1402145!16s%2Fg%2F1v2jdpjz!19sChIJI5xRgyzvkIgRWIrrwPiN9Yg?authuser=0&hl=en&rclk=1,auto repair shop,Santa Rosa County,county,FL,2026-07-23T11:41:38,0x8890ef2c83519c23:0x88f58df8c0eb8a58
AMA Auto Masters,(904) 780-1092,,,,,,FL,,5.0,2,Mechanic,,,https://www.google.com/maps/place/AMA+Auto+Masters/data=!4m7!3m6!1s0x4b10aedb181a34f3:0xe68e767619ded749!8m2!3d30.5516306!4d-81.6983446!16s%2Fg%2F11vr_nrq78!19sChIJ8zQaGNuuEEsRSdfeGXZ2juY?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-23T09:45:08,0x4b10aedb181a34f3:0xe68e767619ded749
Aaron's Mobile Auto Repair,(850) 703-9023,,,,,,FL,,4.1,42,Car repair and maintenance service,,,https://www.google.com/maps/place/Aaron%27s+Mobile+Auto+Repair/data=!4m7!3m6!1s0x889371c7dadca08b:0xc4bf496d501b5a68!8m2!3d30.3967524!4d-85.484754!16s%2Fg%2F11dz_1mbt2!19sChIJi6Dc2sdxk4gRaFobUG1Jv8Q?authuser=0&hl=en&rclk=1,auto repair shop,Calhoun County,county,FL,2026-07-15T08:50:17,0x889371c7dadca08b:0xc4bf496d501b5a68
Ackerman's 24 Hour Tire & Road Service,(386) 406-5779,,,,,,FL,,4.7,41,Wheel store,,,https://www.google.com/maps/place/Ackerman%27s+24+Hour+Tire+%26+Road+Service/data=!4m7!3m6!1s0x88ef3ac564a098c1:0x608e3ef3a7c68799!8m2!3d29.6988055!4d-83.804601!16s%2Fg%2F11g9mhdj7j!19sChIJwZigZMU674gRmYfGp_M-jmA?authuser=0&hl=en&rclk=1,auto repair shop,Suwannee County,county,FL,2026-07-15T14:37:44,0x88ef3ac564a098c1:0x608e3ef3a7c68799
Act 1 Mobile Auto Repair LLC,(904) 450-2654,https://www.facebook.com/ACT1-24HR-Auto-Repair-1621023584854382/,,,,,FL,,5.0,14,Car repair and maintenance service,,,https://www.google.com/maps/place/Act+1+Mobile+Auto+Repair+LLC/data=!4m7!3m6!1s0x88e5b5e0936dda27:0x1637217054994a28!8m2!3d30.0455285!4d-81.546127!16s%2Fg%2F11jclfg2l2!19sChIJJ9ptk-C15YgRKEqZVHAhNxY?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:07,0x88e5b5e0936dda27:0x1637217054994a28
Adam's Auto Aid Mobile Mechanic Jacksonville,(904) 951-4460,https://www.adamsautoaid.com/,,,,,FL,,4.9,75,Car repair and maintenance service,,,https://www.google.com/maps/place/Adam%27s+Auto+Aid+Mobile+Mechanic+Jacksonville/data=!4m7!3m6!1s0x88e5cb71d322d63b:0xde799980d5722bec!8m2!3d30.34499!4d-81.683107!16s%2Fg%2F11r7pjw5t7!19sChIJO9Yi03HL5YgR7Cty1YCZed4?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:07,0x88e5cb71d322d63b:0xde799980d5722bec
Affordable Roadside and Lockout Services LLC,(850) 532-0864,https://affordableroadsideandlockout.carrd.co/,,,,,FL,,5.0,12,Towing service,,,https://www.google.com/maps/place/Affordable+Roadside+and+Lockout+Services+LLC/data=!4m7!3m6!1s0x8383e1399708216b:0x8ea35d92482f92d2!8m2!3d28.002553!4d-81.61864!16s%2Fg%2F11n452ckfn!19sChIJayEIlznhg4MR0pIvSJJdo44?authuser=0&hl=en&rclk=1,auto repair shop,Calhoun County,county,FL,2026-07-23T03:58:09,0x8383e1399708216b:0x8ea35d92482f92d2
Afsar Mobile Auto Mechanic,(888) 581-6820,https://www.afsarmobilemechanic.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7669923294350528580,,,,,FL,,4.9,16,Mechanic,,,https://www.google.com/maps/place/Afsar+Mobile+Auto+Mechanic/data=!4m7!3m6!1s0x4a86e617572ab1a1:0x128bd350a8e6a3a6!8m2!3d30.34499!4d-81.683107!16s%2Fg%2F11w8tw568r!19sChIJobEqVxfmhkoRpqPmqFDTixI?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:07,0x4a86e617572ab1a1:0x128bd350a8e6a3a6
Al Nunes Mobile Mechanic,(850) 583-9455,https://mobilemechanicpensacolafl.com/,,,,,FL,,4.4,17,Car repair and maintenance service,,,https://www.google.com/maps/place/Al+Nunes+Mobile+Mechanic/data=!4m7!3m6!1s0x817515f24a1dd617:0x91383d4a5083dea!8m2!3d30.4368739!4d-87.1932026!16s%2Fg%2F11w3f1_z1v!19sChIJF9YdSvIVdYER6j0IpdSDEwk?authuser=0&hl=en&rclk=1,auto repair shop,Santa Rosa County,county,FL,2026-07-23T11:41:38,0x817515f24a1dd617:0x91383d4a5083dea
