name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
2Bros Repair Services LLC,(208) 219-8818,,,,,,ID,,5.0,1,Mechanic,,,https://www.google.com/maps/place/2Bros+Repair+Services+LLC/data=!4m7!3m6!1s0x8ea20988fe5edd0d:0x2880e90645283e61!8m2!3d42.2886055!4d-111.2813945!16s%2Fg%2F11xn53prwv!19sChIJDd1e_ogJoo4RYT4oRQbpgCg?authuser=0&hl=en&rclk=1,auto repair shop,Bear Lake County,county,ID,2026-07-24T11:20:26,0x8ea20988fe5edd0d:0x2880e90645283e61
AbbA Towing & Off Road Recovery LLC,(208) 721-7028,,,"Bellevue, ID 83313, United States",,,ID,,4.4,32,Towing service,,,https://www.google.com/maps/place/AbbA+Towing+%26+Off+Road+Recovery+LLC/data=!4m7!3m6!1s0x54abd3d1ace867e5:0x8f40da87e7572936!8m2!3d43.4701095!4d-114.2630498!16s%2Fg%2F11w3c7nk4t!19sChIJ5WforNHTq1QRNilX54faQI8?authuser=0&hl=en&rclk=1,auto repair shop,Camas County,county,ID,2026-07-24T10:44:20,0x54abd3d1ace867e5:0x8f40da87e7572936
Active Auto Care,(208) 298-7261,https://activeautocareid.com/,,,,,ID,,5.0,8,Mechanic,,,https://www.google.com/maps/place/Active+Auto+Care/data=!4m7!3m6!1s0x6ef2c598c49ca037:0x5c89b3fd7140104b!8m2!3d43.496229!4d-116.5037115!16s%2Fg%2F11yfrchfrh!19sChIJN6CcxJjF8m4RSxBAcf2ziVw?authuser=0&hl=en&rclk=1,auto repair shop,Canyon County,county,ID,2026-07-17T12:52:53,0x6ef2c598c49ca037:0x5c89b3fd7140104b
Anytime Auto Repair & 24hr Roadservice,(208) 761-5187,,,,,,ID,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/Anytime+Auto+Repair+%26+24hr+Roadservice/data=!4m7!3m6!1s0xd1e95612d22c42d:0x35d930cd18664769!8m2!3d43.4650457!4d-115.9971125!16s%2Fg%2F11yr472xh9!19sChIJLcQiLWGVHg0RaUdmGM0w2TU?authuser=0&hl=en&rclk=1,auto repair shop,Canyon County,county,ID,2026-07-17T12:52:53,0xd1e95612d22c42d:0x35d930cd18664769
Ark Auto & Small Engine Repair,(208) 500-4799,https://arkauto.co/,,,,,ID,,5.0,9,Mechanic,,,https://www.google.com/maps/place/Ark+Auto+%26+Small+Engine+Repair/data=!4m7!3m6!1s0x2f76c2d7b071b5cb:0xf0f66a254e677114!8m2!3d47.5009424!4d-116.0005509!16s%2Fg%2F11zj9l6v28!19sChIJy7VxsNfCdi8RFHFnTiVq9vA?authuser=0&hl=en&rclk=1,auto repair shop,Shoshone County,county,ID,2026-07-24T12:23:25,0x2f76c2d7b071b5cb:0xf0f66a254e677114
Ascent Autowrx Mobile Repair,(208) 640-7702,,,,,,ID,,5.0,1,Mechanic,,,https://www.google.com/maps/place/Ascent+Autowrx+Mobile+Repair/data=!4m7!3m6!1s0x817469beae60ced1:0xc126523eb4aaed27!8m2!3d48.197043!4d-116.3659406!16s%2Fg%2F11zcmy2scx!19sChIJ0c5grr5pdIERJ-2qtD5SJsE?authuser=0&hl=en&rclk=1,auto repair shop,Boundary County,county,ID,2026-07-24T12:04:14,0x817469beae60ced1:0xc126523eb4aaed27
Ballard Mobile Auto Repair,(208) 600-4407,https://www.facebook.com/ballardautorepair/,,,,,ID,,5.0,92,Mechanic,,,https://www.google.com/maps/place/Ballard+Mobile+Auto+Repair/data=!4m7!3m6!1s0x84ba0dc1099e12d7:0x3fab6d62479bec5d!8m2!3d43.5690589!4d-116.339029!16s%2Fg%2F11yn23bp78!19sChIJ1xKeCcENuoQRXeybR2Jtqz8?authuser=0&hl=en&rclk=1,auto repair shop,Meridian,city,ID,2026-07-24T12:45:52,0x84ba0dc1099e12d7:0x3fab6d62479bec5d
Better Repairs For Less,,https://betterrepairsforless.square.site/,,,,,ID,,4.5,17,Mechanic,,,https://www.google.com/maps/place/Better+Repairs+For+Less/data=!4m7!3m6!1s0x54ab374a3c41889f:0x4ef94ddab33e3b3b!8m2!3d42.633761!4d-113.6599255!16s%2Fg%2F11fv2xymcj!19sChIJn4hBPEo3q1QROzs-s9pN-U4?authuser=0&hl=en&rclk=1,auto repair shop,Cassia County,county,ID,2026-07-24T12:34:05,0x54ab374a3c41889f:0x4ef94ddab33e3b3b
Bob's Owyhee Repair,,,,"Homedale, ID 83628, United States",,,ID,,,,Auto repair shop,,,https://www.google.com/maps/place/Bob%27s+Owyhee+Repair/data=!4m7!3m6!1s0x54afce8050cb1a1d:0x6ab6f35976b65277!8m2!3d43.6179335!4d-116.9327599!16s%2Fg%2F11ywl9hymg!19sChIJHRrLUIDOr1QRd1K2dlnztmo?authuser=0&hl=en&rclk=1,auto repair shop,Owyhee County,county,ID,2026-07-24T14:00:41,0x54afce8050cb1a1d:0x6ab6f35976b65277
Brat Motors Automotive Repair,(208) 601-6006,http://www.bratmotors.com/,,,,,ID,,4.9,44,Car repair and maintenance service,,,https://www.google.com/maps/place/Brat+Motors+Automotive+Repair/data=!4m7!3m6!1s0x80e84e53168b2f1f:0x9df300b26032c7cd!8m2!3d47.738078!4d-116.9374765!16s%2Fg%2F11xjlblrx!19sChIJHy-LFlNO6IARzccyYLIA850?authuser=0&hl=en&rclk=1,auto repair shop,Kootenai County,county,ID,2026-07-17T14:12:54,0x80e84e53168b2f1f:0x9df300b26032c7cd
