name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
A Plus Road Side Bully,(217) 418-3089,http://www.aplusroadsidebullys217.com/,,,,,IL,,4.8,112,Towing service,,,https://www.google.com/maps/place/A+Plus+Road+Side+Bully/data=!4m7!3m6!1s0x451df4f30f044533:0xabe6ed3796ff4819!8m2!3d40.139852!4d-88.069812!16s%2Fg%2F11wfnp7gr7!19sChIJM0UED_P0HUURGUj_ljft5qs?authuser=0&hl=en&rclk=1,auto repair shop,Champaign County,county,IL,2026-07-17T17:23:06,0x451df4f30f044533:0xabe6ed3796ff4819
AUTO GLASS REPAIR CESILVA,(708) 715-6817,https://cesilva.com/,,,,,IL,,5.0,1,Auto glass repair service,,,https://www.google.com/maps/place/AUTO+GLASS+REPAIR+CESILVA/data=!4m7!3m6!1s0x880e8b007f8cdc0f:0xbd61f792d619b8c7!8m2!3d39.7393894!4d-89.266507!16s%2Fg%2F11y0dxkl1z!19sChIJD9yMfwCLDogRx7gZ1pL3Yb0?authuser=0&hl=en&rclk=1,auto repair shop,Woodford County,county,IL,2026-07-27T15:01:47,0x880e8b007f8cdc0f:0xbd61f792d619b8c7
Adams roadside assistance,(815) 866-4575,,,,,,IL,,5.0,2,Auto tune up service,,,https://www.google.com/maps/place/Adams+roadside+assistance/data=!4m7!3m6!1s0x8e239f726acff0f1:0x8024eff3e9372160!8m2!3d41.4262515!4d-89.511946!16s%2Fg%2F11yr8fbtb0!19sChIJ8fDPanKfI44RYCE36fPvJIA?authuser=0&hl=en&rclk=1,auto repair shop,Bureau County,county,IL,2026-07-17T16:43:10,0x8e239f726acff0f1:0x8024eff3e9372160
Anthony's Automotive Services,(314) 504-6895,http://www.facebook.com/AnthonysAutomotiveServices,,,,,IL,,5.0,35,Car repair and maintenance service,,,https://www.google.com/maps/place/Anthony%27s+Automotive+Services/data=!4m7!3m6!1s0x880a571e7bff945d:0xc00cd76a4acb6e48!8m2!3d38.702657!4d-90.5514294!16s%2Fg%2F11k6v7njll!19sChIJXZT_ex5XCogRSG7LSmrXDMA?authuser=0&hl=en&rclk=1,auto repair shop,Tazewell County,county,IL,2026-07-27T13:48:41,0x880a571e7bff945d:0xc00cd76a4acb6e48
Antwaun's General Repair,(618) 506-0065,https://antwaunrepairs.com/,,,,,IL,,,,Mechanic,,,https://www.google.com/maps/place/Antwaun%27s+General+Repair/data=!4m7!3m6!1s0x4c05552a4a311ee1:0x18a1d239d26b60e!8m2!3d37.152617!4d-88.6843724!16s%2Fg%2F11zcv46wkc!19sChIJ4R4xSipVBUwRDrYmnSMdigE?authuser=0&hl=en&rclk=1,auto repair shop,Massac County,county,IL,2026-07-27T11:45:04,0x4c05552a4a311ee1:0x18a1d239d26b60e
Atlas Auto Repair & Mobile Service,(309) 865-5869,http://www.atlasmobilerepairs.com/,,,,,IL,,5.0,18,Mechanic,,,https://www.google.com/maps/place/Atlas+Auto+Repair+%26+Mobile+Service/data=!4m7!3m6!1s0xf5f7ef300d50e5f:0xa9db161d4f22efad!8m2!3d41.4311044!4d-90.5376544!16s%2Fg%2F11md39f7c_!19sChIJXw7VAPN-Xw8Rre8iTx0W26k?authuser=0&hl=en&rclk=1,auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0xf5f7ef300d50e5f:0xa9db161d4f22efad
Becker Mobile Auto Repair,(309) 989-7171,,,,,,IL,,,,Mechanic,,,https://www.google.com/maps/place/Becker+Mobile+Auto+Repair/data=!4m7!3m6!1s0x64bbd8cd7b970ca3:0xb7313dd9098336b2!8m2!3d41.521209!4d-90.5600125!16s%2Fg%2F11nr1ck6h5!19sChIJowyXe83Yu2QRsjaDCdk9Mbc?authuser=0&hl=en&rclk=1,auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0x64bbd8cd7b970ca3:0xb7313dd9098336b2
Bedenbender Mobile Automotive LLC,(563) 299-1817,http://bedenbendermobileauto.com/,,,,,IL,,5.0,2,Mechanic,,,https://www.google.com/maps/place/Bedenbender+Mobile+Automotive+LLC/data=!4m7!3m6!1s0x9a39b9088c64227:0x1d80dac872385012!8m2!3d41.477851!4d-90.7928975!16s%2Fg%2F11yllbq4rm!19sChIJJ0LGiJCbowkRElA4csjagB0?authuser=0&hl=en&rclk=1,auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0x9a39b9088c64227:0x1d80dac872385012
Beyond Performance,,,,"DeKalb, IL 60115, United States",,,IL,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Beyond+Performance/data=!4m7!3m6!1s0x880f2a6f6a909327:0x406e15716a3e7312!8m2!3d41.9263434!4d-88.7386747!16s%2Fg%2F11f4lf43c8!19sChIJJ5OQam8qD4gREnM-anEVbkA?authuser=0&hl=en&rclk=1,auto repair shop,DeKalb County,county,IL,2026-07-24T15:19:40,0x880f2a6f6a909327:0x406e15716a3e7312
Billy Ray Tyler auto sales,,,,"Mattoon, IL 61938, United States",,,IL,,,,Auto repair shop,,,https://www.google.com/maps/place/Billy+Ray+Tyler+auto+sales/data=!4m7!3m6!1s0x88731100646c4ecf:0x3ea3f1289e885c76!8m2!3d39.4830897!4d-88.3728255!16s%2Fg%2F11mrxz_8hh!19sChIJz05sZAARc4gRdlyInijxoz4?authuser=0&hl=en&rclk=1,auto repair shop,Coles County,county,IL,2026-07-24T14:51:58,0x88731100646c4ecf:0x3ea3f1289e885c76
Clark Maintenance and Repairs,(773) 584-5161,https://www.facebook.com/share/18k5qXXs8R/?mibextid=wwXIfr,,,,,IL,,4.3,11,Small engine repair service,,,https://www.google.com/maps/place/Clark+Maintenance+and+Repairs/data=!4m7!3m6!1s0x87e23486938498e5:0xd778d21264999caf!8m2!3d41.5486206!4d-90.4977245!16s%2Fg%2F11cky01w5w!19sChIJ5ZiEk4Y04ocRr5yZZBLSeNc?authuser=0&hl=en&rclk=1,auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0x87e23486938498e5:0xd778d21264999caf
Clover Tire Shop,(217) 659-3054,,,"La Harpe, IL 61450, United States",,,IL,,4.8,58,Tire shop,,,https://www.google.com/maps/place/Clover+Tire+Shop/data=!4m7!3m6!1s0x87e0d92cf87179bf:0x7903efbe0022d8c7!8m2!3d40.5827096!4d-90.9815245!16s%2Fg%2F1vtqwnbc!19sChIJv3lx-CzZ4IcRx9giAL7vA3k?authuser=0&hl=en&rclk=1,auto repair shop,Hancock County,county,IL,2026-07-27T08:20:46,0x87e0d92cf87179bf:0x7903efbe0022d8c7
Complete Auto Care,,,,"Benld, IL 62009, United States",,,IL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Complete+Auto+Care/data=!4m7!3m6!1s0x8875911316f327a3:0x41681e577fec101b!8m2!3d39.0932335!4d-89.8005174!16s%2Fg%2F11wwwygb13!19sChIJoyfzFhORdYgRGxDsf1ceaEE?authuser=0&hl=en&rclk=1,auto repair shop,Macoupin County,county,IL,2026-07-27T11:12:39,0x8875911316f327a3:0x41681e577fec101b
D & D Auto Shop,,,,"Harrisburg, IL 62946, United States",,,IL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/D+%26+D+Auto+Shop/data=!4m7!3m6!1s0x8870c2fb87f000af:0x43f0cdbd847e44b7!8m2!3d37.764284!4d-88.5129777!16s%2Fg%2F11f794mljd!19sChIJrwDwh_vCcIgRt0R-hL3N8EM?authuser=0&hl=en&rclk=1,auto repair shop,Hamilton County,county,IL,2026-07-27T08:11:07,0x8870c2fb87f000af:0x43f0cdbd847e44b7
