name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
A To Z Automotive,(785) 527-5262,,,"Oberlin, KS 67749, United States",,,KS,,5.0,1,,,,https://www.google.com/maps/place/A+To+Z+Automotive/data=!4m7!3m6!1s0x879fe74d6a828c05:0x7d9e1fc107f0d87a!8m2!3d39.818338!4d-100.5281675!16s%2Fg%2F12637ns4f!19sChIJBYyCak3nn4cRetjwB8Efnn0?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,KS,2026-07-28T05:25:09,0x879fe74d6a828c05:0x7d9e1fc107f0d87a
A-1 Tire & Auto,,,,"Mound City, KS 66056, United States",,,KS,,5.0,1,,,,https://www.google.com/maps/place/A-1+Tire+%26+Auto/data=!4m7!3m6!1s0x87c769571421727d:0xf24bae87c26d9e94!8m2!3d38.1427199!4d-94.8142514!16s%2Fg%2F11x1n5fn9q!19sChIJfXIhFFdpx4cRlJ5twoeuS_I?authuser=0&hl=en&rclk=1,auto repair shop,Bourbon County,county,KS,2026-07-28T04:05:43,0x87c769571421727d:0xf24bae87c26d9e94
Absolute Towing,(785) 263-3333,,,,,,KS,,4.9,17,Towing service,,,https://www.google.com/maps/place/Absolute+Towing/data=!4m7!3m6!1s0x87bcf0f33e2cf205:0x8836d0306c003e0c!8m2!3d38.8712434!4d-97.0923626!16s%2Fg%2F11dxnt57l9!19sChIJBfIsPvPwvIcRDD4AbDDQNog?authuser=0&hl=en&rclk=1,auto repair shop,Dickinson County,county,KS,2026-07-28T05:35:36,0x87bcf0f33e2cf205:0x8836d0306c003e0c
Agee´s Service,,,,"Sabetha, KS 66534, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Agee%C2%B4s+Service/data=!4m7!3m6!1s0x879581469b182ac1:0x1ab705d6ff18f079!8m2!3d39.9026933!4d-95.8003564!16s%2Fg%2F11x1n51f06!19sChIJwSoYm0aBlYcRefAY_9YFtxo?authuser=0&hl=en&rclk=1,auto repair shop,Nemaha County,county,KS,2026-07-28T09:32:10,0x879581469b182ac1:0x1ab705d6ff18f079
BIGRED HANDYMAN & AUTOMOTIVE SERVICES LLC,(913) 605-0213,,,,,,KS,,4.3,6,Handyman/Handywoman/Handyperson,,,https://www.google.com/maps/place/BIGRED+HANDYMAN+%26+AUTOMOTIVE+SERVICES+LLC/data=!4m7!3m6!1s0xf04acaf6028de23:0x9ee4445c8a7fef3b!8m2!3d38.3046624!4d-95.5753685!16s%2Fg%2F11v61v1k57!19sChIJI94oYK-sBA8RO-9_ilxE5J4?authuser=0&hl=en&rclk=1,auto repair shop,Brown County,county,KS,2026-07-28T04:12:57,0xf04acaf6028de23:0x9ee4445c8a7fef3b
Blake's Automotive,(620) 251-1590,https://www.blakesautocenter.com/,,"Coffeyville, KS 67337, United States",,,KS,,4.8,105,Auto repair shop,,,https://www.google.com/maps/place/Blake%27s+Automotive/data=!4m7!3m6!1s0x87b784fe21e0c4ad:0xb6f5d2ae7fff9265!8m2!3d37.0326715!4d-95.6040004!16s%2Fg%2F11snnmqwm7!19sChIJrcTgIf6Et4cRZZL_f67S9bY?authuser=0&hl=en&rclk=1,auto repair shop,Montgomery County,county,KS,2026-07-28T08:54:40,0x87b784fe21e0c4ad:0xb6f5d2ae7fff9265
Brodie's Auto Service & Repair,,,,"Emporia, KS 66801, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Brodie%27s+Auto+Service+%26+Repair/data=!4m7!3m6!1s0x87b94dd6285a295b:0x80ab7b495a1274bd!8m2!3d38.4053195!4d-96.2025437!16s%2Fg%2F11z5957_0p!19sChIJWylaKNZNuYcRvXQSWkl7q4A?authuser=0&hl=en&rclk=1,auto repair shop,Lyon County,county,KS,2026-07-28T08:08:47,0x87b94dd6285a295b:0x80ab7b495a1274bd
Buenger Automotive,,,,"Osage City, KS 66523, United States",,,KS,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/Buenger+Automotive/data=!4m7!3m6!1s0x87bed0d7efbc8467:0xdaa0c1840ad3f280!8m2!3d38.6347549!4d-95.8240608!16s%2Fg%2F11s0z9gylz!19sChIJZ4S879fQvocRgPLTCoTBoNo?authuser=0&hl=en&rclk=1,auto repair shop,Osage County,county,KS,2026-07-28T10:13:28,0x87bed0d7efbc8467:0xdaa0c1840ad3f280
Clarks Mobile Automotive Repair LLC,(785) 236-8434,https://clarksmobileautomo.wixsite.com/my-site,clarksmobileautomotiverepairs@gmail.com,,,,KS,,5.0,23,Mechanic,,,https://www.google.com/maps/place/Clarks+Mobile+Automotive+Repair+LLC/data=!4m7!3m6!1s0x25d9b8b27edfd355:0xa3a0b4216402c29f!8m2!3d39.176465!4d-96.5934685!16s%2Fg%2F11z7fxl2_d!19sChIJVdPffrK42SURn8ICZCG0oKM?authuser=0&hl=en&rclk=1,auto repair shop,Pottawatomie County,county,KS,2026-07-28T10:53:29,0x25d9b8b27edfd355:0xa3a0b4216402c29f
Coyote 1,,,,"Leavenworth, KS 66048, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Coyote+1/data=!4m7!3m6!1s0x87c07b00711bf579:0xf9626215a2cf6871!8m2!3d39.3358401!4d-94.9661633!16s%2Fg%2F11wy0ct35m!19sChIJefUbcQB7wIcRcWjPohViYvk?authuser=0&hl=en&rclk=1,auto repair shop,Leavenworth County,county,KS,2026-07-28T07:46:48,0x87c07b00711bf579:0xf9626215a2cf6871
