name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
A & L Automotive,(606) 821-6599,,,"Fleming-Neon, KY 41840, United States",,,KY,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/A+%26+L+Automotive/data=!4m7!3m6!1s0x884531c7cc569a85:0xbbc41b4e26c377be!8m2!3d37.1900885!4d-82.7156478!16s%2Fg%2F11w8qt6bsy!19sChIJhZpWzMcxRYgRvnfDJk4bxLs?authuser=0&hl=en&rclk=1,auto repair shop,Letcher County,county,KY,2026-07-29T03:12:45,0x884531c7cc569a85:0xbbc41b4e26c377be
A-1 Auto Parts,(270) 432-2112,,,"Edmonton, KY 42129, United States",,,KY,,4.9,15,Auto parts store,,,https://www.google.com/maps/place/A-1+Auto+Parts/data=!4m7!3m6!1s0x88663347e5fa1ec3:0x730e452cc5afe95!8m2!3d36.9797235!4d-85.6132696!16s%2Fg%2F11dxs14xg1!19sChIJwx765UczZogRlf5azFLkMAc?authuser=0&hl=en&rclk=1,auto repair shop,Metcalfe County,county,KY,2026-07-29T05:29:30,0x88663347e5fa1ec3:0x730e452cc5afe95
Adair County Kwiklube,(270) 380-1300,http://www.facebook.com/ACKWIKLUBE,,"Columbia, KY 42728, United States",,,KY,,4.7,106,Oil change service,,,https://www.google.com/maps/place/Adair+County+Kwiklube/data=!4m7!3m6!1s0x8867ddb93a924ae9:0xa8d7749b7a7846cf!8m2!3d37.0765335!4d-85.3402456!16s%2Fg%2F11gxs29yn5!19sChIJ6UqSOrndZ4gRz0Z4ept016g?authuser=0&hl=en&rclk=1,auto repair shop,Adair County,county,KY,2026-07-28T15:31:55,0x8867ddb93a924ae9:0xa8d7749b7a7846cf
Advance Auto,,,,"Georgetown, KY 40324, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Advance+Auto/data=!4m7!3m6!1s0x88423f0072567853:0xc5dc8c8253c91a08!8m2!3d38.2097686!4d-84.5588331!16s%2Fg%2F11myk5nkht!19sChIJU3hWcgA_QogRCBrJU4KM3MU?authuser=0&hl=en&rclk=1,auto repair shop,Scott County,county,KY,2026-07-29T07:45:54,0x88423f0072567853:0xc5dc8c8253c91a08
Advance tires,,,,"Somerset, KY 42501, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Advance+tires/data=!4m7!3m6!1s0x885d3500604ded55:0x96cc35be4e88c7b7!8m2!3d37.0920419!4d-84.6040257!16s%2Fg%2F11lf30b7v5!19sChIJVe1NYAA1XYgRt8eITr41zJY?authuser=0&hl=en&rclk=1,auto repair shop,Pulaski County,county,KY,2026-07-29T07:10:11,0x885d3500604ded55:0x96cc35be4e88c7b7
Amyx Tires,(606) 743-4488,,,"West Liberty, KY 41472, United States",,,KY,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Amyx+Tires/data=!4m7!3m6!1s0x884467004a33acc3:0x2562ae5991eeff66!8m2!3d37.9214758!4d-83.2596216!16s%2Fg%2F11vs11hng3!19sChIJw6wzSgBnRIgRZv_ukVmuYiU?authuser=0&hl=en&rclk=1,auto repair shop,Morgan County,county,KY,2026-07-29T05:52:27,0x884467004a33acc3:0x2562ae5991eeff66
"AutoTek LLC Mobile Mechanic (Lexington, KY)",(859) 533-5997,http://www.autotekmobile.com/,brandon@autotekmobile.com,,,,KY,,5.0,120,Mechanic,,,"https://www.google.com/maps/place/AutoTek+LLC+Mobile+Mechanic+%28Lexington,+KY%29/data=!4m7!3m6!1s0x88425beb2dc3a909:0x289062552f58baeb!8m2!3d38.028355!4d-84.471382!16s%2Fg%2F11shl_l9yq!19sChIJCanDLetbQogR67pYL1VikCg?authuser=0&hl=en&rclk=1",auto repair shop,Anderson County,county,KY,2026-07-28T16:02:19,0x88425beb2dc3a909:0x289062552f58baeb
Autocare Center,,,,"Princeton, KY 42445, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Autocare+Center/data=!4m7!3m6!1s0x887a9827147d3555:0x4986bf92919fff9d!8m2!3d37.1085132!4d-87.8810185!16s%2Fg%2F11kjkcsvbb!19sChIJVTV9FCeYeogRnf-fkZK_hkk?authuser=0&hl=en&rclk=1,auto repair shop,Caldwell County,county,KY,2026-07-28T19:14:27,0x887a9827147d3555:0x4986bf92919fff9d
Autotronics,,,,"Shelbyville, KY 40065, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Autotronics/data=!4m7!3m6!1s0x8869c15721b7bfa1:0x206c1805d536a6c8!8m2!3d38.2184413!4d-85.2548766!16s%2Fg%2F11j7kfymtf!19sChIJob-3IVfBaYgRyKY21QUYbCA?authuser=0&hl=en&rclk=1,auto repair shop,Shelby County,county,KY,2026-07-29T07:56:25,0x8869c15721b7bfa1:0x206c1805d536a6c8
B's Mobile Mechanic,(270) 532-8051,,,,,,KY,,4.7,13,Mechanic,,,https://www.google.com/maps/place/B%27s+Mobile+Mechanic/data=!4m7!3m6!1s0x3dc5ab48f718d33:0x186aa17c5a3aa18d!8m2!3d37.3518759!4d-86.7364875!16s%2Fg%2F11yn6n33dr!19sChIJM41xj7Ra3AMRjaE6Wnyhahg?authuser=0&hl=en&rclk=1,auto repair shop,Breckinridge County,county,KY,2026-07-28T18:36:17,0x3dc5ab48f718d33:0x186aa17c5a3aa18d
