name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Auto Hobby Shop,,http://www.kodiakmwr.com/auto.shtml,,"Kodiak, AK 99615, United States",,,AK,,4.8,5,Auto repair shop,,,https://www.google.com/maps/place/Auto+Hobby+Shop/data=!4m7!3m6!1s0x56eaddd6fe0016ad:0x2f06ab057a34607f!8m2!3d57.7302106!4d-152.5125214!16s%2Fg%2F11rxzfs28s!19sChIJrRYA_tbd6lYRf2A0egWrBi8?authuser=0&hl=en&rclk=1,auto repair shop,Kodiak Island Borough,county,AK,2026-07-21T10:21:43,0x56eaddd6fe0016ad:0x2f06ab057a34607f
G Force Tire & Auto Services,,,,"Wasilla, AK 99654, United States",,,AK,,3.0,4,Tire shop,,,https://www.google.com/maps/place/G+Force+Tire+%26+Auto+Services/data=!4m7!3m6!1s0x56c8db8cce686a07:0x853f01f791db0062!8m2!3d61.5813889!4d-149.4394444!16s%2Fg%2F1tdyfcbm!19sChIJB2pozozbyFYRYgDbkfcBP4U?authuser=0&hl=en&rclk=1,auto repair shop,Wasilla,city,AK,2026-07-21T11:01:44,0x56c8db8cce686a07:0x853f01f791db0062
Gregg's Diesel Services Inc,(907) 842-1680,,,"Dillingham, AK 99576, United States",,,AK,,,,,,,https://www.google.com/maps/place/Gregg%27s+Diesel+Services+Inc/data=!4m7!3m6!1s0x56e73deccde3162b:0x4da5a512768d6954!8m2!3d59.0396375!4d-158.4575508!16s%2Fg%2F12649_1h_!19sChIJKxbjzew951YRVGmNdhKlpU0?authuser=0&hl=en&rclk=1,auto repair shop,Dillingham Census Area,county,AK,2026-07-21T09:39:14,0x56e73deccde3162b:0x4da5a512768d6954
Tug N' Grin Towing and Recovery Inc.,(907) 385-7900,https://www.tugngrintowingandrecovery.com/,,,,,AK,,4.7,31,Towing service,,,https://www.google.com/maps/place/Tug+N%27+Grin+Towing+and+Recovery+Inc./data=!4m7!3m6!1s0x5133b346a73645f1:0xd238d21bfbfd991b!8m2!3d64.797823!4d-147.5030174!16s%2Fg%2F11vrqsqmg6!19sChIJ8UU2p0azM1ERG5n9-xvSONI?authuser=0&hl=en&rclk=1,auto repair shop,Yukon-Koyukuk Census Area,county,AK,2026-07-09T16:33:40,0x5133b346a73645f1:0xd238d21bfbfd991b
Wilderness Landing Cruise Ship Dock,,https://icystraitpoint.com/,,"Elfin Cove, AK 99825, United States",,,AK,,4.8,24,Cruise terminal,,,https://www.google.com/maps/place/Wilderness+Landing+Cruise+Ship+Dock/data=!4m7!3m6!1s0x54017100647d124f:0xeeed9472f8e0af53!8m2!3d58.1348817!4d-135.451515!16s%2Fg%2F11y5gycwsp!19sChIJTxJ9ZABxAVQRU6_g-HKU7e4?authuser=0&hl=en&rclk=1,auto repair shop,Hoonah-Angoon Census Area,county,AK,2026-07-09T15:22:10,0x54017100647d124f:0xeeed9472f8e0af53
A Mobile Mechanic,,,,"5941 Arctic Blvd, Anchorage, AK 99518, United States",5941 Arctic Blvd,Anchorage,AK,99518,3.7,3,Auto repair shop,,,https://www.google.com/maps/place/A+Mobile+Mechanic/data=!4m7!3m6!1s0x56c8971a355084f9:0x9645e0637b71f2b2!8m2!3d61.166748!4d-149.8971535!16s%2Fg%2F11whm4106h!19sChIJ-YRQNRqXyFYRsvJxe2PgRZY?authuser=0&hl=en&rclk=1,auto repair shop,Wade Hampton Census Area,county,AK,2026-07-09T16:27:31,0x56c8971a355084f9:0x9645e0637b71f2b2
"Classic Auto Rebuilding, Inc.",(907) 344-4332,https://lomyu.me/classic-auto-rebuilding-inc-600008-us,,"243 E 87th Ave, Anchorage, AK 99515, United States",243 E 87th Ave,Anchorage,AK,99515,5.0,26,Auto body shop,,,"https://www.google.com/maps/place/Classic+Auto+Rebuilding,+Inc./data=!4m7!3m6!1s0x56c899d2054a7bbf:0x61f12cb5f2eac6ec!8m2!3d61.1425914!4d-149.8774329!16s%2Fg%2F1tfwk2k4!19sChIJv3tKBdKZyFYR7Mbq8rUs8WE?authuser=0&hl=en&rclk=1",auto repair shop,Anchorage,city,AK,2026-07-21T10:49:41,0x56c899d2054a7bbf:0x61f12cb5f2eac6ec
"Hale's Technical Service, Inc.",(907) 277-4253,http://www.halestechnical.com/,,"3207 Denali St, Anchorage, AK 99503, United States",3207 Denali St,Anchorage,AK,99503,4.3,36,Auto repair shop,,,"https://www.google.com/maps/place/Hale%27s+Technical+Service,+Inc./data=!4m7!3m6!1s0x56c897c7ed7b1449:0x9500a33a328ad38b!8m2!3d61.1914839!4d-149.8763334!16s%2Fg%2F1tcvbmn8!19sChIJSRR77ceXyFYRi9OKMjqjAJU?authuser=0&hl=en&rclk=1",auto repair shop,Anchorage Municipality,county,AK,2026-07-21T09:33:17,0x56c897c7ed7b1449:0x9500a33a328ad38b
"L AND M MOTORS, INC",(907) 563-4994,https://www.landmmotorsinc.com/,,"400 W 53rd Ave, Anchorage, AK 99518, United States",400 W 53rd Ave,Anchorage,AK,99518,4.2,142,Auto repair shop,,,"https://www.google.com/maps/place/L+AND+M+MOTORS,+INC/data=!4m7!3m6!1s0x56c897923c708d89:0xb9dde0934f131ef2!8m2!3d61.1725129!4d-149.8899308!16s%2Fg%2F1tx46sbp!19sChIJiY1wPJKXyFYR8h4TT5Pg3bk?authuser=0&hl=en&rclk=1",auto repair shop,Anchorage Municipality,county,AK,2026-07-21T09:33:17,0x56c897923c708d89:0xb9dde0934f131ef2
Locals Auto Repair,,,,"641 E 4th Ave Unit B, Anchorage, AK 99501, United States",641 E 4th Ave Unit B,Anchorage,AK,99501,4.7,6,Auto repair shop,,,https://www.google.com/maps/place/Locals+Auto+Repair/data=!4m7!3m6!1s0x56c897ecf135c15d:0xd8b596bbb8064d17!8m2!3d61.2188401!4d-149.8713994!16s%2Fg%2F11h5mpyrb4!19sChIJXcE18eyXyFYRF00GuLuWtdg?authuser=0&hl=en&rclk=1,auto repair shop,North Slope Borough,county,AK,2026-07-21T10:31:27,0x56c897ecf135c15d:0xd8b596bbb8064d17
