name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
256 Auto Glass Llc,,,,"Littleville, AL 35654, United States",,,AL,,,,Auto repair shop,,,https://www.google.com/maps/place/256+Auto+Glass+Llc/data=!4m7!3m6!1s0x887d50b4a185ca75:0x25b4596218d919b3!8m2!3d34.5764664!4d-87.6824835!16s%2Fg%2F11yqnpr3df!19sChIJdcqFobRQfYgRsxnZGGJZtCU?authuser=0&hl=en&rclk=1,auto repair shop,Franklin County,county,AL,2026-07-21T15:12:20,0x887d50b4a185ca75:0x25b4596218d919b3
Auto Rescue Repair/Mobile Mechanic,,,,"Graysville, AL 35073, United States",,,AL,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Auto+Rescue+Repair%2FMobile+Mechanic/data=!4m7!3m6!1s0x8888f9006ec5ad99:0x90eb48cc94875d5e!8m2!3d33.6206533!4d-86.9713743!16s%2Fg%2F11vxmymr59!19sChIJma3FbgD5iIgRXl2HlMxI65A?authuser=0&hl=en&rclk=1,auto repair shop,Choctaw County,county,AL,2026-07-21T13:02:28,0x8888f9006ec5ad99:0x90eb48cc94875d5e
Auto Service Center,,,,"Georgia 31210, United States",,,AL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Auto+Service+Center/data=!4m7!3m6!1s0x88f3f8b84f7ba205:0xa74ccce7ee9d7dca!8m2!3d32.9006362!4d-83.6892627!16s%2Fg%2F11fkmzksmx!19sChIJBaJ7T7j484gRyn2d7ufMTKc?authuser=0&hl=en&rclk=1,auto repair shop,Macon County,county,AL,2026-07-21T16:44:39,0x88f3f8b84f7ba205:0xa74ccce7ee9d7dca
Auto-Tech Auto Repair,,,,"Hueytown, AL 35023, United States",,,AL,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto-Tech+Auto+Repair/data=!4m7!3m6!1s0x8888e74a55ac7ee7:0xd9c7c13051cc0560!8m2!3d33.4216034!4d-86.9850676!16s%2Fg%2F11rd9dpryx!19sChIJ536sVUrniIgRYAXMUTDBx9k?authuser=0&hl=en&rclk=1,auto repair shop,Washington County,county,AL,2026-07-10T12:54:01,0x8888e74a55ac7ee7:0xd9c7c13051cc0560
Automotive Service Center,,,,"Selma, AL 36701, United States",,,AL,,,,,,,https://www.google.com/maps/place/Automotive+Service+Center/data=!4m7!3m6!1s0x888f05c659f6dea1:0xef9de0e370b1e5dc!8m2!3d32.4310146!4d-87.0346453!16s%2Fg%2F11wj2q2p2q!19sChIJod72WcYFj4gR3OWxcOPgne8?authuser=0&hl=en&rclk=1,auto repair shop,Dallas County,county,AL,2026-07-21T14:23:37,0x888f05c659f6dea1:0xef9de0e370b1e5dc
Barner's Crimson Triple R INC,(251) 225-0502,https://www.barnerscrimsonroadsiderepairandrecoveryinc.com/,,,,,AL,,5.0,188,Car repair and maintenance service,,,https://www.google.com/maps/place/Barner%27s+Crimson+Triple+R+INC/data=!4m7!3m6!1s0x803d90d4bc01fe97:0xb9d78d1f5c21469e!8m2!3d33.2846624!4d-87.4551114!16s%2Fg%2F11xv8l9y3f!19sChIJl_4BvNSQPYARnkYhXB-N17k?authuser=0&hl=en&rclk=1,auto repair shop,Tuscaloosa County,county,AL,2026-07-21T18:59:25,0x803d90d4bc01fe97:0xb9d78d1f5c21469e
Beatrice service station,,,,"Monroeville, AL 36460, United States",,,AL,,,,Auto repair shop,,,https://www.google.com/maps/place/Beatrice+service+station/data=!4m7!3m6!1s0x88901b0019f5235b:0xc52e9bdbf3c3e865!8m2!3d31.4689499!4d-87.3457731!16s%2Fg%2F11vz5lmlrh!19sChIJWyP1GQAbkIgRZejD89ubLsU?authuser=0&hl=en&rclk=1,auto repair shop,Monroe County,county,AL,2026-07-21T17:36:06,0x88901b0019f5235b:0xc52e9bdbf3c3e865
Butler County I-65 Northbound Rest Area,,,,"Greenville, AL 36037, United States",,,AL,,4.3,2001,Rest stop,,,https://www.google.com/maps/place/Butler+County+I-65+Northbound+Rest+Area/data=!4m7!3m6!1s0x888e3e42d0544853:0xff9845976c0b1824!8m2!3d31.8833086!4d-86.6084003!16s%2Fg%2F11c3hw6pt7!19sChIJU0hU0EI-jogRJBgLbJdFmP8?authuser=0&hl=en&rclk=1,auto repair shop,Butler County,county,AL,2026-07-09T18:38:20,0x888e3e42d0544853:0xff9845976c0b1824
C&B Express Lube,,,,"Linden, AL 36748, United States",,,AL,,,,Auto repair shop,,,https://www.google.com/maps/place/C%26B+Express+Lube/data=!4m7!3m6!1s0x888575b7aed973a1:0xf6f815373c4eee4b!8m2!3d32.3006513!4d-87.7981084!16s%2Fg%2F11xr_n5_0h!19sChIJoXPZrrd1hYgRS-5OPDcV-PY?authuser=0&hl=en&rclk=1,auto repair shop,Marengo County,county,AL,2026-07-21T17:07:51,0x888575b7aed973a1:0xf6f815373c4eee4b
Clay's Auto Service,,,,"Alabama 35611, United States",,,AL,,4.7,23,Auto repair shop,,,https://www.google.com/maps/place/Clay%27s+Auto+Service/data=!4m7!3m6!1s0x886293639f2ae959:0x207854e3382655a9!8m2!3d34.7988895!4d-87.1383992!16s%2Fg%2F11qg2yh8by!19sChIJWekqn2OTYogRqVUmOONUeCA?authuser=0&hl=en&rclk=1,auto repair shop,Lawrence County,county,AL,2026-07-21T16:19:38,0x886293639f2ae959:0x207854e3382655a9
