name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Amish Auto & Exhaust,,,,"Sheridan, AR 72150, United States",,,AR,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Amish+Auto+%26+Exhaust/data=!4m7!3m6!1s0x862d577ebd3e1fed:0xe2db5be074ed322b!8m2!3d34.3115636!4d-92.4166253!16s%2Fg%2F11vylwswbw!19sChIJ7R8-vX5XLYYRKzLtdOBb2-I?authuser=0&hl=en&rclk=1,auto repair shop,Grant County,county,AR,2026-07-22T00:01:40,0x862d577ebd3e1fed:0xe2db5be074ed322b
Arkansas Power Washing And Painting Llc,,,,"Mountain Home, AR 72653, United States",,,AR,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Arkansas+Power+Washing+And+Painting+Llc/data=!4m7!3m6!1s0x87d1d956dae78731:0x9ff9e714c3b6aa92!8m2!3d36.3336296!4d-92.3855577!16s%2Fg%2F11z8p8d823!19sChIJMYfn2lbZ0YcRkqq2wxTn-Z8?authuser=0&hl=en&rclk=1,auto repair shop,Baxter County,county,AR,2026-07-21T20:37:48,0x87d1d956dae78731:0x9ff9e714c3b6aa92
Bba Bob's Auto,,,,"Fayetteville, AR 72701, United States",,,AR,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Bba+Bob%27s+Auto/data=!4m7!3m6!1s0x87c96f38b929932b:0x7b3b0a45119e008b!8m2!3d36.0401348!4d-94.165788!16s%2Fg%2F11f7352vgb!19sChIJK5MpuThvyYcRiwCeEUUKO3s?authuser=0&hl=en&rclk=1,auto repair shop,Fayetteville,city,AR,2026-07-22T05:02:56,0x87c96f38b929932b:0x7b3b0a45119e008b
Ben's Automotive Mobile Auto Repair,,,,"Searcy, AR 72143, United States",,,AR,,,,Auto repair shop,,,https://www.google.com/maps/place/Ben%27s+Automotive+Mobile+Auto+Repair/data=!4m7!3m6!1s0x87d3a90064dcd679:0xec2f15c0cab0d4d6!8m2!3d35.2437536!4d-91.7364422!16s%2Fg%2F11nr0j17g8!19sChIJedbcZACp04cR1tSwysAVL-w?authuser=0&hl=en&rclk=1,auto repair shop,Searcy County,county,AR,2026-07-22T03:49:16,0x87d3a90064dcd679:0xec2f15c0cab0d4d6
Buddy´s Auto Repair & Wrecker Service,,,,"Helena-West Helena, AR 72390, United States",,,AR,,,,Auto repair shop,,,https://www.google.com/maps/place/Buddy%C2%B4s+Auto+Repair+%26+Wrecker+Service/data=!4m7!3m6!1s0x87d4d4e2c3254a03:0xb05572eeac6598a!8m2!3d34.538917!4d-90.6411061!16s%2Fg%2F11yjsbvm9t!19sChIJA0olw-LU1IcRilnG6i5XBQs?authuser=0&hl=en&rclk=1,auto repair shop,Phillips County,county,AR,2026-07-22T02:44:47,0x87d4d4e2c3254a03:0xb05572eeac6598a
Butlers Garage,,,,"Piggott, AR 72454, United States",,,AR,,,,Auto repair shop,,,https://www.google.com/maps/place/Butlers+Garage/data=!4m7!3m6!1s0x87d62fa61973fed3:0xcf25b9a1a5dc0c7b!8m2!3d36.454432!4d-90.1413066!16s%2Fg%2F11l59mjcyr!19sChIJ0_5zGaYv1ocRewzcpaG5Jc8?authuser=0&hl=en&rclk=1,auto repair shop,Clay County,county,AR,2026-07-21T21:57:51,0x87d62fa61973fed3:0xcf25b9a1a5dc0c7b
Chip Repair,,,,"De Queen, AR 71832, United States",,,AR,,,,Auto repair shop,,,https://www.google.com/maps/place/Chip+Repair/data=!4m7!3m6!1s0x8634e0c6a446cc63:0x20da9178b09e321!8m2!3d34.049852!4d-94.330003!16s%2Fg%2F11gsbfrxnz!19sChIJY8xGpMbgNIYRIeMJixepDQI?authuser=0&hl=en&rclk=1,auto repair shop,Sevier County,county,AR,2026-07-10T21:34:24,0x8634e0c6a446cc63:0x20da9178b09e321
DEINO'S AUTOMOTIVE REPAIR,,,,"Marianna, AR 72360, United States",,,AR,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/DEINO%27S+AUTOMOTIVE+REPAIR/data=!4m7!3m6!1s0x87d4c35f29d2274b:0x1af647ce5826c3c8!8m2!3d34.7743935!4d-90.7679698!16s%2Fg%2F11y367y4fx!19sChIJSyfSKV_D1IcRyMMmWM5H9ho?authuser=0&hl=en&rclk=1,auto repair shop,Phillips County,county,AR,2026-07-22T02:44:47,0x87d4c35f29d2274b:0x1af647ce5826c3c8
Donley Truck Repair Lllc,,,,"Arkansas 72653, United States",,,AR,,,,Auto repair shop,,,https://www.google.com/maps/place/Donley+Truck+Repair+Lllc/data=!4m7!3m6!1s0x87d1dce408da18ab:0x245c5a55f868a761!8m2!3d36.2896021!4d-92.3278426!16s%2Fg%2F11ntcf3hh6!19sChIJqxjaCOTc0YcRYado-FVaXCQ?authuser=0&hl=en&rclk=1,auto repair shop,Baxter County,county,AR,2026-07-21T20:37:48,0x87d1dce408da18ab:0x245c5a55f868a761
"FWD Performance, Inc.",(281) 288-4411,http://fwdperformance.com/,,,,,AR,,4.1,14,Auto parts store,,,"https://www.google.com/maps/place/FWD+Performance,+Inc./data=!4m7!3m6!1s0x8647350cebd2951f:0x530715d56599b03a!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1tg9njhy!19sChIJH5XS6ww1R4YROrCZZdUVB1M?authuser=0&hl=en&rclk=1",auto repair shop,Union County,county,AR,2026-07-22T04:26:06,0x8647350cebd2951f:0x530715d56599b03a
