name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
"Anyplace Auto Repair, Inc",(480) 613-2078,http://www.anyplaceautorepair.com/,,,,,AZ,,4.7,166,Car repair and maintenance service,,,"https://www.google.com/maps/place/Anyplace+Auto+Repair,+Inc/data=!4m7!3m6!1s0x872b407cb4c11523:0xef5777f4d0bd85d3!8m2!3d33.485838!4d-112.219944!16s%2Fg%2F11c5bjpzhr!19sChIJIxXBtHxAK4cR04W90PR3V-8?authuser=0&hl=en&rclk=1",auto repair shop,Peoria,city,AZ,2026-07-13T10:04:03,0x872b407cb4c11523:0xef5777f4d0bd85d3
Arizona Auto Service Center,,,,"Chandler, AZ 85225, United States",,,AZ,,4.0,4,Auto repair shop,,,https://www.google.com/maps/place/Arizona+Auto+Service+Center/data=!4m7!3m6!1s0x872baa13063b44a5:0xd1665a0a90ddcffe!8m2!3d33.2972446!4d-111.8412592!16s%2Fg%2F11xv84368b!19sChIJpUQ7BhOqK4cR_s_dkApaZtE?authuser=0&hl=en&rclk=1,auto repair shop,Apache County,county,AZ,2026-07-22T05:27:15,0x872baa13063b44a5:0xd1665a0a90ddcffe
Ash Peak Store and Garage,,,,"Safford, AZ 85546, United States",,,AZ,,,,Auto repair shop,,,https://www.google.com/maps/place/Ash+Peak+Store+and+Garage/data=!4m7!3m6!1s0x86d813f71d7a9a59:0x3b6838ae9a28f89a!8m2!3d32.7738767!4d-109.2826183!16s%2Fg%2F11vbsp79p8!19sChIJWZp6HfcT2IYRmvgomq44aDs?authuser=0&hl=en&rclk=1,auto repair shop,Graham County,county,AZ,2026-07-22T06:11:02,0x86d813f71d7a9a59:0x3b6838ae9a28f89a
Caruso Auto Repair,,,,"Benson, AZ 85602, United States",,,AZ,,,,Auto repair shop,,,https://www.google.com/maps/place/Caruso+Auto+Repair/data=!4m7!3m6!1s0x86d702df3b828321:0xcbc3c14749d900f7!8m2!3d31.9652356!4d-110.2852669!16s%2Fg%2F11gnr82sf0!19sChIJIYOCO98C14YR9wDZSUfBw8s?authuser=0&hl=en&rclk=1,auto repair shop,Cochise County,county,AZ,2026-07-22T05:41:17,0x86d702df3b828321:0xcbc3c14749d900f7
Clement's Auto Repair,,,,"Gilbert, AZ 85234, United States",,,AZ,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Clement%27s+Auto+Repair/data=!4m7!3m6!1s0x872ba916908ddf2b:0xab883350b64e315d!8m2!3d33.3531662!4d-111.7892663!16s%2Fg%2F11vyf_rgws!19sChIJK9-NkBapK4cRXTFOtlAziKs?authuser=0&hl=en&rclk=1,auto repair shop,Gilbert,city,AZ,2026-07-22T07:53:37,0x872ba916908ddf2b:0xab883350b64e315d
Google Maps can't reach the internet,,,,,,,AZ,,,,,,,https://www.google.com/maps/place/Affordable+Auto+Maintenance/data=!4m7!3m6!1s0x86d729d713fa490b:0x475169a1f9ae7497!8m2!3d31.5643336!4d-110.254967!16s%2Fg%2F11mzyjpdj_!19sChIJC0n6E9cp14YRl3Su-aFpUUc?authuser=0&hl=en&rclk=1,auto repair shop,Cochise County,county,AZ,2026-07-22T05:41:17,0x86d729d713fa490b:0x475169a1f9ae7497
Kevin's Garage,,,,,,,AZ,,4.7,28,Car repair and maintenance service,,,https://www.google.com/maps/place/Kevin%27s+Garage/data=!4m7!3m6!1s0x86d6f5cd399fc0b7:0xd1ce7b8f84e82722!8m2!3d31.9239866!4d-110.8437565!16s%2Fg%2F11j96pqdg2!19sChIJt8CfOc311oYRIifohI97ztE?authuser=0&hl=en&rclk=1,auto repair shop,Santa Cruz County,county,AZ,2026-07-13T09:06:12,0x86d6f5cd399fc0b7:0xd1ce7b8f84e82722
Mesa Auto Repair,,,,,,,AZ,,4.7,13,Car repair and maintenance service,,,https://www.google.com/maps/place/Mesa+Auto+Repair/data=!4m7!3m6!1s0x872ba7eb66efa8f7:0x8dafd0c7c63aa96!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11byckpzr2!19sChIJ96jvZuunK4cRlqpjfAz92gg?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0x872ba7eb66efa8f7:0x8dafd0c7c63aa96
Momentum auto repair,,http://momentumautoaz.com/,,,,,AZ,,,,Auto electrical service,,,https://www.google.com/maps/place/Momentum+auto+repair/data=!4m7!3m6!1s0x9e85c715d565a77:0xfee3d11a4fac4721!8m2!3d32.9353109!4d-111.234834!16s%2Fg%2F11njdzvmtf!19sChIJd1pWXXFc6AkRIUesTxrR4_4?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0x9e85c715d565a77:0xfee3d11a4fac4721
SOUTH MOUNTAIN AUTO REPAIR,,,,"Phoenix, AZ 85041, United States",,,AZ,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/SOUTH+MOUNTAIN+AUTO+REPAIR/data=!4m7!3m6!1s0x872b11a85f85ccaf:0xe413f4b2d6bf9274!8m2!3d33.4069323!4d-112.0923765!16s%2Fg%2F11tn58c1bx!19sChIJr8yFX6gRK4cRdJK_1rL0E-Q?authuser=0&hl=en&rclk=1,auto repair shop,Greenlee County,county,AZ,2026-07-22T06:16:43,0x872b11a85f85ccaf:0xe413f4b2d6bf9274
Sacaton Arizona,,,,"Sacaton, AZ 85147, United States",,,AZ,,,,Auto repair shop,,,https://www.google.com/maps/place/Sacaton+Arizona/data=!4m7!3m6!1s0x872a5b005ec0ec7d:0xeec1ead28d469db8!8m2!3d33.0767661!4d-111.7392553!16s%2Fg%2F11xnncmb_s!19sChIJfezAXgBbKocRuJ1GjdLqwe4?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0x872a5b005ec0ec7d:0xeec1ead28d469db8
Saguaro Automotive Services,,https://www.facebook.com/share/181sF87fqS/?mibextid=wwXIfr,,,,,AZ,,5.0,25,Mechanic,,,https://www.google.com/maps/place/Saguaro+Automotive+Services/data=!4m7!3m6!1s0xabaf90188583b6f3:0x67c83786cc44fdf5!8m2!3d33.3156585!4d-111.7191899!16s%2Fg%2F11yp7h6g43!19sChIJ87aDhRiQr6sR9f1EzIY3yGc?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0xabaf90188583b6f3:0x67c83786cc44fdf5
