name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
911 Mobile Mechanic,,http://911mobilemechanic.com/,,"San Luis Obispo, CA 93401, United States",,,CA,,5.0,1,Car inspection station,,,https://www.google.com/maps/place/911+Mobile+Mechanic/data=!4m7!3m6!1s0x80ecf17cb751bda7:0xceaad311d9e95017!8m2!3d35.2870964!4d-120.6528605!16s%2Fg%2F11lll_3h1q!19sChIJp71Rt3zx7IARF1Dp2RHTqs4?authuser=0&hl=en&rclk=1,auto repair shop,San Luis Obispo County,county,CA,2026-07-22T12:45:16,0x80ecf17cb751bda7:0xceaad311d9e95017
Chevrolet Service,,,,"Jamestown, CA 95327, United States",,,CA,,5.0,5,Auto repair shop,,,https://www.google.com/maps/place/Chevrolet+Service/data=!4m7!3m6!1s0x8090c46be45a51ab:0xba081fda612b39f!8m2!3d37.9580677!4d-120.4174712!16s%2Fg%2F11f020n7lq!19sChIJq1Fa5GvEkIARn7MSpv2BoAs?authuser=0&hl=en&rclk=1,auto repair shop,Tuolumne County,county,CA,2026-07-22T14:29:55,0x8090c46be45a51ab:0xba081fda612b39f
Google Maps can't reach the internet,,,,,,,CA,,,,,,,https://www.google.com/maps/place/Newcastle+Auto+Tech/data=!4m7!3m6!1s0x809b1bae6271229f:0xc59e05b8bd058d50!8m2!3d38.875673!4d-121.1332845!16s%2Fg%2F1tdc5gtb!19sChIJnyJxYq4bm4ARUI0FvbgFnsU?authuser=0&hl=en&rclk=1,auto repair shop,Placer County,county,CA,2026-07-22T11:53:13,0x809b1bae6271229f:0xc59e05b8bd058d50
Google Maps can't reach the internet,,,,,,,CA,,,,,,,https://www.google.com/maps/place/Roseville+Mobile+Auto+Repair/data=!4m7!3m6!1s0x809b21b65bdf646f:0x372566fd07526c45!8m2!3d38.7302654!4d-121.3019303!16s%2Fg%2F11mssrch5r!19sChIJb2TfW7Yhm4ARRWxSB_1mJTc?authuser=0&hl=en&rclk=1,auto repair shop,Placer County,county,CA,2026-07-22T11:53:13,0x809b21b65bdf646f:0x372566fd07526c45
Mobile Mechanic,,,,"Willits, CA 95490, United States",,,CA,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Mobile+Mechanic/data=!4m7!3m6!1s0x808199897d1a9653:0xe8c3e9e9df9fee34!8m2!3d39.4070851!4d-123.3519962!16s%2Fg%2F11xr_r_29z!19sChIJU5YafYmZgYARNO6f3-npw-g?authuser=0&hl=en&rclk=1,auto repair shop,Mendocino County,county,CA,2026-07-14T08:45:07,0x808199897d1a9653:0xe8c3e9e9df9fee34
Self Service Car Wash,,,,"Willows, CA 95988, United States",,,CA,,3.8,67,Self service car wash,,,https://www.google.com/maps/place/Self+Service+Car+Wash/data=!4m7!3m6!1s0x8083050519e03b2f:0xc1883cf9d7096d65!8m2!3d39.5240045!4d-122.21035!16s%2Fg%2F11f29d8dvq!19sChIJLzvgGQUFg4ARZW0J1_k8iME?authuser=0&hl=en&rclk=1,auto repair shop,Glenn County,county,CA,2026-07-14T07:14:51,0x8083050519e03b2f:0xc1883cf9d7096d65
Weaverville Garage,,,,"Weaverville, CA 96093, United States",,,CA,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Weaverville+Garage/data=!4m7!3m6!1s0x54d253cd59715903:0x5c4ebf227729b7d5!8m2!3d40.7137747!4d-122.9247257!16s%2Fg%2F11fct5h0h6!19sChIJA1lxWc1T0lQR1bcpdyK_Tlw?authuser=0&hl=en&rclk=1,auto repair shop,Trinity County,county,CA,2026-07-22T14:11:12,0x54d253cd59715903:0x5c4ebf227729b7d5
Engine Works Inc,(510) 523-6779,http://www.engine-works.com/,,"1923 Minturn St, Alameda, CA 94501, United States",1923 Minturn St,Alameda,CA,94501,4.7,92,Auto repair shop,,,https://www.google.com/maps/place/Engine+Works+Inc/data=!4m7!3m6!1s0x808f86dacb4b5159:0x1e8a2db6dcddb19!8m2!3d37.7756823!4d-122.2524924!16s%2Fg%2F1wn_6bj3!19sChIJWVFLy9qGj4ARGdvNbdui6AE?authuser=0&hl=en&rclk=1,auto repair shop,Alameda County,county,CA,2026-07-22T08:19:55,0x808f86dacb4b5159:0x1e8a2db6dcddb19
Completely Custom Inc,(530) 233-5988,,,"107 S Main St, Alturas, CA 96101, United States",107 S Main St,Alturas,CA,96101,4.2,13,Auto body shop,,,https://www.google.com/maps/place/Completely+Custom+Inc/data=!4m7!3m6!1s0x54cb90aa2ec510f5:0x13a60a3d80347a9e!8m2!3d41.483862!4d-120.542793!16s%2Fg%2F1tdx3w2x!19sChIJ9RDFLqqQy1QRnno0gD0KphM?authuser=0&hl=en&rclk=1,auto repair shop,Modoc County,county,CA,2026-07-22T10:57:07,0x54cb90aa2ec510f5:0x13a60a3d80347a9e
AAMCO Transmissions & Total Car Care,(714) 586-8537,https://www.aamcoanaheim.com/?utm_source=G&utm_medium=local&utm_campaign=google-local,,"519 S Brookhurst St, Anaheim, CA 92804, United States",519 S Brookhurst St,Anaheim,CA,92804,4.5,329,Transmission shop,,,https://www.google.com/maps/place/AAMCO+Transmissions+%26+Total+Car+Care/data=!4m7!3m6!1s0x80dd29bca8b37f23:0x4f8a5f2752cbb344!8m2!3d33.8253148!4d-117.9594518!16s%2Fg%2F1tp27l8t!19sChIJI3-zqLwp3YARRLPLUidfik8?authuser=0&hl=en&rclk=1,auto repair shop,Anaheim,city,CA,2026-07-22T15:35:33,0x80dd29bca8b37f23:0x4f8a5f2752cbb344
