name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Auto Service,,,,"Chama, NM 87520, United States",,,CO,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Auto+Service/data=!4m7!3m6!1s0x873d812be7629809:0x4f312ec0185bc898!8m2!3d36.8826726!4d-106.5864016!16s%2Fg%2F11t9kcm43l!19sChIJCZhi5yuBPYcRmMhbGMAuMU8?authuser=0&hl=en&rclk=1,auto repair shop,Baca County,county,CO,2026-07-22T17:26:41,0x873d812be7629809:0x4f312ec0185bc898
Car Care Center,,,,"Colorado 81144, United States",,,CO,,,,Auto repair shop,,,https://www.google.com/maps/place/Car+Care+Center/data=!4m7!3m6!1s0x8715dfa89c90316d:0xf603d4e68b33a0c!8m2!3d37.5693144!4d-106.114859!16s%2Fg%2F11sf61ls2z!19sChIJbTGQnKjfFYcRDDqzaE49YA8?authuser=0&hl=en&rclk=1,auto repair shop,Costilla County,county,CO,2026-07-22T18:17:25,0x8715dfa89c90316d:0xf603d4e68b33a0c
Long Brothers Garage Inc,(303) 838-5986,,,,,,CO,,3.9,55,Car repair and maintenance service,,,https://www.google.com/maps/place/Long+Brothers+Garage+Inc/data=!4m7!3m6!1s0x876b73ad0f015777:0x950d0baacae2cbe7!8m2!3d39.52193!4d-105.487885!16s%2Fg%2F1tj9ttqq!19sChIJd1cBD61za4cR58viyqoLDZU?authuser=0&hl=en&rclk=1,auto repair shop,Clear Creek County,county,CO,2026-07-22T18:02:04,0x876b73ad0f015777:0x950d0baacae2cbe7
M.A.R.S. Mobile Auto Reconditioning Service,,,,,,,CO,,,,Auto painting,,,https://www.google.com/maps/place/M.A.R.S.+Mobile+Auto+Reconditioning+Service/data=!4m7!3m6!1s0x87413900e2a0238f:0x3ef394581c8bdc54!8m2!3d39.2957605!4d-108.045962!16s%2Fg%2F11qn9yl6w3!19sChIJjyOg4gA5QYcRVNyLHFiU8z4?authuser=0&hl=en&rclk=1,auto repair shop,Rio Blanco County,county,CO,2026-07-14T19:36:14,0x87413900e2a0238f:0x3ef394581c8bdc54
MIKE'S LUBE SHOP,,,,"La Junta, CO 81050, United States",,,CO,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/MIKE%27S+LUBE+SHOP/data=!4m7!3m6!1s0x870df88e67adfa2d:0x2c2df190821c2e2c!8m2!3d37.9857756!4d-103.5276254!16s%2Fg%2F11tn59bv9f!19sChIJLfqtZ474DYcRLC4cgpDxLSw?authuser=0&hl=en&rclk=1,auto repair shop,Otero County,county,CO,2026-07-22T21:56:33,0x870df88e67adfa2d:0x2c2df190821c2e2c
Maxxis,,,,"Meeker, CO 81641, United States",,,CO,,,,Auto repair shop,,,https://www.google.com/maps/place/Maxxis/data=!4m7!3m6!1s0x8743f08234a5f20d:0x9fb8f7369a292093!8m2!3d40.0360902!4d-107.9128449!16s%2Fg%2F11vb4db_q7!19sChIJDfKlNILwQ4cRkyApmjb3uJ8?authuser=0&hl=en&rclk=1,auto repair shop,Rio Blanco County,county,CO,2026-07-22T22:26:18,0x8743f08234a5f20d:0x9fb8f7369a292093
Nuclear Test Site - Project Rio Blanco,,https://www.energy.gov/sites/default/files/2021-08/RioBlancoFactSheet.pdf,,"Rifle, CO 81650, United States",,,CO,,3.9,18,Historical place,,,https://www.google.com/maps/place/Nuclear+Test+Site+-+Project+Rio+Blanco/data=!4m7!3m6!1s0x8746a081d8395ab5:0x5177dea13d3347ec!8m2!3d39.793249!4d-108.3672024!16s%2Fg%2F1tf1p9kl!19sChIJtVo52IGgRocR7EczPaHed1E?authuser=0&hl=en&rclk=1,auto repair shop,Rio Blanco County,county,CO,2026-07-22T22:26:18,0x8746a081d8395ab5:0x5177dea13d3347ec
Patriot Towing LTD,(720) 244-2356,http://patriottowingservice.com/,,,,,CO,,4.9,27,Towing service,,,https://www.google.com/maps/place/Patriot+Towing+LTD/data=!4m7!3m6!1s0x876eabdd50c26931:0x4bf35cfc193582ac!8m2!3d38.9979464!4d-105.550863!16s%2Fg%2F11h75v0202!19sChIJMWnCUN2rbocRrII1Gfxc80s?authuser=0&hl=en&rclk=1,auto repair shop,Clear Creek County,county,CO,2026-07-22T18:02:04,0x876eabdd50c26931:0x4bf35cfc193582ac
Poore Boys Automotive LLC,,,,,,,CO,,5.0,1,Auto bodywork mechanic,,,https://www.google.com/maps/place/Poore+Boys+Automotive+LLC/data=!4m7!3m6!1s0x43f87c4b6795ba07:0x592db11c0e3e1fd2!8m2!3d37.638011!4d-104.7778215!16s%2Fg%2F11z02xztvg!19sChIJB7qVZ0t8-EMR0h8-DhyxLVk?authuser=0&hl=en&rclk=1,auto repair shop,Huerfano County,county,CO,2026-07-22T20:02:31,0x43f87c4b6795ba07:0x592db11c0e3e1fd2
Precision Automotive,,,,"Sheridan, CO 80110, United States",,,CO,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Precision+Automotive/data=!4m7!3m6!1s0x876c803fc637dbc7:0x4f43f419a68171e!8m2!3d39.6330665!4d-105.0110905!16s%2Fg%2F11q7b49pth!19sChIJx9s3xj-AbIcRHhdomkE_9AQ?authuser=0&hl=en&rclk=1,auto repair shop,Gilpin County,county,CO,2026-07-22T19:37:23,0x876c803fc637dbc7:0x4f43f419a68171e
