name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Stamford Mobile Tire Service Inc.,(203) 969-5638,http://smts.pro/,,"Stamford, CT 06905, United States",,,CT,,5.0,59,Tire shop,,,https://www.google.com/maps/place/Stamford+Mobile+Tire+Service+Inc./data=!4m7!3m6!1s0x89c2a1680216aaab:0x3280f648b40ea0c1!8m2!3d41.0901834!4d-73.541744!16s%2Fg%2F11gglpkgs1!19sChIJq6oWAmihwokRwaAOtEj2gDI?authuser=0&hl=en&rclk=1,auto repair shop,Stamford,city,CT,2026-07-23T01:12:09,0x89c2a1680216aaab:0x3280f648b40ea0c1
Firestone Complete Auto Care,(860) 969-0018,https://www.firestonecompleteautocare.com/connecticut/avon/225-west-main-street/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,"225 W Main St, Avon, CT 06001, United States",225 W Main St,Avon,CT,06001,4.8,530,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x89e7a96f86290a43:0xe571e9f4c29a2e4a!8m2!3d41.8117169!4d-72.8507171!16s%2Fg%2F11vl0qyc7k!19sChIJQwophm-p54kRSi6awvTpceU?authuser=0&hl=en&rclk=1,auto repair shop,Hartford County,county,CT,2026-07-23T00:00:37,0x89e7a96f86290a43:0xe571e9f4c29a2e4a
"Kensington Auto Service, Ltd.",(860) 829-7377,http://www.kensingtonautoserviceltd.com/,,"89 Harding St, Berlin, CT 06037, United States",89 Harding St,Berlin,CT,06037,4.4,136,Auto repair shop,,,"https://www.google.com/maps/place/Kensington+Auto+Service,+Ltd./data=!4m7!3m6!1s0x89e7b385ee4601c7:0x4572cfcbfc4eba61!8m2!3d41.6374848!4d-72.768002!16s%2Fg%2F1tt1j7j9!19sChIJxwFG7oWz54kRYbpO_MvPckU?authuser=0&hl=en&rclk=1",auto repair shop,Hartford County,county,CT,2026-07-23T00:00:37,0x89e7b385ee4601c7:0x4572cfcbfc4eba61
Ron's Automotive Repair Inc,(860) 828-3346,http://www.ronsautoct.com/auto-repair-berlin-ct-contact.html,,"928 Farmington Ave, Berlin, CT 06037, United States",928 Farmington Ave,Berlin,CT,06037,4.8,44,Auto repair shop,,,https://www.google.com/maps/place/Ron%27s+Automotive+Repair+Inc/data=!4m7!3m6!1s0x89e7b3873975dc6d:0x79745bdac442fba!8m2!3d41.6330403!4d-72.7635683!16s%2Fg%2F1thx5271!19sChIJbdx1OYez54kRui9ErL1Flwc?authuser=0&hl=en&rclk=1,auto repair shop,Middlesex County,county,CT,2026-07-23T00:13:31,0x89e7b3873975dc6d:0x79745bdac442fba
"Bloomfield Garage, Inc.",(860) 243-1706,http://www.bgiautos.com/,,"689 Park Ave, Bloomfield, CT 06002, United States",689 Park Ave,Bloomfield,CT,06002,4.8,375,Auto repair shop,,,"https://www.google.com/maps/place/Bloomfield+Garage,+Inc./data=!4m7!3m6!1s0x89e7aadc5b61e49d:0xb6cf475554fac5be!8m2!3d41.8260122!4d-72.7295025!16s%2Fg%2F1td6t7z2!19sChIJneRhW9yq54kRvsX6VFVHz7Y?authuser=0&hl=en&rclk=1",auto repair shop,Hartford County,county,CT,2026-07-23T00:00:37,0x89e7aadc5b61e49d:0xb6cf475554fac5be
Meineke Car Care Center,(203) 208-8649,https://www.meineke.com/locations/ct/branford-316/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,,"471 W Main St, Branford, CT 06405, United States",471 W Main St,Branford,CT,06405,4.6,668,Auto repair shop,,,https://www.google.com/maps/place/Meineke+Car+Care+Center/data=!4m7!3m6!1s0x89e7d64b8aaeef27:0x6511a7f78cd6a16!8m2!3d41.2793664!4d-72.8468079!16s%2Fg%2F12q4whnhk!19sChIJJ--uikvW54kRFmrNeH8aUQY?authuser=0&hl=en&rclk=1,auto repair shop,Middlesex County,county,CT,2026-07-14T21:24:42,0x89e7d64b8aaeef27:0x6511a7f78cd6a16
Midas,(203) 903-2519,https://www.midas.com/store/ct/branford/755-west-main-street-06405/?shopnum=4562&utm_source=google&utm_medium=organic&utm_campaign=gbp,,"755 W Main St, Branford, CT 06405, United States",755 W Main St,Branford,CT,06405,4.7,536,Auto repair shop,,,https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x89e7d648a9318b49:0x1312d9154c4d20b5!8m2!3d41.27784!4d-72.8401515!16s%2Fg%2F1tf16xm9!19sChIJSYsxqUjW54kRtSBNTBXZEhM?authuser=0&hl=en&rclk=1,auto repair shop,Middlesex County,county,CT,2026-07-14T21:24:42,0x89e7d648a9318b49:0x1312d9154c4d20b5
Alfa Motors Inc,(203) 367-9816,,,"28 Huntington Rd, Bridgeport, CT 06608, United States",28 Huntington Rd,Bridgeport,CT,06608,4.6,38,Auto repair shop,,,https://www.google.com/maps/place/Alfa+Motors+Inc/data=!4m7!3m6!1s0x89e80e83dfb91435:0x13cf402ca5e01067!8m2!3d41.1943757!4d-73.186203!16s%2Fg%2F1wc328fd!19sChIJNRS534MO6IkRZxDgpSxAzxM?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e83dfb91435:0x13cf402ca5e01067
Belmont Auto Tech,,,,"39 Belmont Ave, Bridgeport, CT 06605, United States",39 Belmont Ave,Bridgeport,CT,06605,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Belmont+Auto+Tech/data=!4m7!3m6!1s0x89e80e2fd356aaab:0x46d4b1e45ccc68ab!8m2!3d41.16482!4d-73.2204844!16s%2Fg%2F11h3vc0w_6!19sChIJq6pW0y8O6IkRq2jMXOSx1EY?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e2fd356aaab:0x46d4b1e45ccc68ab
Cardinale Auto Services Inc,(203) 334-6242,,,"405 North Ave, Bridgeport, CT 06606, United States",405 North Ave,Bridgeport,CT,06606,4.6,68,Auto repair shop,,,https://www.google.com/maps/place/Cardinale+Auto+Services+Inc/data=!4m7!3m6!1s0x89e80e850ceda0e1:0xbee9433eeab428cb!8m2!3d41.1979685!4d-73.1920138!16s%2Fg%2F1ts_7n1s!19sChIJ4aDtDIUO6IkRyyi06j5D6b4?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e850ceda0e1:0xbee9433eeab428cb
Family Auto Body Inc,(203) 366-5631,http://familyautobodyct.com/,,"88 North Ave, Bridgeport, CT 06606, United States",88 North Ave,Bridgeport,CT,06606,2.9,99,Auto body shop,,,https://www.google.com/maps/place/Family+Auto+Body+Inc/data=!4m7!3m6!1s0x89e80e9ba239678f:0x68740afdcd0a1dd!8m2!3d41.2021912!4d-73.1907379!16s%2Fg%2F1v9412k1!19sChIJj2c5opsO6IkR3aHQ3K9AhwY?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e9ba239678f:0x68740afdcd0a1dd
Firestone Complete Auto Care,(203) 916-5125,https://www.firestonecompleteautocare.com/connecticut/bridgeport/300-john-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,"300 John St, Bridgeport, CT 06604, United States",300 John St,Bridgeport,CT,06604,4.5,813,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x89e80e71bf852fdb:0xc1c7183b4139b81!8m2!3d41.1770598!4d-73.1925609!16s%2Fg%2F1vn_z_96!19sChIJ2y-Fv3EO6IkRgZsTtINxHAw?authuser=0&hl=en&rclk=1,auto repair shop,Fairfield County,county,CT,2026-07-22T23:53:36,0x89e80e71bf852fdb:0xc1c7183b4139b81
Flr Automotive Llc,,,,"371 Orange St, Bridgeport, CT 06607, United States",371 Orange St,Bridgeport,CT,06607,2.1,7,Auto repair shop,,,https://www.google.com/maps/place/Flr+Automotive+Llc/data=!4m7!3m6!1s0x89e80dc7df540001:0x3fa94bc7c86233ef!8m2!3d41.1756888!4d-73.1603834!16s%2Fg%2F11hy9nmtsm!19sChIJAQBU38cN6IkR7zNiyMdLqT8?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80dc7df540001:0x3fa94bc7c86233ef
Larocca Garage Inc Madison,(203) 335-9926,http://www.laroccagaragebridgeport.com/,,"71 Federal St, Bridgeport, CT 06606, United States",71 Federal St,Bridgeport,CT,06606,4.7,123,Auto repair shop,,,https://www.google.com/maps/place/Larocca+Garage+Inc+Madison/data=!4m7!3m6!1s0x89e80e8be9f7bac3:0xb2250b1a81b41708!8m2!3d41.1951546!4d-73.2004885!16s%2Fg%2F1tj2d0ks!19sChIJw7r36YsO6IkRCBe0gRoLJbI?authuser=0&hl=en&rclk=1,auto repair shop,Fairfield County,county,CT,2026-07-22T23:53:36,0x89e80e8be9f7bac3:0xb2250b1a81b41708
M & F Auto Body Inc,(203) 334-2225,,,"1015 North Ave, Bridgeport, CT 06606, United States",1015 North Ave,Bridgeport,CT,06606,4.6,144,Auto body shop,,,https://www.google.com/maps/place/M+%26+F+Auto+Body+Inc/data=!4m7!3m6!1s0x89e80e62711f4ad9:0x9a5f58dbcf14d328!8m2!3d41.1905919!4d-73.1976877!16s%2Fg%2F1tds7q_g!19sChIJ2UofcWIO6IkRKNMUz9tYX5o?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e62711f4ad9:0x9a5f58dbcf14d328
Mid-Town Autobody Inc,(203) 384-1537,https://www.mid-townautobody.com/,,"177 Pulaski St, Bridgeport, CT 06608, United States",177 Pulaski St,Bridgeport,CT,06608,3.0,160,Towing service,,,https://www.google.com/maps/place/Mid-Town+Autobody+Inc/data=!4m7!3m6!1s0x89e80e78cb3afcef:0xa2d7bc417009e930!8m2!3d41.1842547!4d-73.1837388!16s%2Fg%2F1tc_xn0k!19sChIJ7_w6y3gO6IkRMOkJcEG816I?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80e78cb3afcef:0xa2d7bc417009e930
Mino’s Auto Center Inc,(203) 384-9248,,,"2205 E Main St, Bridgeport, CT 06610, United States",2205 E Main St,Bridgeport,CT,06610,4.4,99,Auto repair shop,,,https://www.google.com/maps/place/Mino%E2%80%99s+Auto+Center+Inc/data=!4m7!3m6!1s0x89e80c2102f054ad:0x972d7859cfdbcbf5!8m2!3d41.2045!4d-73.179391!16s%2Fg%2F1pxw8_0m6!19sChIJrVTwAiEM6IkR9cvbz1l4LZc?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80c2102f054ad:0x972d7859cfdbcbf5
Paul's Service Center,,,,"819 Lindley St, Bridgeport, CT 06606, United States",819 Lindley St,Bridgeport,CT,06606,4.4,101,Auto repair shop,,,https://www.google.com/maps/place/Paul%27s+Service+Center/data=!4m7!3m6!1s0x89e80e91fd3f8ddd:0xde7e8a420ddd5cf5!8m2!3d41.2010396!4d-73.1992616!16s%2Fg%2F1tdwr3q6!19sChIJ3Y0__ZEO6IkR9VzdDUKKft4?authuser=0&hl=en&rclk=1,auto repair shop,Fairfield County,county,CT,2026-07-22T23:53:36,0x89e80e91fd3f8ddd:0xde7e8a420ddd5cf5
Transmission Repair,,,,"185 Dover St, Bridgeport, CT 06610, United States",185 Dover St,Bridgeport,CT,06610,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Transmission+Repair/data=!4m7!3m6!1s0x89e80c307a7f07e5:0xa14a1b75ab86f48f!8m2!3d41.1959932!4d-73.1681439!16s%2Fg%2F11k5lsbl9w!19sChIJ5Qd_ejAM6IkRj_SGq3UbSqE?authuser=0&hl=en&rclk=1,auto repair shop,Bridgeport,city,CT,2026-07-23T00:54:42,0x89e80c307a7f07e5:0xa14a1b75ab86f48f
