name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Capitol Auto Land Inc,(703) 998-0207,https://capitolautoland.com/,,"2427 Shirlington Rd, Arlington, VA 22206, United States",2427 Shirlington Rd,Arlington,VA,22206,4.9,1739,Auto repair shop,,,https://www.google.com/maps/place/Capitol+Auto+Land+Inc/data=!4m7!3m6!1s0x89b7b14e16ff9da9:0x28fff69234d956d7!8m2!3d38.8475601!4d-77.083617!16s%2Fg%2F1thcnnxr!19sChIJqZ3_Fk6xt4kR11bZNJL2_yg?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7b14e16ff9da9:0x28fff69234d956d7
Murray's Auto Clinic Inc.,(301) 585-7557,https://www.murraysautoclinics.com/?utm_source=GoogleBusinessProfile&utm_medium=GoogleBusinessProfile&utm_campaign=GoogleBusinessProfile&utm_id=murrays&utm_content=GoogleBusinessProfile,,"999 Philadelphia Ave, Silver Spring, MD 20910, United States",999 Philadelphia Ave,Silver Spring,MD,20910,4.9,1096,Auto repair shop,,,https://www.google.com/maps/place/Murray%27s+Auto+Clinic+Inc./data=!4m7!3m6!1s0x89b7c8bdb48cae67:0x4d8c492ab09156c7!8m2!3d38.9897152!4d-77.0260008!16s%2Fg%2F1td7zzyw!19sChIJZ66MtL3It4kRx1aRsCpJjE0?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c8bdb48cae67:0x4d8c492ab09156c7
Rossi's Automotive Service Inc.,(301) 495-0188,http://www.rossisautoservice.com/,,"903 Selim Rd, Silver Spring, MD 20910, United States",903 Selim Rd,Silver Spring,MD,20910,4.8,320,Auto repair shop,,,https://www.google.com/maps/place/Rossi%27s+Automotive+Service+Inc./data=!4m7!3m6!1s0x89b7c8bd8323d2a1:0xdd0e6e67fbbfcbfb!8m2!3d38.9880283!4d-77.0250329!16s%2Fg%2F1txc7y69!19sChIJodIjg73It4kR-8u_-2duDt0?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c8bd8323d2a1:0xdd0e6e67fbbfcbfb
Alem Auto Repair,,,,"3001 Earl Pl NE, Washington, DC 20018, United States",3001 Earl Pl NE,Washington,DC,20018,,,Auto repair shop,,,https://www.google.com/maps/place/Alem+Auto+Repair/data=!4m7!3m6!1s0x89b7c7005be9b341:0xf8aa5fbda9df60a9!8m2!3d38.9285154!4d-76.9631503!16s%2Fg%2F11z824ryn3!19sChIJQbPpWwDHt4kRqWDfqb1fqvg?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c7005be9b341:0xf8aa5fbda9df60a9
BNH Tires Inc.,(202) 269-1352,,,"604 Rhode Island Ave NE, Washington, DC 20002, United States",604 Rhode Island Ave NE,Washington,DC,20002,4.1,165,Tire shop,,,https://www.google.com/maps/place/BNH+Tires+Inc./data=!4m7!3m6!1s0x89b7b80873c5f6d3:0x3ca2dc8a0b4ef875!8m2!3d38.9209325!4d-76.9983719!16s%2Fg%2F11dfgwg49v!19sChIJ0_bFcwi4t4kRdfhOC4rcojw?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-15T07:00:52,0x89b7b80873c5f6d3:0x3ca2dc8a0b4ef875
C and W Auto Repair,,https://candwrepairbodyshopdc.wordpress.com/,,"2626 Evarts St NE, Washington, DC 20018, United States",2626 Evarts St NE,Washington,DC,20018,5.0,9,Auto repair shop,,,https://www.google.com/maps/place/C+and+W+Auto+Repair/data=!4m7!3m6!1s0x89b7c7000b1d5f37:0xb97d036d077803f5!8m2!3d38.9249798!4d-76.9686942!16s%2Fg%2F11vwk6m9gz!19sChIJN18dCwDHt4kR9QN4B20Dfbk?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-15T07:00:52,0x89b7c7000b1d5f37:0xb97d036d077803f5
Garcia’s Auto Services,,,,"2060 West Virginia Ave NE, Washington, DC 20002, United States",2060 West Virginia Ave NE,Washington,DC,20002,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Garcia%E2%80%99s+Auto+Services/data=!4m7!3m6!1s0x89b7b933fe915a95:0x345575715068d309!8m2!3d38.9152351!4d-76.9809577!16s%2Fg%2F11lyblqxvf!19sChIJlVqR_jO5t4kRCdNoUHF1VTQ?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-15T07:00:52,0x89b7b933fe915a95:0x345575715068d309
Goodyear Auto Service,(202) 526-3885,https://www.goodyear.com/en-us/goodyearautoservice,,"3156 Bladensburg Rd NE, Washington, DC 20018, United States",3156 Bladensburg Rd NE,Washington,DC,20018,4.6,297,Tire shop,,,https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x89b7c779d5895a6d:0x7669ef9a3305bcfc!8m2!3d38.9290617!4d-76.96158!16s%2Fg%2F1v9gwc4c!19sChIJbVqJ1XnHt4kR_LwFM5rvaXY?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-23T01:52:22,0x89b7c779d5895a6d:0x7669ef9a3305bcfc
Grand auto car Care,,,,"1500 M St NE, Washington, DC 20002, United States",1500 M St NE,Washington,DC,20002,,,Auto repair shop,,,https://www.google.com/maps/place/Grand+auto+car+Care/data=!4m7!3m6!1s0x89b7b97b07dca557:0x5dbf39f9be8f5672!8m2!3d38.9056454!4d-76.9797303!16s%2Fg%2F11nqrdgsp9!19sChIJV6XcB3u5t4kRclaPvvk5v10?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7b97b07dca557:0x5dbf39f9be8f5672
L J Auto Repair Inc,(202) 545-8150,https://www.ljauto4sales.com/,,"5913 Blair Rd NW, Washington, DC 20011, United States",5913 Blair Rd NW,Washington,DC,20011,4.4,34,Auto repair shop,,,https://www.google.com/maps/place/L+J+Auto+Repair+Inc/data=!4m7!3m6!1s0x89b7c7d58ee76c15:0xf44b6bc79c4664aa!8m2!3d38.9618873!4d-77.0101013!16s%2Fg%2F1tf08k8k!19sChIJFWznjtXHt4kRqmRGnMdrS_Q?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c7d58ee76c15:0xf44b6bc79c4664aa
Medina's Auto Repair Mobile Mechanic Washington,,,,"2708 26th St NE, Washington, DC 20018, United States",2708 26th St NE,Washington,DC,20018,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Medina%27s+Auto+Repair+Mobile+Mechanic+Washington/data=!4m7!3m6!1s0x89b7c7840447e33b:0x3806cee76c4881d5!8m2!3d38.9250034!4d-76.9704001!16s%2Fg%2F12642hw_w!19sChIJO-NHBITHt4kR1YFIbOfOBjg?authuser=0&hl=en&rclk=1,auto repair shop,District of Columbia,county,DC,2026-07-23T01:50:12,0x89b7c7840447e33b:0x3806cee76c4881d5
Midas,(202) 350-9755,https://www.midas.com/store/dc/washington/1620-rhode-island-avenue-northeast-20018/?shopnum=3598&utm_source=google&utm_medium=organic&utm_campaign=gbp,,"1620 Rhode Island Ave NE, Washington, DC 20018, United States",1620 Rhode Island Ave NE,Washington,DC,20018,3.5,386,Auto repair shop,,,https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x89b7c78ea0b103fd:0xfdcbf9c1a1e2a67d!8m2!3d38.9267169!4d-76.9816531!16s%2Fg%2F1tzzwdgf!19sChIJ_QOxoI7Ht4kRfabiocH5y_0?authuser=0&hl=en&rclk=1,auto repair shop,Washington,city,DC,2026-07-23T01:52:22,0x89b7c78ea0b103fd:0xfdcbf9c1a1e2a67d
