name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Mr muffler,,,,"Middletown, DE 19709, United States",,,DE,,,,Auto repair shop,,,https://www.google.com/maps/place/Mr+muffler/data=!4m7!3m6!1s0x89c7a1002f68e4f7:0x278d328d4049e516!8m2!3d39.449556!4d-75.7163207!16s%2Fg%2F11wb01ydby!19sChIJ9-RoLwChx4kRFuVJQI0yjSc?authuser=0&hl=en&rclk=1,auto repair shop,Middletown,city,DE,2026-07-23T02:51:16,0x89c7a1002f68e4f7:0x278d328d4049e516
Wrenchit Mobile Mechanic LLC,,,,"Houston, DE 19954, United States",,,DE,,,,Auto repair shop,,,https://www.google.com/maps/place/Wrenchit+Mobile+Mechanic+LLC/data=!4m7!3m6!1s0x89b891007a99058f:0x54d1ca0c3e9c7d33!8m2!3d38.9108325!4d-75.5276699!16s%2Fg%2F11njqgxc_x!19sChIJjwWZegCRuIkRM32cPgzK0VQ?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89b891007a99058f:0x54d1ca0c3e9c7d33
AAMCO Transmissions & Total Car Care,(302) 643-2835,http://www.aamcobearde.com/?utm_source=G&utm_medium=local&utm_campaign=google-local,,"819 Pulaski Hwy, Bear, DE 19701, United States",819 Pulaski Hwy,Bear,DE,19701,4.3,561,Transmission shop,,,https://www.google.com/maps/place/AAMCO+Transmissions+%26+Total+Car+Care/data=!4m7!3m6!1s0x89c706c0e4340a49:0xb8e45dddeb0d24f4!8m2!3d39.64134!4d-75.646466!16s%2Fg%2F1th8829x!19sChIJSQo05MAGx4kR9CQN691d5Lg?authuser=0&hl=en&rclk=1,auto repair shop,Newark,city,DE,2026-07-23T02:45:38,0x89c706c0e4340a49:0xb8e45dddeb0d24f4
AAMCO Transmissions & Total Car Care,(302) 217-3991,http://www.greaterdoveraamco.com/?utm_source=G&utm_medium=local&utm_campaign=google-local,,"3729 N Dupont Hwy, Dover, DE 19901, United States",3729 N Dupont Hwy,Dover,DE,19901,4.4,221,Transmission shop,,,https://www.google.com/maps/place/AAMCO+Transmissions+%26+Total+Car+Care/data=!4m7!3m6!1s0x89c77ae31ee53889:0x7d1a3e665f41d659!8m2!3d39.202752!4d-75.560629!16s%2Fg%2F1tlqqywk!19sChIJiTjlHuN6x4kRWdZBX2Y-Gn0?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89c77ae31ee53889:0x7d1a3e665f41d659
Airbase Automotive Repair Inc,(302) 449-1550,https://www.airbaseautomotiverepair.com/,,"350 A Lafferty Ln Unit 14, Dover, DE 19901, United States",350 A Lafferty Ln Unit 14,Dover,DE,19901,5.0,4,Auto repair shop,,,https://www.google.com/maps/place/Airbase+Automotive+Repair+Inc/data=!4m7!3m6!1s0x89c7635bae721465:0xa03c788e7cc5527d!8m2!3d39.1492673!4d-75.4919108!16s%2Fg%2F11zcw0dh6j!19sChIJZRRyrltjx4kRfVLFfI54PKA?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89c7635bae721465:0xa03c788e7cc5527d
Battery warehouse AUTO and TRUCK REPAIRS INC,(302) 423-1766,,,"1166 S Bay Rd, Dover, DE 19901, United States",1166 S Bay Rd,Dover,DE,19901,3.5,6,Auto repair shop,,,https://www.google.com/maps/place/Battery+warehouse+AUTO+and+TRUCK+REPAIRS+INC/data=!4m7!3m6!1s0x89c763cdac8e5e67:0x2bacfa879611323a!8m2!3d39.1376659!4d-75.4965272!16s%2Fg%2F11v03vp4c0!19sChIJZ16OrM1jx4kROjIRlof6rCs?authuser=0&hl=en&rclk=1,auto repair shop,Dover,city,DE,2026-07-23T02:38:04,0x89c763cdac8e5e67:0x2bacfa879611323a
Delmarva Auto Glass Inc,(302) 678-5600,http://www.delmarvaautoglass.com/,,"1903 S Dupont Hwy, Dover, DE 19901, United States",1903 S Dupont Hwy,Dover,DE,19901,4.7,115,Auto glass shop,,,https://www.google.com/maps/place/Delmarva+Auto+Glass+Inc/data=!4m7!3m6!1s0x89c77ccd824aeea3:0x5d3bc0537e215da0!8m2!3d39.1260675!4d-75.5307262!16s%2Fg%2F1tcv2drl!19sChIJo-5Kgs18x4kRoF0hflPAO10?authuser=0&hl=en&rclk=1,auto repair shop,Dover,city,DE,2026-07-23T02:38:04,0x89c77ccd824aeea3:0x5d3bc0537e215da0
Firestone Complete Auto Care,(302) 760-9798,https://www.firestonecompleteautocare.com/delaware/dover/625-s-bay-rd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,"625 S Bay Rd, Dover, DE 19901, United States",625 S Bay Rd,Dover,DE,19901,3.8,457,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x89c7635f8bb958cd:0xe6b433b6cd4fa101!8m2!3d39.1533546!4d-75.5055136!16s%2Fg%2F1trprs30!19sChIJzVi5i19jx4kRAaFPzbYztOY?authuser=0&hl=en&rclk=1,auto repair shop,Dover,city,DE,2026-07-23T02:38:04,0x89c7635f8bb958cd:0xe6b433b6cd4fa101
J&S mobile mechanic &Recovery,,,,"176 Tall Tree Ln, Dover, DE 19904, United States",176 Tall Tree Ln,Dover,DE,19904,3.0,6,Auto machine shop,,,https://www.google.com/maps/place/J%26S+mobile+mechanic+%26Recovery/data=!4m7!3m6!1s0x89b8c9531071a8ab:0x6c67201c8de630be!8m2!3d39.1858498!4d-75.598871!16s%2Fg%2F11n_lrxf49!19sChIJq6hxEFPJuIkRvjDmjRwgZ2w?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89b8c9531071a8ab:0x6c67201c8de630be
Jiffy Lube,(302) 674-8282,https://www.jiffylube.com/locations/de/dover/179,,"236 S Dupont Hwy, Dover, DE 19901, United States",236 S Dupont Hwy,Dover,DE,19901,4.5,674,Oil change service,,,https://www.google.com/maps/place/Jiffy+Lube/data=!4m7!3m6!1s0x89c764a5b23866dd:0x4772cce23e14d371!8m2!3d39.1604178!4d-75.5132695!16s%2Fg%2F1tgp1s3c!19sChIJ3WY4sqVkx4kRcdMUPuLMckc?authuser=0&hl=en&rclk=1,auto repair shop,Dover,city,DE,2026-07-23T02:38:04,0x89c764a5b23866dd:0x4772cce23e14d371
