name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Argyle Mobile Automotive Repair,,,,,,,FL,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/Argyle+Mobile+Automotive+Repair/data=!4m7!3m6!1s0x88e5c157c7149a83:0x3c54064d5f0f8962!8m2!3d30.2921015!4d-81.683107!16s%2Fg%2F11tg4ypdkb!19sChIJg5oUx1fB5YgRYokPX00GVDw?authuser=0&hl=en&rclk=1,auto repair shop,Nassau County,county,FL,2026-07-15T12:51:07,0x88e5c157c7149a83:0x3c54064d5f0f8962
DOT inspection and agricultura,,,,"Sanderson, FL 32087, United States",,,FL,,3.5,4,Vehicle inspection service,,,https://www.google.com/maps/place/DOT+inspection+and+agricultura/data=!4m7!3m6!1s0x88ef7d8e19d1df8b:0x12c3b0c6a92a5633!8m2!3d30.5161962!4d-82.2347913!16s%2Fg%2F11fl3yg6xz!19sChIJi9_RGY5974gRM1YqqcawwxI?authuser=0&hl=en&rclk=1,auto repair shop,Baker County,county,FL,2026-07-23T03:20:59,0x88ef7d8e19d1df8b:0x12c3b0c6a92a5633
Dave's Clay County Transmission,,,,"Middleburg, FL 32068, United States",,,FL,,2.8,4,Auto repair shop,,,https://www.google.com/maps/place/Dave%27s+Clay+County+Transmission/data=!4m7!3m6!1s0x88e5dd5f3828f807:0x57fbb339a3f9e65!8m2!3d30.073582!4d-81.8646426!16s%2Fg%2F11xvgfgfmd!19sChIJB_goOF_d5YgRZZ4_mjO7fwU?authuser=0&hl=en&rclk=1,auto repair shop,Clay County,county,FL,2026-07-23T04:22:46,0x88e5dd5f3828f807:0x57fbb339a3f9e65
FIX-IT PROS OF FLORIDA inc,(239) 445-9930,https://www.fix-it-pros-of-florida.com/,,,,,FL,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/FIX-IT+PROS+OF+FLORIDA+inc/data=!4m7!3m6!1s0xbbec8a37b78607f:0xa57bfc35cbbcd149!8m2!3d28.044637!4d-82.5385269!16s%2Fg%2F11yn3m_l8p!19sChIJf2B4e6PIvgsRSdG8yzX8e6U?authuser=0&hl=en&rclk=1,auto repair shop,Putnam County,county,FL,2026-07-23T11:20:34,0xbbec8a37b78607f:0xa57bfc35cbbcd149
Firestone,,,,"Crawfordville, FL 32327, United States",,,FL,,,,Auto repair shop,,,https://www.google.com/maps/place/Firestone/data=!4m7!3m6!1s0x88ec850046caf41f:0x992d1550971faddc!8m2!3d30.1944839!4d-84.3711207!16s%2Fg%2F11yhgprjcc!19sChIJH_TKRgCF7IgR3K0fl1AVLZk?authuser=0&hl=en&rclk=1,auto repair shop,Franklin County,county,FL,2026-07-23T05:26:55,0x88ec850046caf41f:0x992d1550971faddc
GOODYEAR Tires,,https://www.goodyear.com/en_US/location/Palatka-FL-32177-US-000156667,,"Palatka, FL 32177, United States",,,FL,,4.5,2,Auto repair shop,,,https://www.google.com/maps/place/GOODYEAR+Tires/data=!4m7!3m6!1s0x88e66500698f7a0d:0x83db42d0dd80eca5!8m2!3d29.6485801!4d-81.6375819!16s%2Fg%2F11vzpvyntk!19sChIJDXqPaQBl5ogRpeyA3dBC24M?authuser=0&hl=en&rclk=1,auto repair shop,Putnam County,county,FL,2026-07-23T11:20:34,0x88e66500698f7a0d:0x83db42d0dd80eca5
Google Maps can't reach the internet,,,,,,,FL,,,,,,,https://www.google.com/maps/place/Jenkins+Kia+of+Gainesville+Service/data=!4m7!3m6!1s0x88e8a5fc136f239b:0xc80ac87ae31fc7c0!8m2!3d29.6785976!4d-82.3210251!16s%2Fg%2F11fph8q_tl!19sChIJmyNvE_yl6IgRwMcf43rICsg?authuser=0&hl=en&rclk=1,auto repair shop,Gainesville,city,FL,2026-07-15T16:44:12,0x88e8a5fc136f239b:0xc80ac87ae31fc7c0
Google Maps can't reach the internet,,,,,,,FL,,,,,,,https://www.google.com/maps/place/Extreme+Automotive+%26+Diesel+LLC/data=!4m7!3m6!1s0x88e8a7c8dc664ba5:0x4d66e738579312b3!8m2!3d29.6844801!4d-82.3227847!16s%2Fg%2F11bwf6z66y!19sChIJpUtm3Min6IgRsxKTVzjnZk0?authuser=0&hl=en&rclk=1,auto repair shop,Gainesville,city,FL,2026-07-15T16:44:12,0x88e8a7c8dc664ba5:0x4d66e738579312b3
Google Maps can't reach the internet,,,,,,,FL,,,,,,,https://www.google.com/maps/place/Mr.+Al%27s+Auto+Repair/data=!4m7!3m6!1s0x88e8a78955ad359f:0x497d3f6acad742df!8m2!3d29.6807741!4d-82.2973194!16s%2Fg%2F11p60rzkds!19sChIJnzWtVYmn6IgR30LXymo_fUk?authuser=0&hl=en&rclk=1,auto repair shop,Gainesville,city,FL,2026-07-15T16:44:12,0x88e8a78955ad359f:0x497d3f6acad742df
Google Maps can't reach the internet,,,,,,,FL,,,,,,,https://www.google.com/maps/place/Affordable+Truck+%26+Trailer+Service/data=!4m7!3m6!1s0x88e8a2df1e39876d:0x754d9c946afc9f6c!8m2!3d29.675212!4d-82.2978669!16s%2Fg%2F11fy4qvt_f!19sChIJbYc5Ht-i6IgRbJ_8apScTXU?authuser=0&hl=en&rclk=1,auto repair shop,Gainesville,city,FL,2026-07-15T16:44:12,0x88e8a2df1e39876d:0x754d9c946afc9f6c
