name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
85 to 75 Mobile Repair,,,,,,,GA,,4.4,14,Mechanic,,,https://www.google.com/maps/place/85+to+75+Mobile+Repair/data=!4m7!3m6!1s0x88f4635bce7effad:0xae7d025e5dbccdec!8m2!3d33.369035!4d-84.38424!16s%2Fg%2F11htqzl0by!19sChIJrf9-zltj9IgR7M28XV4Cfa4?authuser=0&hl=en&rclk=1,auto repair shop,Butts County,county,GA,2026-07-23T16:33:27,0x88f4635bce7effad:0xae7d025e5dbccdec
A1Automotive,,,,"Kingsland, GA 31548, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/A1Automotive/data=!4m7!3m6!1s0x88e5050045d6b135:0xd4d3ee92bb1d7dfa!8m2!3d30.7999504!4d-81.6898634!16s%2Fg%2F11vys1kr6n!19sChIJNbHWRQAF5YgR-n0du5Lu09Q?authuser=0&hl=en&rclk=1,auto repair shop,Camden County,county,GA,2026-07-15T19:54:40,0x88e5050045d6b135:0xd4d3ee92bb1d7dfa
ABS Automotive Inc,(770) 920-5136,,,"Douglasville, GA 30135, United States",,,GA,,3.0,12,Auto repair shop,,,https://www.google.com/maps/place/ABS+Automotive+Inc/data=!4m7!3m6!1s0x88f52641fbaa0507:0x72c98a6265fd3840!8m2!3d33.7514426!4d-84.7476828!16s%2Fg%2F1262m1mtv!19sChIJBwWq-0Em9YgRQDj9ZWKKyXI?authuser=0&hl=en&rclk=1,auto repair shop,Douglas County,county,GA,2026-07-23T18:23:38,0x88f52641fbaa0507:0x72c98a6265fd3840
ATHENS AUTO CLINIC,,,,"Athens, GA 30606, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/ATHENS+AUTO+CLINIC/data=!4m7!3m6!1s0x88f6728cd8b9b443:0x76bf5ee995446459!8m2!3d33.9425109!4d-83.442059!16s%2Fg%2F11zggn82lj!19sChIJQ7S52Ixy9ogRWWRElelev3Y?authuser=0&hl=en&rclk=1,auto repair shop,Oconee County,county,GA,2026-07-23T22:36:51,0x88f6728cd8b9b443:0x76bf5ee995446459
Alas Automotive Mobile Repair LTD. Co,(770) 876-5243,https://sites.google.com/view/alasautomotive/home,,,,,GA,,5.0,34,Car repair and maintenance service,,,https://www.google.com/maps/place/Alas+Automotive+Mobile+Repair+LTD.+Co/data=!4m7!3m6!1s0xa13fd386e408c82d:0xaa8a4f0c3d4a5163!8m2!3d33.7988445!4d-83.6432931!16s%2Fg%2F11xvdt9s83!19sChIJLcgI5IbTP6ERY1FKPQxPiqo?authuser=0&hl=en&rclk=1,auto repair shop,Barrow County,county,GA,2026-07-23T15:12:45,0xa13fd386e408c82d:0xaa8a4f0c3d4a5163
Auto & Tire Service Center,,,,"Georgia 31763, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto+%26+Tire+Service+Center/data=!4m7!3m6!1s0x88f27b785b090717:0xfa80396e6d66393f!8m2!3d31.6345319!4d-84.1772965!16s%2Fg%2F11npy93xjx!19sChIJFwcJW3h78ogRPzlmbW45gPo?authuser=0&hl=en&rclk=1,auto repair shop,Wilcox County,county,GA,2026-07-16T09:00:44,0x88f27b785b090717:0xfa80396e6d66393f
Auto Repairs,,,,"Hinesville, GA 31313, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto+Repairs/data=!4m7!3m6!1s0x88fae30b20b4385b:0x330feb631053a1f3!8m2!3d31.8531271!4d-81.5805331!16s%2Fg%2F11s944_c6s!19sChIJWzi0IAvj-ogR86FTEGPrDzM?authuser=0&hl=en&rclk=1,auto repair shop,Liberty County,county,GA,2026-07-23T22:08:36,0x88fae30b20b4385b:0x330feb631053a1f3
Auto Service,,,,"Baldwin, GA 30531, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto+Service/data=!4m7!3m6!1s0x8858ad930106f35f:0xc127b04469e9356f!8m2!3d34.5005215!4d-83.5308668!16s%2Fg%2F11s413xdg8!19sChIJX_MGAZOtWIgRbzXpaUSwJ8E?authuser=0&hl=en&rclk=1,auto repair shop,Banks County,county,GA,2026-07-15T17:51:40,0x8858ad930106f35f:0xc127b04469e9356f
Auto Service,,,,"Sparta, GA 31087, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto+Service/data=!4m7!3m6!1s0x88f6e0dc9f65c673:0x52fb713be48481e1!8m2!3d33.2751553!4d-82.9768053!16s%2Fg%2F11hf3lps5_!19sChIJc8Zln9zg9ogR4YGE5Dtx-1I?authuser=0&hl=en&rclk=1,auto repair shop,Taliaferro County,county,GA,2026-07-24T00:11:37,0x88f6e0dc9f65c673:0x52fb713be48481e1
Auto Service Center,,,,"Georgia 31210, United States",,,GA,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Auto+Service+Center/data=!4m7!3m6!1s0x88f3f8b84f7ba205:0xa74ccce7ee9d7dca!8m2!3d32.9006362!4d-83.6892627!16s%2Fg%2F11fkmzksmx!19sChIJBaJ7T7j484gRyn2d7ufMTKc?authuser=0&hl=en&rclk=1,auto repair shop,Wilkinson County,county,GA,2026-07-24T02:40:48,0x88f3f8b84f7ba205:0xa74ccce7ee9d7dca
Baskin auto repair,,,,"Lavonia, GA 30553, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Baskin+auto+repair/data=!4m7!3m6!1s0x88589b4ab74403f7:0x68d866b42210cd92!8m2!3d34.4359361!4d-83.106818!16s%2Fg%2F11khszdwm9!19sChIJ9wNEt0qbWIgRks0QIrRm2Gg?authuser=0&hl=en&rclk=1,auto repair shop,Hart County,county,GA,2026-07-23T20:52:31,0x88589b4ab74403f7:0x68d866b42210cd92
Blakely Tire Service,,,,"Blakely, GA 39823, United States",,,GA,,,,Tire shop,,,https://www.google.com/maps/place/Blakely+Tire+Service/data=!4m7!3m6!1s0x88ed52cf99a36bab:0xeb05fff629aaa138!8m2!3d31.3777082!4d-84.930794!16s%2Fg%2F11y4c0287r!19sChIJq2ujmc9S7YgROKGqKfb_Bes?authuser=0&hl=en&rclk=1,auto repair shop,Early County,county,GA,2026-07-23T18:55:38,0x88ed52cf99a36bab:0xeb05fff629aaa138
C.A.R.S CHASTAIN AUTO REPAIR SERVICE,,,,"Ochlocknee, GA 31773, United States",,,GA,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/C.A.R.S+CHASTAIN+AUTO+REPAIR+SERVICE/data=!4m7!3m6!1s0x88edba597c3c4f4b:0xb5e10c9f3008bcf2!8m2!3d30.9739108!4d-84.0539799!16s%2Fg%2F11v3swgfpc!19sChIJS088fFm67YgR8rwIMJ8M4bU?authuser=0&hl=en&rclk=1,auto repair shop,Mitchell County,county,GA,2026-07-16T04:26:12,0x88edba597c3c4f4b:0xb5e10c9f3008bcf2
CSX Waycross Car Shop,,,,"Waycross, GA 31503, United States",,,GA,,5.0,1,Railway services,,,https://www.google.com/maps/place/CSX+Waycross+Car+Shop/data=!4m7!3m6!1s0x88eff185af1d56a7:0xc2002bf613e64566!8m2!3d31.1878095!4d-82.3830907!16s%2Fg%2F11gm73q1zl!19sChIJp1Ydr4Xx74gRZkXmE_YrAMI?authuser=0&hl=en&rclk=1,auto repair shop,Ware County,county,GA,2026-07-24T02:09:02,0x88eff185af1d56a7:0xc2002bf613e64566
Chetrkoot,,,,"McRae-Helena, GA 31037, United States",,,GA,,,,Auto parts store,,,https://www.google.com/maps/place/Chetrkoot/data=!4m7!3m6!1s0x88f1ab0002f8106d:0x77b8af8d2cbe6f24!8m2!3d32.1574351!4d-82.907123!16s%2Fg%2F11z3wnmycc!19sChIJbRD4AgCr8YgRJG--LI2vuHc?authuser=0&hl=en&rclk=1,auto repair shop,Telfair County,county,GA,2026-07-16T07:09:51,0x88f1ab0002f8106d:0x77b8af8d2cbe6f24
Chucky's Mobile Service,,https://chuckysmobileservice.com/,,,,,GA,,,,Mechanic,,,https://www.google.com/maps/place/Chucky%27s+Mobile+Service/data=!4m7!3m6!1s0xa0a1153f40bc6edb:0xf5b15d1faeaa15de!8m2!3d31.7221999!4d-83.2505634!16s%2Fg%2F11ym88nm7b!19sChIJ2268QD8VoaAR3hWqrh9dsfU?authuser=0&hl=en&rclk=1,auto repair shop,Ben Hill County,county,GA,2026-07-23T15:35:40,0xa0a1153f40bc6edb:0xf5b15d1faeaa15de
Coastal Truck & Container Repair,,http://coastaltruckcontainerrepair.com/,,,,,GA,,4.0,32,Diesel engine repair service,,,https://www.google.com/maps/place/Coastal+Truck+%26+Container+Repair/data=!4m7!3m6!1s0x88fba209c4415b27:0x86d8e16aab2dcf60!8m2!3d32.229128!4d-82.9379995!16s%2Fg%2F1vc_r6hn!19sChIJJ1tBxAmi-4gRYM8tq2rh2IY?authuser=0&hl=en&rclk=1,auto repair shop,Liberty County,county,GA,2026-07-16T03:12:52,0x88fba209c4415b27:0x86d8e16aab2dcf60
Cooper Tires,,,,"Hazlehurst, GA 31539, United States",,,GA,,4.0,2,Tire shop,,,https://www.google.com/maps/place/Cooper+Tires/data=!4m7!3m6!1s0x88f041f47c30f6ab:0x61269bf0e279a423!8m2!3d31.8619747!4d-82.5809205!16s%2Fg%2F11fk4dqvwt!19sChIJq_YwfPRB8IgRI6R54vCbJmE?authuser=0&hl=en&rclk=1,auto repair shop,Jeff Davis County,county,GA,2026-07-23T21:27:44,0x88f041f47c30f6ab:0x61269bf0e279a423
Cs Auto Repair,,,,"Georgia 31058, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Cs+Auto+Repair/data=!4m7!3m6!1s0x88f309492f2fd8d1:0xaee9e38b8d5a4f4d!8m2!3d32.4835264!4d-84.3466807!16s%2Fg%2F11q2ytlrzs!19sChIJ0dgvL0kJ84gRTU9ajYvj6a4?authuser=0&hl=en&rclk=1,auto repair shop,Marion County,county,GA,2026-07-16T04:02:30,0x88f309492f2fd8d1:0xaee9e38b8d5a4f4d
Dahlonega Free Car Park,,,,"Dahlonega, GA 30533, United States",,,GA,,4.7,10,Parking lot,,,https://www.google.com/maps/place/Dahlonega+Free+Car+Park/data=!4m7!3m6!1s0x885f6628cd62e697:0x6250e89dbec42e90!8m2!3d34.5324409!4d-83.9833435!16s%2Fg%2F11c3sqcqd9!19sChIJl-ZizShmX4gRkC7Evp3oUGI?authuser=0&hl=en&rclk=1,auto repair shop,Lumpkin County,county,GA,2026-07-16T03:37:32,0x885f6628cd62e697:0x6250e89dbec42e90
Decatur Pro Auto Repair,,,,"Georgia 30286, United States",,,GA,,,,Auto repair shop,,,https://www.google.com/maps/place/Decatur+Pro+Auto+Repair/data=!4m7!3m6!1s0x88f3808bf61c8003:0x7a2df8f7821125fe!8m2!3d32.9277568!4d-84.2226307!16s%2Fg%2F11q1w1pglg!19sChIJA4Ac9ouA84gR_iURgvf4LXo?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,GA,2026-07-15T22:13:11,0x88f3808bf61c8003:0x7a2df8f7821125fe
Derrick's Automotive,,,,"Ailey, GA 30410, United States",,,GA,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Derrick%27s+Automotive/data=!4m7!3m6!1s0x88f08f0053355451:0xa31a5f09937296c9!8m2!3d32.2271276!4d-82.4575796!16s%2Fg%2F11y7c7sz2r!19sChIJUVQ1UwCP8IgRyZZykwlfGqM?authuser=0&hl=en&rclk=1,auto repair shop,Emanuel County,county,GA,2026-07-23T19:13:54,0x88f08f0053355451:0xa31a5f09937296c9
