name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Firestone Complete Auto Care,(808) 379-3620,https://www.firestonecompleteautocare.com/hawaii/aiea/98-141-kamehameha-hwy/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,"98-141 Kamehameha Hwy, Aiea, HI 96701, United States",98-141 Kamehameha Hwy,Aiea,HI,96701,4.2,411,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x7c0065ffde090f89:0x3774b3f7d452237!8m2!3d21.3820046!4d-157.9440825!16s%2Fg%2F1tfnt6pd!19sChIJiQ8J3v9lAHwRNyJFfT9LdwM?authuser=0&hl=en&rclk=1,auto repair shop,Pearl City,city,HI,2026-07-24T04:04:00,0x7c0065ffde090f89:0x3774b3f7d452237
Island Brake & Alignment Inc,(808) 488-6521,,,"98-019 Kamehameha Hwy, Aiea, HI 96701, United States",98-019 Kamehameha Hwy,Aiea,HI,96701,4.9,170,Auto repair shop,,,https://www.google.com/maps/place/Island+Brake+%26+Alignment+Inc/data=!4m7!3m6!1s0x7c0065ffde090f89:0x75ced216e00616d3!8m2!3d21.3848535!4d-157.9501508!16s%2Fg%2F1tplqjp3!19sChIJiQ8J3v9lAHwR0xYG4BbSznU?authuser=0&hl=en&rclk=1,auto repair shop,Pearl City,city,HI,2026-07-24T04:04:00,0x7c0065ffde090f89:0x75ced216e00616d3
Jiffy Lube Oil Change,(808) 488-5433,https://www.jiffylube.com/locations/hi/aiea/1159,,"98-199 Kamehameha Hwy G3, Aiea, HI 96701, United States",98-199 Kamehameha Hwy G3,Aiea,HI,96701,4.6,930,Oil change service,,,https://www.google.com/maps/place/Jiffy+Lube+Oil+Change/data=!4m7!3m6!1s0x7c006f523c5e872d:0xb7ec6fdd3f94a145!8m2!3d21.3813062!4d-157.9425646!16s%2Fg%2F1wrgkcgw!19sChIJLYdePFJvAHwRRaGUP91v7Lc?authuser=0&hl=en&rclk=1,auto repair shop,Pearl City,city,HI,2026-07-24T04:04:00,0x7c006f523c5e872d:0xb7ec6fdd3f94a145
CARLS AUTOMOTIVE,,,,"1240 Kokomo Rd, Haiku, HI 96708, United States",1240 Kokomo Rd,Haiku,HI,96708,4.9,16,Auto repair shop,,,https://www.google.com/maps/place/CARLS+AUTOMOTIVE/data=!4m7!3m6!1s0x7eab34a486ff7a8b:0xc24582c1d5159009!8m2!3d20.9027224!4d-156.3227853!16s%2Fg%2F11cn0vcrl4!19sChIJi3r_hqQ0q34RCZAV1cGCRcI?authuser=0&hl=en&rclk=1,auto repair shop,Maui County,county,HI,2026-07-24T02:15:52,0x7eab34a486ff7a8b:0xc24582c1d5159009
Denny's Repair & Services Inc,(808) 335-5534,,,"4545 Kona Rd, Hanapepe, HI 96716, United States",4545 Kona Rd,Hanapepe,HI,96716,4.4,9,Auto repair shop,,,https://www.google.com/maps/place/Denny%27s+Repair+%26+Services+Inc/data=!4m7!3m6!1s0x7c07066f86bdf0d9:0xab28192ff7520ce6!8m2!3d21.9109012!4d-159.5882216!16s%2Fg%2F1tczkpt6!19sChIJ2fC9hm8GB3wR5gxS9y8ZKKs?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-24T03:28:20,0x7c07066f86bdf0d9:0xab28192ff7520ce6
NAPA Auto Parts - Pacific Service & Development Corp,(808) 335-5035,https://www.napaonline.com/en/HI/Hanapepe/store/26564?cid=pl_jobber_google_dac_26564_ao,,"3837 Hanapepe Rd, Hanapepe, HI 96716, United States",3837 Hanapepe Rd,Hanapepe,HI,96716,4.3,22,Auto parts store,,,https://www.google.com/maps/place/NAPA+Auto+Parts+-+Pacific+Service+%26+Development+Corp/data=!4m7!3m6!1s0x7c07066f12aeb94d:0x1dfefe354f492ea4!8m2!3d21.911592!4d-159.58731!16s%2Fg%2F1tdprws1!19sChIJTbmuEm8GB3wRpC5JTzX-_h0?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-16T10:27:06,0x7c07066f12aeb94d:0x1dfefe354f492ea4
"WESTERN MOTOR SERVICE, INC.",(808) 335-5751,http://autorepairkauai.com/,,"1-3680 Kaumualii Hwy, Hanapepe, HI 96716, United States",1-3680 Kaumualii Hwy,Hanapepe,HI,96716,4.3,32,Auto repair shop,,,"https://www.google.com/maps/place/WESTERN+MOTOR+SERVICE,+INC./data=!4m7!3m6!1s0x7c070644a4204c49:0xd7b534c8326a5e13!8m2!3d21.908748!4d-159.590254!16s%2Fg%2F1tfkft2s!19sChIJSUwgpEQGB3wRE15qMsg0tdc?authuser=0&hl=en&rclk=1",auto repair shop,Kauai County,county,HI,2026-07-24T03:28:20,0x7c070644a4204c49:0xd7b534c8326a5e13
BMDUBS,,,,"252 Kuawa St, Hilo, HI 96720, United States",252 Kuawa St,Hilo,HI,96720,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/BMDUBS/data=!4m7!3m6!1s0x79524b00321f6883:0x496c69256e9a7de4!8m2!3d19.7210546!4d-155.0662647!16s%2Fg%2F11ldkhpyy1!19sChIJg2gfMgBLUnkR5H2abiVpbEk?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524b00321f6883:0x496c69256e9a7de4
Bob's Fender Shop Inc,(808) 935-9146,,,"23 Keaa St, Hilo, HI 96720, United States",23 Keaa St,Hilo,HI,96720,4.7,24,Auto body shop,,,https://www.google.com/maps/place/Bob%27s+Fender+Shop+Inc/data=!4m7!3m6!1s0x79524c83140098f9:0x1dd5a7b903623713!8m2!3d19.7248572!4d-155.0583321!16s%2Fg%2F1tk639y0!19sChIJ-ZgAFINMUnkREzdiA7mn1R0?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524c83140098f9:0x1dd5a7b903623713
Chevelle's auto shop,,,,"161 Kekuanaoa St, Hilo, HI 96720, United States",161 Kekuanaoa St,Hilo,HI,96720,,,Auto repair shop,,,https://www.google.com/maps/place/Chevelle%27s+auto+shop/data=!4m7!3m6!1s0x79524b9ba237c6b5:0xae6e8d907ca1a682!8m2!3d19.7116377!4d-155.0760585!16s%2Fg%2F11rcl29wmn!19sChIJtcY3optLUnkRgqahfJCNbq4?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524b9ba237c6b5:0xae6e8d907ca1a682
Chika nakano’s repair shop,,,,"Pookela St, Hilo, HI 96720, United States",Pookela St,Hilo,HI,96720,,,Auto repair shop,,,https://www.google.com/maps/place/Chika+nakano%E2%80%99s+repair+shop/data=!4m7!3m6!1s0x79524b00106685cf:0x1049d904e211f8fe!8m2!3d19.7034639!4d-155.0661779!16s%2Fg%2F11xdw9syht!19sChIJz4VmEABLUnkR_vgR4gTZSRA?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524b00106685cf:0x1049d904e211f8fe
Extreme Auto Refinishing,,,,"70 Holomua St, Hilo, HI 96720, United States",70 Holomua St,Hilo,HI,96720,3.4,5,Auto repair shop,,,https://www.google.com/maps/place/Extreme+Auto+Refinishing/data=!4m7!3m6!1s0x79524b6b89077e5d:0x7b5e4465ac581103!8m2!3d19.7037358!4d-155.0663666!16s%2Fg%2F11k5lt_gnn!19sChIJXX4HiWtLUnkRAxFYrGVEXns?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524b6b89077e5d:0x7b5e4465ac581103
Firestone Complete Auto Care,(808) 491-6209,https://www.firestonecompleteautocare.com/hawaii/hilo/26-kekela-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,"26 Kekela St, Hilo, HI 96720, United States",26 Kekela St,Hilo,HI,96720,3.8,662,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x79524b140c0d7189:0x2b72a81994157769!8m2!3d19.6959565!4d-155.0662421!16s%2Fg%2F1tgj90c9!19sChIJiXENDBRLUnkRaXcVlBmocis?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-24T03:17:13,0x79524b140c0d7189:0x2b72a81994157769
Goodyear Auto Service,(808) 935-9756,https://www.goodyear.com/en-us/goodyearautoservice,,"475 Kilauea Ave, Hilo, HI 96720, United States",475 Kilauea Ave,Hilo,HI,96720,4.0,184,Tire shop,,,https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x79524b598954ba4b:0x82b950b4611f58b8!8m2!3d19.7197532!4d-155.0818852!16s%2Fg%2F1vh_8l86!19sChIJS7pUiVlLUnkRuFgfYbRQuYI?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T03:40:51,0x79524b598954ba4b:0x82b950b4611f58b8
Island Auto Works,,,,"145 Ponahawai St, Hilo, HI 96720, United States",145 Ponahawai St,Hilo,HI,96720,4.7,25,Auto repair shop,,,https://www.google.com/maps/place/Island+Auto+Works/data=!4m7!3m6!1s0x79524b576e8d649d:0x725a195a506eb23a!8m2!3d19.7212848!4d-155.084911!16s%2Fg%2F1vq751gk!19sChIJnWSNbldLUnkROrJuUFoZWnI?authuser=0&hl=en&rclk=1,auto repair shop,Hawaii County,county,HI,2026-07-24T01:53:14,0x79524b576e8d649d:0x725a195a506eb23a
J & J Auto Repairs Inc,(808) 961-2844,,,"845 Iolani St, Hilo, HI 96720, United States",845 Iolani St,Hilo,HI,96720,4.6,21,Auto body shop,,,https://www.google.com/maps/place/J+%26+J+Auto+Repairs+Inc/data=!4m7!3m6!1s0x79524b42a1c133a9:0x587c1fdcf29458f3!8m2!3d19.710709!4d-155.072301!16s%2Fg%2F1tdvdsml!19sChIJqTPBoUJLUnkR81iU8twffFg?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T03:40:51,0x79524b42a1c133a9:0x587c1fdcf29458f3
Jimmy's Radiator Repair Inc,(808) 961-4922,https://www.jimmysradiatorrepair.com/,,"360 E Kawili St #2, Hilo, HI 96720, United States",360 E Kawili St #2,Hilo,HI,96720,5.0,33,Auto radiator repair service,,,https://www.google.com/maps/place/Jimmy%27s+Radiator+Repair+Inc/data=!4m7!3m6!1s0x79524b6eab918147:0x3fb4b4d0376eeed5!8m2!3d19.7055413!4d-155.0667215!16s%2Fg%2F1td0n6vj!19sChIJR4GRq25LUnkR1e5uN9C0tD8?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T02:29:31,0x79524b6eab918147:0x3fb4b4d0376eeed5
MS Auto INC,(808) 961-6330,http://www.msautoinc.com/,,"30 Kukila St, Hilo, HI 96720, United States",30 Kukila St,Hilo,HI,96720,4.1,47,Auto body shop,,,https://www.google.com/maps/place/MS+Auto+INC/data=!4m7!3m6!1s0x79524b6d9d91377f:0xfb3f5119d78562f9!8m2!3d19.7023196!4d-155.0614849!16s%2Fg%2F1tfmcflt!19sChIJfzeRnW1LUnkR-WKF1xlRP_s?authuser=0&hl=en&rclk=1,auto repair shop,Hilo,city,HI,2026-07-24T03:40:51,0x79524b6d9d91377f:0xfb3f5119d78562f9
