name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Bergfeld Repair LLC,,,,"Farley, IA 52046, United States",,,IA,,5.0,1,Truck repair shop,,,https://www.google.com/maps/place/Bergfeld+Repair+LLC/data=!4m7!3m6!1s0x87e34f0004aca6b1:0xc6e01bb914fe51e6!8m2!3d42.4545206!4d-91.0231124!16s%2Fg%2F11zcmm07pt!19sChIJsaasBABP44cR5lH-FLkb4MY?authuser=0&hl=en&rclk=1,auto repair shop,Delaware County,county,IA,2026-07-24T06:37:22,0x87e34f0004aca6b1:0xc6e01bb914fe51e6
Chuck's Auto Center,,,,"Donnellson, IA 52625, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Chuck%27s+Auto+Center/data=!4m7!3m6!1s0x87e6e1ceafd984e5:0x8c58e97204f522b5!8m2!3d40.6388245!4d-91.5650466!16s%2Fg%2F11wmmw7byp!19sChIJ5YTZr87h5ocRtSL1BHLpWIw?authuser=0&hl=en&rclk=1,auto repair shop,Henry County,county,IA,2026-07-16T16:29:03,0x87e6e1ceafd984e5:0x8c58e97204f522b5
Coop Car Care Center,,,,"Fontanelle, IA 50846, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Coop+Car+Care+Center/data=!4m7!3m6!1s0x87ec9b49c9fe5f21:0xa3a9fe3fa42f2118!8m2!3d41.2894418!4d-94.5698437!16s%2Fg%2F11rhdsrmj_!19sChIJIV_-yUmb7IcRGCEvpD_-qaM?authuser=0&hl=en&rclk=1,auto repair shop,Cass County,county,IA,2026-07-16T13:01:18,0x87ec9b49c9fe5f21:0xa3a9fe3fa42f2118
Hardin County COLLISION REPAIR,,,,"Eldora, IA 50627, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Hardin+County+COLLISION+REPAIR/data=!4m7!3m6!1s0x87ee2d5ac2ac69a5:0x99bc081632c1e473!8m2!3d42.3604299!4d-93.1095947!16s%2Fg%2F11mrz_sjyt!19sChIJpWmswlot7ocRc-TBMhYIvJk?authuser=0&hl=en&rclk=1,auto repair shop,Hardin County,county,IA,2026-07-16T16:04:17,0x87ee2d5ac2ac69a5:0x99bc081632c1e473
JB Diesel,,,,"Dakota City, IA 50529, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/JB+Diesel/data=!4m7!3m6!1s0x87f2691412f637dd:0xccb7dab5dfff67fe!8m2!3d42.7212936!4d-94.1971613!16s%2Fg%2F11vd76vz1j!19sChIJ3Tf2EhRp8ocR_mf_37Xat8w?authuser=0&hl=en&rclk=1,auto repair shop,Humboldt County,county,IA,2026-07-16T16:43:27,0x87f2691412f637dd:0xccb7dab5dfff67fe
Lincoln Center Truck and Trailer,,,,"Corning, IA 50841, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Lincoln+Center+Truck+and+Trailer/data=!4m7!3m6!1s0x87eb59000c8ef6ad:0xe679ce5599f31b9c!8m2!3d41.0989196!4d-94.8728752!16s%2Fg%2F11xd17g1yf!19sChIJrfaODABZ64cRnBvzmVXOeeY?authuser=0&hl=en&rclk=1,auto repair shop,Adams County,county,IA,2026-07-24T04:09:04,0x87eb59000c8ef6ad:0xe679ce5599f31b9c
Major Auto Services,,https://www.facebook.com/share/g/18YQVk4apF/?mibextid=wwXIfr,,,,,IA,,5.0,7,Mechanic,,,https://www.google.com/maps/place/Major+Auto+Services/data=!4m7!3m6!1s0x491b4d49bf39749d:0x63f43ddbf4400667!8m2!3d41.1902084!4d-95.736179!16s%2Fg%2F11njwg0qt8!19sChIJnXQ5v0lNG0kRZwZA9Ns99GM?authuser=0&hl=en&rclk=1,auto repair shop,Mills County,county,IA,2026-07-17T06:31:18,0x491b4d49bf39749d:0x63f43ddbf4400667
Records auto,,,,"Clinton, IA 52732, United States",,,IA,,5.0,1,Auto body shop,,,https://www.google.com/maps/place/Records+auto/data=!4m7!3m6!1s0x87e26381855e0f8f:0x93a873febb8a8af8!8m2!3d41.8444735!4d-90.1887379!16s%2Fg%2F11gdqw7f6w!19sChIJjw9ehYFj4ocR-IqKu_5zqJM?authuser=0&hl=en&rclk=1,auto repair shop,Clinton County,county,IA,2026-07-24T06:07:09,0x87e26381855e0f8f:0x93a873febb8a8af8
TOTAL CAR CARE,,,,"Iowa 50022, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/TOTAL+CAR+CARE/data=!4m7!3m6!1s0x87ecb49e1d92bc25:0xb49d9338e110e5d5!8m2!3d41.4114114!4d-95.0347409!16s%2Fg%2F11zbsvhklf!19sChIJJbySHZ607IcR1eUQ4TiTnbQ?authuser=0&hl=en&rclk=1,auto repair shop,Cass County,county,IA,2026-07-24T04:25:03,0x87ecb49e1d92bc25:0xb49d9338e110e5d5
Vaughan's Shop,,,,"Yale, IA 50277, United States",,,IA,,5.0,1,Auto machine shop,,,https://www.google.com/maps/place/Vaughan%27s+Shop/data=!4m7!3m6!1s0x87ec556b0046bffb:0x84d176dad148b4e2!8m2!3d41.7770654!4d-94.3540933!16s%2Fg%2F11j99clpy0!19sChIJ-79GAGtV7IcR4rRI0dp20YQ?authuser=0&hl=en&rclk=1,auto repair shop,Page County,county,IA,2026-07-17T07:49:27,0x87ec556b0046bffb:0x84d176dad148b4e2
Vehicle shop,,,,"Festina, IA 52144, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Vehicle+shop/data=!4m7!3m6!1s0x87faff0010236061:0x65bc0153edb225c1!8m2!3d43.1194138!4d-91.8671361!16s%2Fg%2F11ys2yj45x!19sChIJYWAjEAD_-ocRwSWy7VMBvGU?authuser=0&hl=en&rclk=1,auto repair shop,Bremer County,county,IA,2026-07-24T03:38:50,0x87faff0010236061:0x65bc0153edb225c1
Woodbine,,,,"Woodbine, IA 51579, United States",,,IA,,,,Auto repair shop,,,https://www.google.com/maps/place/Woodbine/data=!4m7!3m6!1s0x879301005e32184b:0x3bf4b4d1c32a5f39!8m2!3d41.7370447!4d-95.7020596!16s%2Fg%2F11x_lfj87c!19sChIJSxgyXgABk4cROV8qw9G09Ds?authuser=0&hl=en&rclk=1,auto repair shop,Crawford County,county,IA,2026-07-24T05:12:25,0x879301005e32184b:0x3bf4b4d1c32a5f39
NAPA Auto Parts - I-80 Enterprises,(641) 742-3616,https://www.napaonline.com/en/IA/Adair/store/30157?cid=pl_jobber_google_dac_30157_ao,,"108 5th St, Adair, IA 50002, United States",108 5th St,Adair,IA,50002,4.5,44,Auto parts store,,,https://www.google.com/maps/place/NAPA+Auto+Parts+-+I-80+Enterprises/data=!4m7!3m6!1s0x87ec9356d4acdebb:0xef318b7f9cc54378!8m2!3d41.495192!4d-94.6428153!16s%2Fg%2F1tff_1c6!19sChIJu96s1FaT7IcReEPFnH-LMe8?authuser=0&hl=en&rclk=1,auto repair shop,Cass County,county,IA,2026-07-16T13:01:18,0x87ec9356d4acdebb:0xef318b7f9cc54378
Tires & Service Inc,(641) 742-5517,http://tiresandservice.net/,,"405 5th St, Adair, IA 50002, United States",405 5th St,Adair,IA,50002,4.9,28,Tire shop,,,https://www.google.com/maps/place/Tires+%26+Service+Inc/data=!4m7!3m6!1s0x87ec93613dc7798d:0xce7a50536e960f0a!8m2!3d41.5004543!4d-94.6437839!16s%2Fg%2F11s41bypdx!19sChIJjXnHPWGT7IcRCg-WblNQes4?authuser=0&hl=en&rclk=1,auto repair shop,Adair County,county,IA,2026-07-24T04:04:34,0x87ec93613dc7798d:0xce7a50536e960f0a
Modern Motors Inc,(515) 993-3175,http://www.modernmotors-adel.com/,,"28050 N Avenue, Adel, IA 50003, United States",28050 N Avenue,Adel,IA,50003,4.9,35,Auto painting,,,https://www.google.com/maps/place/Modern+Motors+Inc/data=!4m7!3m6!1s0x87ec393d53cc7d7f:0xb875fbb08fbb2457!8m2!3d41.629478!4d-94.0179875!16s%2Fg%2F1tdcs2d1!19sChIJf33MUz057IcRVyS7j7D7dbg?authuser=0&hl=en&rclk=1,auto repair shop,Dallas County,county,IA,2026-07-24T05:14:26,0x87ec393d53cc7d7f:0xb875fbb08fbb2457
MNM Auto,,,,"118 W Main St, Agency, IA 52530, United States",118 W Main St,Agency,IA,52530,1.0,1,Auto repair shop,,,https://www.google.com/maps/place/MNM+Auto/data=!4m7!3m6!1s0x87e6198fd7366f6f:0xe74d3dc26b7d41cc!8m2!3d40.9946916!4d-92.3075717!16s%2Fg%2F11pdltvdbk!19sChIJb282148Z5ocRzEF9a8I9Tec?authuser=0&hl=en&rclk=1,auto repair shop,Van Buren County,county,IA,2026-07-24T10:01:41,0x87e6198fd7366f6f:0xe74d3dc26b7d41cc
NAPA Auto Parts - Tharp Enterprises Inc,(641) 932-7229,https://www.napaonline.com/en/IA/Albia/store/20090?cid=pl_jobber_google_dac_20090_ao,,"12 A St N, Albia, IA 52531, United States",12 A St N,Albia,IA,52531,4.8,30,Auto parts store,,,https://www.google.com/maps/place/NAPA+Auto+Parts+-+Tharp+Enterprises+Inc/data=!4m7!3m6!1s0x87e8c7184538061d:0x13f533d8e64a26a9!8m2!3d41.027523!4d-92.809231!16s%2Fg%2F1tsbmp1w!19sChIJHQY4RRjH6IcRqSZK5tgz9RM?authuser=0&hl=en&rclk=1,auto repair shop,Monroe County,county,IA,2026-07-24T08:48:18,0x87e8c7184538061d:0x13f533d8e64a26a9
O'Reilly Auto Parts,(641) 932-5152,https://locations.oreillyauto.com/en-us/ia/albia/autoparts-373.html,,"128 S Main St, Albia, IA 52531, United States",128 S Main St,Albia,IA,52531,4.2,62,Auto parts store,,,https://www.google.com/maps/place/O%27Reilly+Auto+Parts/data=!4m7!3m6!1s0x87e8c73d58c253bd:0x4b9a54ad70e6ef45!8m2!3d41.0253861!4d-92.8067353!16s%2Fg%2F1vm_yfk8!19sChIJvVPCWD3H6IcRRe_mcK1Umks?authuser=0&hl=en&rclk=1,auto repair shop,Monroe County,county,IA,2026-07-17T07:04:54,0x87e8c73d58c253bd:0x4b9a54ad70e6ef45
Kemco Tire Inc.,(515) 295-7281,,,"1412 US-18, Algona, IA 50511, United States",1412 US-18,Algona,IA,50511,4.7,81,Tire shop,,,https://www.google.com/maps/place/Kemco+Tire+Inc./data=!4m7!3m6!1s0x87f24cdc66e006f3:0xa5ad61da12876dfb!8m2!3d43.0823124!4d-94.2189703!16s%2Fg%2F1thtq491!19sChIJ8wbgZtxM8ocR-22HEtphraU?authuser=0&hl=en&rclk=1,auto repair shop,Kossuth County,county,IA,2026-07-24T08:16:07,0x87f24cdc66e006f3:0xa5ad61da12876dfb
Whittemore Truck & Trailer Inc,(515) 295-9574,https://www.wttinc.net/,,"601 US-18, Algona, IA 50511, United States",601 US-18,Algona,IA,50511,4.4,56,Truck repair shop,,,https://www.google.com/maps/place/Whittemore+Truck+%26+Trailer+Inc/data=!4m7!3m6!1s0x87f252a6d92473fd:0x61a3fae260e13db6!8m2!3d43.0835636!4d-94.3417095!16s%2Fg%2F1th57j_5!19sChIJ_XMk2aZS8ocRtj3hYOL6o2E?authuser=0&hl=en&rclk=1,auto repair shop,Kossuth County,county,IA,2026-07-16T17:40:21,0x87f252a6d92473fd:0x61a3fae260e13db6
Cooper Motors Inc,(319) 267-2392,,,"123 N Main St, Allison, IA 50602, United States",123 N Main St,Allison,IA,50602,4.9,12,Car dealer,,,https://www.google.com/maps/place/Cooper+Motors+Inc/data=!4m7!3m6!1s0x87f03de1b3e93c79:0xcb0c3f3c3f8369cc!8m2!3d42.7498935!4d-92.795596!16s%2Fg%2F1vzg2t0x!19sChIJeTzps-E98IcRzGmDPzw_DMs?authuser=0&hl=en&rclk=1,auto repair shop,Butler County,county,IA,2026-07-24T03:56:49,0x87f03de1b3e93c79:0xcb0c3f3c3f8369cc
Klein Garage,,,,"4383 Lily Ave, Alton, IA 51003, United States",4383 Lily Ave,Alton,IA,51003,,,Auto repair shop,,,https://www.google.com/maps/place/Klein+Garage/data=!4m7!3m6!1s0x878db3006efed821:0xf15f5fa057d22c00!8m2!3d43.014244!4d-95.9198302!16s%2Fg%2F11ylxqgzld!19sChIJIdj-bgCzjYcRACzSV6BfX_E?authuser=0&hl=en&rclk=1,auto repair shop,O'Brien County,county,IA,2026-07-17T07:35:07,0x878db3006efed821:0xf15f5fa057d22c00
Siouxland Glass Inc,(712) 540-9080,https://siouxlandglass.com/,,"1016 3rd Ave, Alton, IA 51003, United States",1016 3rd Ave,Alton,IA,51003,4.9,29,Auto glass shop,,,https://www.google.com/maps/place/Siouxland+Glass+Inc/data=!4m7!3m6!1s0x878db552518e9d3f:0x6c4b9a73d2406262!8m2!3d42.987958!4d-96.010311!16s%2Fg%2F1tptr2_s!19sChIJP52OUVK1jYcRYmJA0nOaS2w?authuser=0&hl=en&rclk=1,auto repair shop,Sioux County,county,IA,2026-07-17T09:00:27,0x878db552518e9d3f:0x6c4b9a73d2406262
"McManus Automotive, Inc.",(515) 967-1020,https://mcmanusautoaltoona.com/,,"550 8th St SW, Altoona, IA 50009, United States",550 8th St SW,Altoona,IA,50009,4.5,100,Auto repair shop,,,"https://www.google.com/maps/place/McManus+Automotive,+Inc./data=!4m7!3m6!1s0x87ee9390b136f5f7:0xe74fc83927fe4702!8m2!3d41.6435231!4d-93.470848!16s%2Fg%2F1tlbpq42!19sChIJ9_U2sZCT7ocRAkf-JznIT-c?authuser=0&hl=en&rclk=1",auto repair shop,Polk County,county,IA,2026-07-17T08:13:20,0x87ee9390b136f5f7:0xe74fc83927fe4702
Trackside Towing & Recovery,,http://tracksidetowing.com/,,"205 Main St, Alvord, IA 51230, United States",205 Main St,Alvord,IA,51230,4.5,24,Towing service,,,https://www.google.com/maps/place/Trackside+Towing+%26+Recovery/data=!4m7!3m6!1s0x878c18e77b35e0a3:0x490156360cba1c05!8m2!3d43.3428557!4d-96.3015497!16s%2Fg%2F1td4q62n!19sChIJo-A1e-cYjIcRBRy6DDZWAUk?authuser=0&hl=en&rclk=1,auto repair shop,Lyon County,county,IA,2026-07-16T18:06:14,0x878c18e77b35e0a3:0x490156360cba1c05
Bud's Service Center Ltd,(516) 234-8828,,,"1817 E Lincoln Wy, Ames, IA 50010, United States",1817 E Lincoln Wy,Ames,IA,50010,3.5,2,Auto repair shop,,,https://www.google.com/maps/place/Bud%27s+Service+Center+Ltd/data=!4m7!3m6!1s0x87ee700772717329:0xec13d30db03ecac9!8m2!3d42.0232924!4d-93.5881707!16s%2Fg%2F11cncxrkrz!19sChIJKXNxcgdw7ocRyco-sA3TE-w?authuser=0&hl=en&rclk=1,auto repair shop,Boone County,county,IA,2026-07-24T03:26:32,0x87ee700772717329:0xec13d30db03ecac9
"Dave's Auto & Truck Service, inc.",(515) 232-4954,,,"205 E 2nd St, Ames, IA 50010, United States",205 E 2nd St,Ames,IA,50010,4.0,21,Truck repair shop,,,"https://www.google.com/maps/place/Dave%27s+Auto+%26+Truck+Service,+inc./data=!4m7!3m6!1s0x87ee711ccb6c2637:0x5f9e3ad55abb7e61!8m2!3d42.0238503!4d-93.6093045!16s%2Fg%2F11nfmxdh83!19sChIJNyZsyxxx7ocRYX67WtU6nl8?authuser=0&hl=en&rclk=1",auto repair shop,Decatur County,county,IA,2026-07-24T06:29:39,0x87ee711ccb6c2637:0x5f9e3ad55abb7e61
"Jerry Carney & Sons, Inc.",(515) 232-1897,https://carneyautoparts.com/?utm_source=omg-gbp&utm_medium=webclick,,"1816 SE 5th St, Ames, IA 50010, United States",1816 SE 5th St,Ames,IA,50010,4.6,280,Salvage yard,,,"https://www.google.com/maps/place/Jerry+Carney+%26+Sons,+Inc./data=!4m7!3m6!1s0x87ee7aaea3bfd9eb:0xf1aa497eeb9c0bc!8m2!3d42.016756!4d-93.5889418!16s%2Fg%2F1tdq_868!19sChIJ69m_o6567ocRvMC57pekGg8?authuser=0&hl=en&rclk=1",auto repair shop,Boone County,county,IA,2026-07-24T03:26:33,0x87ee7aaea3bfd9eb:0xf1aa497eeb9c0bc
Midas,(515) 598-4989,https://www.midas.com/store/ia/ames/113-lincoln-way-50010/?shopnum=2781&utm_source=google&utm_medium=organic&utm_campaign=gbp,,"113 Lincoln Way, Ames, IA 50010, United States",113 Lincoln Way,Ames,IA,50010,4.5,698,Auto repair shop,,,https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x87ee70778e680563:0x1e98342aa6222a27!8m2!3d42.0231923!4d-93.6112209!16s%2Fg%2F1vj5_rx3!19sChIJYwVojndw7ocRJyoipio0mB4?authuser=0&hl=en&rclk=1,auto repair shop,Boone County,county,IA,2026-07-24T03:26:32,0x87ee70778e680563:0x1e98342aa6222a27
"Automotive Services, Inc.",(319) 462-5071,,,"1500 Chamber Ct, Anamosa, IA 52205, United States",1500 Chamber Ct,Anamosa,IA,52205,4.7,74,Tire shop,,,"https://www.google.com/maps/place/Automotive+Services,+Inc./data=!4m7!3m6!1s0x87e49cf6a3980501:0x2e27858c1516981a!8m2!3d42.1067167!4d-91.2654425!16s%2Fg%2F1tgdczg_!19sChIJAQWYo_ac5IcRGpgWFYyFJy4?authuser=0&hl=en&rclk=1",auto repair shop,Cedar County,county,IA,2026-07-24T04:31:12,0x87e49cf6a3980501:0x2e27858c1516981a
Country Auto Inc,(319) 462-5099,http://www.countryautoincrestoration.com/,,"1501 Chamber Ct, Anamosa, IA 52205, United States",1501 Chamber Ct,Anamosa,IA,52205,4.7,28,Auto restoration service,,,https://www.google.com/maps/place/Country+Auto+Inc/data=!4m7!3m6!1s0x87e49cf6a3754f1d:0xfe7f537d352444f4!8m2!3d42.1067271!4d-91.2654422!16s%2Fg%2F1vppt1yl!19sChIJHU91o_ac5IcR9EQkNX1Tf_4?authuser=0&hl=en&rclk=1,auto repair shop,Jones County,county,IA,2026-07-24T08:09:16,0x87e49cf6a3754f1d:0xfe7f537d352444f4
"Karl Chevrolet, INC. - Service",(515) 523-5362,https://www.karlchevrolet.com/Service,,"1101 SE Oralabor Rd, Ankeny, IA 50021, United States",1101 SE Oralabor Rd,Ankeny,IA,50021,4.5,120,Auto repair shop,,,"https://www.google.com/maps/place/Karl+Chevrolet,+INC.+-+Service/data=!4m7!3m6!1s0x87ee91ebe3f25aa5:0x3f7accb1288fdc8e!8m2!3d41.7007234!4d-93.5794843!16s%2Fg%2F11kxkd834h!19sChIJpVry4-uR7ocRjtyPKLHMej8?authuser=0&hl=en&rclk=1",auto repair shop,Polk County,county,IA,2026-07-17T08:13:20,0x87ee91ebe3f25aa5:0x3f7accb1288fdc8e
