name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Better Repairs For Less,,https://betterrepairsforless.square.site/,,,,,ID,,4.5,17,Mechanic,,,https://www.google.com/maps/place/Better+Repairs+For+Less/data=!4m7!3m6!1s0x54ab374a3c41889f:0x4ef94ddab33e3b3b!8m2!3d42.633761!4d-113.6599255!16s%2Fg%2F11fv2xymcj!19sChIJn4hBPEo3q1QROzs-s9pN-U4?authuser=0&hl=en&rclk=1,auto repair shop,Cassia County,county,ID,2026-07-24T12:34:05,0x54ab374a3c41889f:0x4ef94ddab33e3b3b
Bob's Owyhee Repair,,,,"Homedale, ID 83628, United States",,,ID,,,,Auto repair shop,,,https://www.google.com/maps/place/Bob%27s+Owyhee+Repair/data=!4m7!3m6!1s0x54afce8050cb1a1d:0x6ab6f35976b65277!8m2!3d43.6179335!4d-116.9327599!16s%2Fg%2F11ywl9hymg!19sChIJHRrLUIDOr1QRd1K2dlnztmo?authuser=0&hl=en&rclk=1,auto repair shop,Owyhee County,county,ID,2026-07-24T14:00:41,0x54afce8050cb1a1d:0x6ab6f35976b65277
Car Care Center,,,,"Idaho 83839, United States",,,ID,,,,Auto repair shop,,,https://www.google.com/maps/place/Car+Care+Center/data=!4m7!3m6!1s0x53605280922bcf7b:0x3791b5bfd255a205!8m2!3d47.548644!4d-116.2724863!16s%2Fg%2F11k5ltx_sq!19sChIJe88rkoBSYFMRBaJV0r-1kTc?authuser=0&hl=en&rclk=1,auto repair shop,Shoshone County,county,ID,2026-07-17T15:08:02,0x53605280922bcf7b:0x3791b5bfd255a205
Car Shop Restorations/ Droc Auto,,,,"Rexburg, ID 83440, United States",,,ID,,5.0,5,Auto body shop,,,https://www.google.com/maps/place/Car+Shop+Restorations%2F+Droc+Auto/data=!4m7!3m6!1s0x53540a4b7cc246d3:0x47f2e901d23002a4!8m2!3d43.8331789!4d-111.7906385!16s%2Fg%2F11g9dfq60m!19sChIJ00bCfEsKVFMRpAIw0gHp8kc?authuser=0&hl=en&rclk=1,auto repair shop,Madison County,county,ID,2026-07-24T11:58:37,0x53540a4b7cc246d3:0x47f2e901d23002a4
Complete Auto Repair,,,,"Post Falls, ID 83854, United States",,,ID,,,,Auto repair shop,,,https://www.google.com/maps/place/Complete+Auto+Repair/data=!4m7!3m6!1s0x5361dd1aa14936a1:0x65483f4ad1f08b57!8m2!3d47.7062417!4d-117.0327721!16s%2Fg%2F11m5y677l9!19sChIJoTZJoRrdYVMRV4vw0Uo_SGU?authuser=0&hl=en&rclk=1,auto repair shop,Clearwater County,county,ID,2026-07-17T13:26:57,0x5361dd1aa14936a1:0x65483f4ad1f08b57
Nelson's Auto Service,,,,"Hailey, ID 83333, United States",,,ID,,,,,,,https://www.google.com/maps/place/Nelson%27s+Auto+Service/data=!4m7!3m6!1s0x54abd5b047df96a1:0xe2c9b92bccb33894!8m2!3d43.5183383!4d-114.3162458!16s%2Fg%2F11vz4jqxd4!19sChIJoZbfR7DVq1QRlDizzCu5yeI?authuser=0&hl=en&rclk=1,auto repair shop,Camas County,county,ID,2026-07-24T10:44:20,0x54abd5b047df96a1:0xe2c9b92bccb33894
III Phase Electric Inc,(208) 604-4918,,,"130 Harrison St, American Falls, ID 83211, United States",130 Harrison St,American Falls,ID,83211,5.0,1,Electric motor repair shop,,,https://www.google.com/maps/place/III+Phase+Electric+Inc/data=!4m7!3m6!1s0x54aaafa0d5a283ab:0x30f6936f7245e749!8m2!3d42.7856388!4d-112.8560104!16s%2Fg%2F1tpbbpwd!19sChIJq4Oi1aCvqlQRSedFcm-T9jA?authuser=0&hl=en&rclk=1,auto repair shop,Power County,county,ID,2026-07-24T14:06:33,0x54aaafa0d5a283ab:0x30f6936f7245e749
Jiffy Lube,(208) 226-1857,https://www.jiffylube.com/locations/id/american-falls/2817,,"2830 Pocatello Ave, American Falls, ID 83211, United States",2830 Pocatello Ave,American Falls,ID,83211,4.6,121,Oil change service,,,https://www.google.com/maps/place/Jiffy+Lube/data=!4m7!3m6!1s0x54aaaf13ee421e43:0x76f7a4a8f3a007ee!8m2!3d42.7882192!4d-112.8406144!16s%2Fg%2F1tfzrm_p!19sChIJQx5C7hOvqlQR7geg86ik93Y?authuser=0&hl=en&rclk=1,auto repair shop,Power County,county,ID,2026-07-24T14:06:33,0x54aaaf13ee421e43:0x76f7a4a8f3a007ee
Les Schwab Tire Center,(208) 226-7111,https://www.lesschwab.com/stores/id/american-falls/2842-pocatello-ave?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,"2842 Pocatello Ave, American Falls, ID 83211, United States",2842 Pocatello Ave,American Falls,ID,83211,4.4,158,Tire shop,,,https://www.google.com/maps/place/Les+Schwab+Tire+Center/data=!4m7!3m6!1s0x54aaaf13f1e541d3:0x8db3a561ebe64194!8m2!3d42.7870585!4d-112.8426149!16s%2Fg%2F1vmr12q0!19sChIJ00Hl8ROvqlQRlEHm62Gls40?authuser=0&hl=en&rclk=1,auto repair shop,Power County,county,ID,2026-07-24T14:06:33,0x54aaaf13f1e541d3:0x8db3a561ebe64194
NAPA Auto Parts - American Falls Autoparts,(208) 226-2740,https://www.napaonline.com/en/ID/American-Falls/store/22867?cid=pl_jobber_google_dac_22867_ao,,"2829 Pocatello Ave, American Falls, ID 83211, United States",2829 Pocatello Ave,American Falls,ID,83211,4.6,83,Auto parts store,,,https://www.google.com/maps/place/NAPA+Auto+Parts+-+American+Falls+Autoparts/data=!4m7!3m6!1s0x54aaaf118ab00539:0x54aad18043ce2bef!8m2!3d42.789006!4d-112.840796!16s%2Fg%2F1th283fn!19sChIJOQWwihGvqlQR7yvOQ4DRqlQ?authuser=0&hl=en&rclk=1,auto repair shop,Power County,county,ID,2026-07-24T12:21:16,0x54aaaf118ab00539:0x54aad18043ce2bef
Advanced Autoworks,,,,"117 W Lost River Ave, Arco, ID 83213, United States",117 W Lost River Ave,Arco,ID,83213,5.0,1,Auto body parts supplier,,,https://www.google.com/maps/place/Advanced+Autoworks/data=!4m7!3m6!1s0x5355f96b244b02a1:0xa0856ea854bbeaab!8m2!3d43.6370123!4d-113.3011027!16s%2Fg%2F11jn3dv9zd!19sChIJoQJLJGv5VVMRq-q7VKhuhaA?authuser=0&hl=en&rclk=1,auto repair shop,Butte County,county,ID,2026-07-24T12:09:23,0x5355f96b244b02a1:0xa0856ea854bbeaab
