name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Beyond Performance,,,,"DeKalb, IL 60115, United States",,,IL,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Beyond+Performance/data=!4m7!3m6!1s0x880f2a6f6a909327:0x406e15716a3e7312!8m2!3d41.9263434!4d-88.7386747!16s%2Fg%2F11f4lf43c8!19sChIJJ5OQam8qD4gREnM-anEVbkA?authuser=0&hl=en&rclk=1,auto repair shop,DeKalb County,county,IL,2026-07-24T15:19:40,0x880f2a6f6a909327:0x406e15716a3e7312
Billy Ray Tyler auto sales,,,,"Mattoon, IL 61938, United States",,,IL,,,,Auto repair shop,,,https://www.google.com/maps/place/Billy+Ray+Tyler+auto+sales/data=!4m7!3m6!1s0x88731100646c4ecf:0x3ea3f1289e885c76!8m2!3d39.4830897!4d-88.3728255!16s%2Fg%2F11mrxz_8hh!19sChIJz05sZAARc4gRdlyInijxoz4?authuser=0&hl=en&rclk=1,auto repair shop,Coles County,county,IL,2026-07-24T14:51:58,0x88731100646c4ecf:0x3ea3f1289e885c76
Complete Auto Care,,,,"Benld, IL 62009, United States",,,IL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Complete+Auto+Care/data=!4m7!3m6!1s0x8875911316f327a3:0x41681e577fec101b!8m2!3d39.0932335!4d-89.8005174!16s%2Fg%2F11wwwygb13!19sChIJoyfzFhORdYgRGxDsf1ceaEE?authuser=0&hl=en&rclk=1,auto repair shop,Macoupin County,county,IL,2026-07-27T11:12:39,0x8875911316f327a3:0x41681e577fec101b
D & D Auto Shop,,,,"Harrisburg, IL 62946, United States",,,IL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/D+%26+D+Auto+Shop/data=!4m7!3m6!1s0x8870c2fb87f000af:0x43f0cdbd847e44b7!8m2!3d37.764284!4d-88.5129777!16s%2Fg%2F11f794mljd!19sChIJrwDwh_vCcIgRt0R-hL3N8EM?authuser=0&hl=en&rclk=1,auto repair shop,Hamilton County,county,IL,2026-07-27T08:11:07,0x8870c2fb87f000af:0x43f0cdbd847e44b7
General auto repair,,,,"Dixon, IL 61021, United States",,,IL,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/General+auto+repair/data=!4m7!3m6!1s0x8809af0077272227:0xef4fe2f3700c8396!8m2!3d41.8379824!4d-89.4802173!16s%2Fg%2F11yrxk523g!19sChIJJyIndwCvCYgRloMMcPPiT-8?authuser=0&hl=en&rclk=1,auto repair shop,Lee County,county,IL,2026-07-27T10:19:58,0x8809af0077272227:0xef4fe2f3700c8396
Hawk Auto Peru,,,,"Peru, IL 61354, United States",,,IL,,,,Auto repair shop,,,https://www.google.com/maps/place/Hawk+Auto+Peru/data=!4m7!3m6!1s0x880961005936aec7:0x24dde02118ab549f!8m2!3d41.3492915!4d-89.1231109!16s%2Fg%2F11yt0nslwv!19sChIJx642WQBhCYgRn1SrGCHg3SQ?authuser=0&hl=en&rclk=1,auto repair shop,Putnam County,county,IL,2026-07-27T12:48:15,0x880961005936aec7:0x24dde02118ab549f
Kunes Chevrolet,,,,"Mt Carroll, IL 61053, United States",,,IL,,,,Car dealer,,,https://www.google.com/maps/place/Kunes+Chevrolet/data=!4m7!3m6!1s0x880827e71167eba3:0x3b1f927b36ed066c!8m2!3d42.0847519!4d-89.9828348!16s%2Fg%2F11l6q81s8r!19sChIJo-tnEecnCIgRbAbtNnuSHzs?authuser=0&hl=en&rclk=1,auto repair shop,Carroll County,county,IL,2026-07-17T17:07:34,0x880827e71167eba3:0x3b1f927b36ed066c
Napa Auto Care Center,,,,"Metropolis, IL 62960, United States",,,IL,,,,Auto repair shop,,,https://www.google.com/maps/place/Napa+Auto+Care+Center/data=!4m7!3m6!1s0x887a030bd69ebe6d:0x4ee4fbc6a17692d8!8m2!3d37.1589782!4d-88.7347547!16s%2Fg%2F11gmywbh5g!19sChIJbb6e1gsDeogR2JJ2ocb75E4?authuser=0&hl=en&rclk=1,auto repair shop,Massac County,county,IL,2026-07-27T11:45:04,0x887a030bd69ebe6d:0x4ee4fbc6a17692d8
"Randall's Performance, Inc",(309) 627-2500,http://www.randallsperf.com/,,,,,IL,,4.8,37,Car repair and maintenance service,,,"https://www.google.com/maps/place/Randall%27s+Performance,+Inc/data=!4m7!3m6!1s0x87e13c22c5140cbd:0x817ad4a3d890f5ac!8m2!3d40.8643541!4d-90.9573294!16s%2Fg%2F1tgx74fx!19sChIJvQwUxSI84YcRrPWQ2KPUeoE?authuser=0&hl=en&rclk=1",auto repair shop,Henderson County,county,IL,2026-07-27T08:28:32,0x87e13c22c5140cbd:0x817ad4a3d890f5ac
Sk truck repair,,,,"Breese, IL 62230, United States",,,IL,,5.0,3,Truck repair shop,,,https://www.google.com/maps/place/Sk+truck+repair/data=!4m7!3m6!1s0x8875d7220e7f92e1:0xd9b9e2b0ca46a6f5!8m2!3d38.7153929!4d-89.5176121!16s%2Fg%2F11f3n1bd11!19sChIJ4ZJ_DiLXdYgR9aZGyrDiudk?authuser=0&hl=en&rclk=1,auto repair shop,Bond County,county,IL,2026-07-24T15:03:51,0x8875d7220e7f92e1:0xd9b9e2b0ca46a6f5
"TEOS TOWING SERVICE & RECOVERY, TRUCK AND TRAILER REPAIR INC.",(563) 888-1988,http://www.teostowing.com/,,,,,IL,,4.5,8,Towing service,,,"https://www.google.com/maps/place/TEOS+TOWING+SERVICE+%26+RECOVERY,+TRUCK+AND+TRAILER+REPAIR+INC./data=!4m7!3m6!1s0x4128d5ae9a65b0f7:0x1ed1afc29ff52343!8m2!3d41.551673!4d-90.826017!16s%2Fg%2F11rtcl9mfn!19sChIJ97Blmq7VKEERQyP1n8Kv0R4?authuser=0&hl=en&rclk=1",auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0x4128d5ae9a65b0f7:0x1ed1afc29ff52343
Toyota Service,,https://www.kcsummerstoyota.com/,,"Mattoon, IL 61938, United States",,,IL,,,,Auto repair shop,,,https://www.google.com/maps/place/Toyota+Service/data=!4m7!3m6!1s0x887311dc5cd45c29:0x3dc5333d084e693c!8m2!3d39.4815908!4d-88.3782855!16s%2Fg%2F11gbfdb41x!19sChIJKVzUXNwRc4gRPGlOCD0zxT0?authuser=0&hl=en&rclk=1,auto repair shop,Coles County,county,IL,2026-07-24T14:51:58,0x887311dc5cd45c29:0x3dc5333d084e693c
Toyota Service,,,,"Godfrey, IL 62035, United States",,,IL,,4.4,12,Auto repair shop,,,https://www.google.com/maps/place/Toyota+Service/data=!4m7!3m6!1s0x87df436a6f8d63d9:0x1bd5e67566c57ace!8m2!3d38.9219893!4d-90.1687313!16s%2Fg%2F11g9q5rm8k!19sChIJ2WONb2pD34cRznrFZnXm1Rs?authuser=0&hl=en&rclk=1,auto repair shop,Jersey County,county,IL,2026-07-27T09:16:40,0x87df436a6f8d63d9:0x1bd5e67566c57ace
Zimmer's Automotive LLC,,https://zimmer-s-automotive.ueniweb.com/?utm_campaign=gmb,,,,,IL,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/Zimmer%27s+Automotive+LLC/data=!4m7!3m6!1s0x87e2299ada3a3325:0x2ec907e5b0ff73c!8m2!3d41.3098645!4d-90.4979894!16s%2Fg%2F11j6tdwff6!19sChIJJTM62pop4ocRPPcPW36Q7AI?authuser=0&hl=en&rclk=1,auto repair shop,Rock Island County,county,IL,2026-07-27T13:06:16,0x87e2299ada3a3325:0x2ec907e5b0ff73c
