name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
All Fleet Inc - Mobile Truck Repair,(833) 255-3533,https://www.allfleetinc.com/,,,,,IN,,3.6,9,Repair service,,,https://www.google.com/maps/place/All+Fleet+Inc+-+Mobile+Truck+Repair/data=!4m7!3m6!1s0x88134f0f65e05167:0x307f65f86963e8dc!8m2!3d40.032361!4d-86.444076!16s%2Fg%2F11h4s218rr!19sChIJZ1HgZQ9PE4gR3OhjafhlfzA?authuser=0&hl=en&rclk=1,auto repair shop,Boone County,county,IN,2026-07-27T16:46:34,0x88134f0f65e05167:0x307f65f86963e8dc
Auto Repair Center,,,,"Salem, IN 47167, United States",,,IN,,,,Auto repair shop,,,https://www.google.com/maps/place/Auto+Repair+Center/data=!4m7!3m6!1s0x886be2a5310596c1:0x9fe441d408bae35b!8m2!3d38.5976222!4d-86.0817891!16s%2Fg%2F11l65z6mg4!19sChIJwZYFMaXia4gRW-O6CNRB5J8?authuser=0&hl=en&rclk=1,auto repair shop,Scott County,county,IN,2026-07-28T01:16:11,0x886be2a5310596c1:0x9fe441d408bae35b
Auto Service Experts,,,,"Plainfield, IN 46168, United States",,,IN,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/Auto+Service+Experts/data=!4m7!3m6!1s0x886ca44ae68d97cb:0xb7473496a553c2eb!8m2!3d39.7173803!4d-86.3597101!16s%2Fg%2F11vbxjdwt5!19sChIJy5eN5kqkbIgR68JTpZY0R7c?authuser=0&hl=en&rclk=1,auto repair shop,Greene County,county,IN,2026-07-27T19:50:36,0x886ca44ae68d97cb:0xb7473496a553c2eb
Bainbridge Auto Service Center,,,,"Bainbridge, IN 46105, United States",,,IN,,,,Auto repair shop,,,https://www.google.com/maps/place/Bainbridge+Auto+Service+Center/data=!4m7!3m6!1s0x886cda1a93e27451:0xa7a146fd96c7df7e!8m2!3d39.7611803!4d-86.812934!16s%2Fg%2F11zfnk40m9!19sChIJUXTikxrabIgRft_Hlv1Goac?authuser=0&hl=en&rclk=1,auto repair shop,Morgan County,county,IN,2026-07-27T23:03:34,0x886cda1a93e27451:0xa7a146fd96c7df7e
Bloemer's AUTO CLINIC,,,,"North Vernon, IN 47265, United States",,,IN,,,,Auto repair shop,,,https://www.google.com/maps/place/Bloemer%27s+AUTO+CLINIC/data=!4m7!3m6!1s0x886bb3417249c9e7:0x29b3b8c325a916fd!8m2!3d39.0057715!4d-85.6198489!16s%2Fg%2F11zggytmzd!19sChIJ58lJckGza4gR_RapJcO4syk?authuser=0&hl=en&rclk=1,auto repair shop,Jennings County,county,IN,2026-07-27T21:03:16,0x886bb3417249c9e7:0x29b3b8c325a916fd
Blueberry Tire shop,,,,"Clay City, IN 47841, United States",,,IN,,5.0,2,Tire shop,,,https://www.google.com/maps/place/Blueberry+Tire+shop/data=!4m7!3m6!1s0x886da70039e5fda9:0x1d5f7f67b9c0247c!8m2!3d39.2767108!4d-87.1129003!16s%2Fg%2F11vm7w6cxm!19sChIJqf3lOQCnbYgRfCTAuWd_Xx0?authuser=0&hl=en&rclk=1,auto repair shop,Clay County,county,IN,2026-07-27T17:23:03,0x886da70039e5fda9:0x1d5f7f67b9c0247c
Couchman Auto Repair,,https://couchmanautorepair.net/,,,,,IN,,,,Mechanic,,,https://www.google.com/maps/place/Couchman+Auto+Repair/data=!4m7!3m6!1s0x617718c58d2001a5:0xe7762ab17952f59!8m2!3d40.7608674!4d-86.0888475!16s%2Fg%2F11lf8l3v2k!19sChIJpQEgjcUYd2ERWS-VF6tidw4?authuser=0&hl=en&rclk=1,auto repair shop,Miami County,county,IN,2026-07-27T22:44:26,0x617718c58d2001a5:0xe7762ab17952f59
County side buggy shop,,,,"North Vernon, IN 47265, United States",,,IN,,,,Auto repair shop,,,https://www.google.com/maps/place/County+side+buggy+shop/data=!4m7!3m6!1s0x886a51000ef36f71:0x3e1f68c5de2e888b!8m2!3d39.095009!4d-85.5040216!16s%2Fg%2F11ytg80n7t!19sChIJcW_zDgBRaogRi4gu3sVoHz4?authuser=0&hl=en&rclk=1,auto repair shop,Ripley County,county,IN,2026-07-28T01:03:07,0x886a51000ef36f71:0x3e1f68c5de2e888b
Deven’s Auto Repair,,https://www.facebook.com/share/18Z8Wuvgwt/?mibextid=wwXIfr,,,,,IN,,,,Mechanic,,,https://www.google.com/maps/place/Deven%E2%80%99s+Auto+Repair/data=!4m7!3m6!1s0xa64ce1919673e217:0x815d615be74231cd!8m2!3d40.62487!4d-86.0916774!16s%2Fg%2F11nj10n748!19sChIJF-JzlpHhTKYRzTFC51thXYE?authuser=0&hl=en&rclk=1,auto repair shop,Miami County,county,IN,2026-07-27T22:44:26,0xa64ce1919673e217:0x815d615be74231cd
Doms Mobile Garage LLC,,http://www.domsmobilegarage.com/,,,,,IN,,4.2,30,Mechanic,,,https://www.google.com/maps/place/Doms+Mobile+Garage+LLC/data=!4m7!3m6!1s0xa61483eb48761515:0xe1fc12b4868a6ded!8m2!3d40.083382!4d-86.1828085!16s%2Fg%2F11v5_jb726!19sChIJFRV2SOuDFKYR7W2KhrQS_OE?authuser=0&hl=en&rclk=1,auto repair shop,Hamilton County,county,IN,2026-07-27T19:58:44,0xa61483eb48761515:0xe1fc12b4868a6ded
