name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
A-1 Tire & Auto,,,,"Mound City, KS 66056, United States",,,KS,,5.0,1,,,,https://www.google.com/maps/place/A-1+Tire+%26+Auto/data=!4m7!3m6!1s0x87c769571421727d:0xf24bae87c26d9e94!8m2!3d38.1427199!4d-94.8142514!16s%2Fg%2F11x1n5fn9q!19sChIJfXIhFFdpx4cRlJ5twoeuS_I?authuser=0&hl=en&rclk=1,auto repair shop,Bourbon County,county,KS,2026-07-28T04:05:43,0x87c769571421727d:0xf24bae87c26d9e94
Agee´s Service,,,,"Sabetha, KS 66534, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Agee%C2%B4s+Service/data=!4m7!3m6!1s0x879581469b182ac1:0x1ab705d6ff18f079!8m2!3d39.9026933!4d-95.8003564!16s%2Fg%2F11x1n51f06!19sChIJwSoYm0aBlYcRefAY_9YFtxo?authuser=0&hl=en&rclk=1,auto repair shop,Nemaha County,county,KS,2026-07-28T09:32:10,0x879581469b182ac1:0x1ab705d6ff18f079
Brodie's Auto Service & Repair,,,,"Emporia, KS 66801, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Brodie%27s+Auto+Service+%26+Repair/data=!4m7!3m6!1s0x87b94dd6285a295b:0x80ab7b495a1274bd!8m2!3d38.4053195!4d-96.2025437!16s%2Fg%2F11z5957_0p!19sChIJWylaKNZNuYcRvXQSWkl7q4A?authuser=0&hl=en&rclk=1,auto repair shop,Lyon County,county,KS,2026-07-28T08:08:47,0x87b94dd6285a295b:0x80ab7b495a1274bd
Buenger Automotive,,,,"Osage City, KS 66523, United States",,,KS,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/Buenger+Automotive/data=!4m7!3m6!1s0x87bed0d7efbc8467:0xdaa0c1840ad3f280!8m2!3d38.6347549!4d-95.8240608!16s%2Fg%2F11s0z9gylz!19sChIJZ4S879fQvocRgPLTCoTBoNo?authuser=0&hl=en&rclk=1,auto repair shop,Osage County,county,KS,2026-07-28T10:13:28,0x87bed0d7efbc8467:0xdaa0c1840ad3f280
Coyote 1,,,,"Leavenworth, KS 66048, United States",,,KS,,,,Auto repair shop,,,https://www.google.com/maps/place/Coyote+1/data=!4m7!3m6!1s0x87c07b00711bf579:0xf9626215a2cf6871!8m2!3d39.3358401!4d-94.9661633!16s%2Fg%2F11wy0ct35m!19sChIJefUbcQB7wIcRcWjPohViYvk?authuser=0&hl=en&rclk=1,auto repair shop,Leavenworth County,county,KS,2026-07-28T07:46:48,0x87c07b00711bf579:0xf9626215a2cf6871
Cunningham Auto Service,,,,"Cunningham, KS 67035, United States",,,KS,,5.0,4,,,,https://www.google.com/maps/place/Cunningham+Auto+Service/data=!4m7!3m6!1s0x87a501b02c705d05:0x147ddaa280cd3637!8m2!3d37.6454852!4d-98.4319109!16s%2Fg%2F11ldwpn_jz!19sChIJBV1wLLABpYcRNzbNgKLafRQ?authuser=0&hl=en&rclk=1,auto repair shop,Stanton County,county,KS,2026-07-28T13:17:10,0x87a501b02c705d05:0x147ddaa280cd3637
Hodges Body Shop,,,,"Lyons, KS 67554, United States",,,KS,,3.7,3,Auto body shop,,,https://www.google.com/maps/place/Hodges+Body+Shop/data=!4m7!3m6!1s0x87a49e384c34d2cd:0x1242b5b382c280f9!8m2!3d38.3493958!4d-98.1891995!16s%2Fg%2F1tf71fk6!19sChIJzdI0TDiepIcR-YDCgrO1QhI?authuser=0&hl=en&rclk=1,auto repair shop,Rice County,county,KS,2026-07-28T11:32:10,0x87a49e384c34d2cd:0x1242b5b382c280f9
Leroy Coop,,,,"LeRoy, KS 66857, United States",,,KS,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Leroy+Coop/data=!4m7!3m6!1s0x87b8e50012584d6b:0xddc1b9aef6c88be3!8m2!3d38.0843917!4d-95.6337114!16s%2Fg%2F11vpxl1__t!19sChIJa01YEgDluIcR44vI9q65wd0?authuser=0&hl=en&rclk=1,auto repair shop,Woodson County,county,KS,2026-07-28T14:09:35,0x87b8e50012584d6b:0xddc1b9aef6c88be3
Multi-Mile Tires,,,,"Norton, KS 67654, United States",,,KS,,,,Tire shop,,,https://www.google.com/maps/place/Multi-Mile+Tires/data=!4m7!3m6!1s0x879f75869fc4f9a1:0x923a541dd1b4ceac!8m2!3d39.8387586!4d-99.8963459!16s%2Fg%2F11gly37vjh!19sChIJofnEn4Z1n4cRrM600R1UOpI?authuser=0&hl=en&rclk=1,auto repair shop,Norton County,county,KS,2026-07-28T10:03:12,0x879f75869fc4f9a1:0x923a541dd1b4ceac
Premier P D R & Repair,,,,"Cimarron, KS 67835, United States",,,KS,,3.0,2,Auto repair shop,,,https://www.google.com/maps/place/Premier+P+D+R+%26+Repair/data=!4m7!3m6!1s0x87a76bd8499ec8af:0xe9b7ed7a38b85808!8m2!3d37.8064744!4d-100.3474649!16s%2Fg%2F11g1npphbw!19sChIJr8ieSdhrp4cRCFi4OHrtt-k?authuser=0&hl=en&rclk=1,auto repair shop,Comanche County,county,KS,2026-07-28T05:07:18,0x87a76bd8499ec8af:0xe9b7ed7a38b85808
