name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Advance Auto,,,,"Georgetown, KY 40324, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Advance+Auto/data=!4m7!3m6!1s0x88423f0072567853:0xc5dc8c8253c91a08!8m2!3d38.2097686!4d-84.5588331!16s%2Fg%2F11myk5nkht!19sChIJU3hWcgA_QogRCBrJU4KM3MU?authuser=0&hl=en&rclk=1,auto repair shop,Scott County,county,KY,2026-07-29T07:45:54,0x88423f0072567853:0xc5dc8c8253c91a08
Advance tires,,,,"Somerset, KY 42501, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Advance+tires/data=!4m7!3m6!1s0x885d3500604ded55:0x96cc35be4e88c7b7!8m2!3d37.0920419!4d-84.6040257!16s%2Fg%2F11lf30b7v5!19sChIJVe1NYAA1XYgRt8eITr41zJY?authuser=0&hl=en&rclk=1,auto repair shop,Pulaski County,county,KY,2026-07-29T07:10:11,0x885d3500604ded55:0x96cc35be4e88c7b7
Autocare Center,,,,"Princeton, KY 42445, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Autocare+Center/data=!4m7!3m6!1s0x887a9827147d3555:0x4986bf92919fff9d!8m2!3d37.1085132!4d-87.8810185!16s%2Fg%2F11kjkcsvbb!19sChIJVTV9FCeYeogRnf-fkZK_hkk?authuser=0&hl=en&rclk=1,auto repair shop,Caldwell County,county,KY,2026-07-28T19:14:27,0x887a9827147d3555:0x4986bf92919fff9d
Autotronics,,,,"Shelbyville, KY 40065, United States",,,KY,,,,Auto repair shop,,,https://www.google.com/maps/place/Autotronics/data=!4m7!3m6!1s0x8869c15721b7bfa1:0x206c1805d536a6c8!8m2!3d38.2184413!4d-85.2548766!16s%2Fg%2F11j7kfymtf!19sChIJob-3IVfBaYgRyKY21QUYbCA?authuser=0&hl=en&rclk=1,auto repair shop,Shelby County,county,KY,2026-07-29T07:56:25,0x8869c15721b7bfa1:0x206c1805d536a6c8
Chapman's Garage,,,,"Tompkinsville, KY 42167, United States",,,KY,,3.3,3,,,,https://www.google.com/maps/place/Chapman%27s+Garage/data=!4m7!3m6!1s0x886651fffc4b959d:0xe03fcd7c9fdff674!8m2!3d36.7038028!4d-85.6849944!16s%2Fg%2F11vx13d4jp!19sChIJnZVL_P9RZogRdPbfn3zNP-A?authuser=0&hl=en&rclk=1,auto repair shop,Monroe County,county,KY,2026-07-29T05:38:08,0x886651fffc4b959d:0xe03fcd7c9fdff674
Collinsworth garage,,,,"Wellington, KY 40387, United States",,,KY,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Collinsworth+garage/data=!4m7!3m6!1s0x884479003126bbe3:0x70220d5c84b2cca!8m2!3d37.907474!4d-83.5522042!16s%2Fg%2F11np_rwx3n!19sChIJ47smMQB5RIgRyixLyNUgAgc?authuser=0&hl=en&rclk=1,auto repair shop,Menifee County,county,KY,2026-07-29T05:18:13,0x884479003126bbe3:0x70220d5c84b2cca
Cynthiana-Harrison County Airport,,http://www.ky0i8.com/,,"Kentucky 41031, United States",,,KY,,4.4,23,Airport,,,https://www.google.com/maps/place/Cynthiana-Harrison+County+Airport/data=!4m7!3m6!1s0x88422d15626f1ad7:0x81bfc4552be1cd57!8m2!3d38.3656786!4d-84.2903562!16s%2Fm%2F02qhb78!19sChIJ1xpvYhUtQogRV83hK1XEv4E?authuser=0&hl=en&rclk=1,auto repair shop,Harrison County,county,KY,2026-07-29T00:23:15,0x88422d15626f1ad7:0x81bfc4552be1cd57
Dale's Auto Repair,,,,"Clarkson, KY 42726, United States",,,KY,,5.0,5,Auto machine shop,,,https://www.google.com/maps/place/Dale%27s+Auto+Repair/data=!4m7!3m6!1s0x8868b377e93321d9:0x7d151852d1f9d93f!8m2!3d37.4814125!4d-86.216707!16s%2Fg%2F11hbn_1zj2!19sChIJ2SEz6XezaIgRP9n50VIYFX0?authuser=0&hl=en&rclk=1,auto repair shop,Breckinridge County,county,KY,2026-07-28T18:36:17,0x8868b377e93321d9:0x7d151852d1f9d93f
Dalton's Custom Exhaust,,,,"Paintsville, KY 41240, United States",,,KY,,1.0,1,Auto repair shop,,,https://www.google.com/maps/place/Dalton%27s+Custom+Exhaust/data=!4m7!3m6!1s0x8845a9721029564f:0x9ee8d5187a0bdc6a!8m2!3d37.8110612!4d-82.8039882!16s%2Fg%2F11www_7h4h!19sChIJT1YpEHKpRYgRatwLehjV6J4?authuser=0&hl=en&rclk=1,auto repair shop,Johnson County,county,KY,2026-07-29T02:03:48,0x8845a9721029564f:0x9ee8d5187a0bdc6a
F5 Auto Wash,,,,"Morganfield, KY 42437, United States",,,KY,,3.6,57,Self service car wash,,,https://www.google.com/maps/place/F5+Auto+Wash/data=!4m7!3m6!1s0x88704109b20a2e19:0x590ec953fc573350!8m2!3d37.689234!4d-87.9070978!16s%2Fg%2F11hzlzh6r5!19sChIJGS4KsglBcIgRUDNX_FPJDlk?authuser=0&hl=en&rclk=1,auto repair shop,Union County,county,KY,2026-07-29T08:44:59,0x88704109b20a2e19:0x590ec953fc573350
