name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Scoby's Winnsboro Rd. Auto Repair Center,,,,"Monroe, LA 71202, United States",,,LA,,2.8,4,Auto repair shop,,,https://www.google.com/maps/place/Scoby%27s+Winnsboro+Rd.+Auto+Repair+Center/data=!4m7!3m6!1s0x862e48e4d5938f77:0xa95a30a70f656498!8m2!3d32.4830771!4d-92.0957146!16s%2Fg%2F11h002cr4n!19sChIJd4-T1eRILoYRmGRlD6cwWqk?authuser=0&hl=en&rclk=1,auto repair shop,Caldwell Parish,county,LA,2026-07-29T11:39:29,0x862e48e4d5938f77:0xa95a30a70f656498
Scott's Automotive,,,,"Gonzales, LA 70737, United States",,,LA,,,,Auto repair shop,,,https://www.google.com/maps/place/Scott%27s+Automotive/data=!4m7!3m6!1s0x8626c9001a9b345f:0x1ec4a1f1083b1f7c!8m2!3d30.2766879!4d-90.8988285!16s%2Fg%2F11nqw__qwy!19sChIJXzSbGgDJJoYRfB87CPGhxB4?authuser=0&hl=en&rclk=1,auto repair shop,Ascension Parish,county,LA,2026-07-29T10:06:02,0x8626c9001a9b345f:0x1ec4a1f1083b1f7c
First Choice Automotive,,,,"1511 MacArthur Dr, Alexandria, LA 71301, United States",1511 MacArthur Dr,Alexandria,LA,71301,3.7,47,Auto repair shop,,,https://www.google.com/maps/place/First+Choice+Automotive/data=!4m7!3m6!1s0x863ab52776a7818d:0x7aa85624cc8e9b93!8m2!3d31.2836693!4d-92.4730582!16s%2Fg%2F1tgh7yl2!19sChIJjYGndie1OoYRk5uOzCRWqHo?authuser=0&hl=en&rclk=1,auto repair shop,Allen Parish,county,LA,2026-07-29T09:58:43,0x863ab52776a7818d:0x7aa85624cc8e9b93
Meridith’s car,,,,"18610 LA-9, Arcadia, LA 71001, United States",18610 LA-9,Arcadia,LA,71001,,,Auto repair shop,,,https://www.google.com/maps/place/Meridith%E2%80%99s+car/data=!4m7!3m6!1s0x8631a50053636a8b:0xfef27a0986169a1d!8m2!3d32.5640241!4d-92.9457511!16s%2Fg%2F11y9sx3w5l!19sChIJi2pjUwClMYYRHZoWhgl68v4?authuser=0&hl=en&rclk=1,auto repair shop,Bienville Parish,county,LA,2026-07-29T10:55:15,0x8631a50053636a8b:0xfef27a0986169a1d
NAPA Auto Parts - Motor Parts Service of Ruston Inc,(318) 263-8497,https://www.napaonline.com/en/LA/Arcadia/store/28230?cid=pl_jobber_google_dac_28230_ao,,"2371 2nd St, Arcadia, LA 71001, United States",2371 2nd St,Arcadia,LA,71001,4.6,50,Auto parts store,,,https://www.google.com/maps/place/NAPA+Auto+Parts+-+Motor+Parts+Service+of+Ruston+Inc/data=!4m7!3m6!1s0x8631bb29333d8ed3:0xdb42e37a5f629efc!8m2!3d32.5518632!4d-92.9276771!16s%2Fg%2F1vwlphr6!19sChIJ0449Mym7MYYR_J5iX3rjQts?authuser=0&hl=en&rclk=1,auto repair shop,Bienville Parish,county,LA,2026-07-29T10:55:15,0x8631bb29333d8ed3:0xdb42e37a5f629efc
Firestone Complete Auto Care,(318) 562-1896,https://www.firestonecompleteautocare.com/louisiana/barksdale-afb/200-wilbur-wright-dr/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,328314@bfrc.com,"200 Wilbur Wright Dr, Barksdale AFB, LA 71110, United States",200 Wilbur Wright Dr,Barksdale AFB,LA,71110,4.1,209,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x86313212923248bb:0xfdd3f9dea2b70b!8m2!3d32.4963161!4d-93.6802899!16s%2Fg%2F1th5cyh5!19sChIJu0gykhIyMYYRC7ei3vnT_QA?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x86313212923248bb:0xfdd3f9dea2b70b
S. A. S Auto Parts Inc #1,(985) 369-6704,http://www.btbautoparts.com/,,"6398 HWY 70 North, Belle Rose, LA 70341, United States",6398 HWY 70 North,Belle Rose,LA,70341,4.3,9,Auto parts store,,,https://www.google.com/maps/place/S.+A.+S+Auto+Parts+Inc+%231/data=!4m7!3m6!1s0x86214fb89cb03c37:0x38a166e77b27a5cc!8m2!3d30.0008192!4d-91.0374696!16s%2Fg%2F1vgqdg0g!19sChIJNzywnLhPIYYRzKUne-dmoTg?authuser=0&hl=en&rclk=1,auto repair shop,Assumption Parish,county,LA,2026-07-29T10:20:35,0x86214fb89cb03c37:0x38a166e77b27a5cc
Firestone Complete Auto Care,(318) 532-4629,https://www.firestonecompleteautocare.com/louisiana/bossier-city/2935-e-texas-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,022993@bfrc.com,"2935 E Texas St, Bossier City, LA 71111, United States",2935 E Texas St,Bossier City,LA,71111,4.4,464,Tire shop,,,https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x86313301ebd3351d:0x1029ff1ff12fd73a!8m2!3d32.5291879!4d-93.7069619!16s%2Fg%2F1vljgpyp!19sChIJHTXT6wEzMYYROtcv8R__KRA?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x86313301ebd3351d:0x1029ff1ff12fd73a
Geno’s Discount Tire & Roadside Assistance,(318) 676-4953,http://genosdiscounttire.com/,,"3504 Barksdale Blvd, Bossier City, LA 71112, United States",3504 Barksdale Blvd,Bossier City,LA,71112,4.5,199,Tire shop,,,https://www.google.com/maps/place/Geno%E2%80%99s+Discount+Tire+%26+Roadside+Assistance/data=!4m7!3m6!1s0x8631320ac794c7d1:0xbd04b27ec1c4ca2e!8m2!3d32.4851047!4d-93.6818921!16s%2Fg%2F11bvv4qbrl!19sChIJ0ceUxwoyMYYRLsrEwX6yBL0?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x8631320ac794c7d1:0xbd04b27ec1c4ca2e
Krystal Auto Collision Inc,(318) 752-3300,https://www.krystalautocollision.com/,info@krystalautocollision.com,"2115 California Dr, Bossier City, LA 71111, United States",2115 California Dr,Bossier City,LA,71111,4.8,20,Auto body shop,,,https://www.google.com/maps/place/Krystal+Auto+Collision+Inc/data=!4m7!3m6!1s0x8631331875ce8b83:0x5e168b22bd1b4c27!8m2!3d32.5371896!4d-93.7232402!16s%2Fg%2F1tgdny3p!19sChIJg4vOdRgzMYYRJ0wbvSKLFl4?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x8631331875ce8b83:0x5e168b22bd1b4c27
Pep Boys Auto Service & Tires,(318) 408-3280,https://www.pepboys.com/stores/la/bossier-city/2941-e-texas-ave?Cid=gbp_appt_AN:PB|PB:G|TT:GBP|CG:CONVERSION|CD:SERVICE,,"2941 E Texas St, Bossier City, LA 71111, United States",2941 E Texas St,Bossier City,LA,71111,4.0,581,Tire shop,,,https://www.google.com/maps/place/Pep+Boys+Auto+Service+%26+Tires/data=!4m7!3m6!1s0x86313301c5d79dc3:0x22e3e38ab65faeb4!8m2!3d32.52964!4d-93.706276!16s%2Fg%2F1tfydyqt!19sChIJw53XxQEzMYYRtK5ftorj4yI?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x86313301c5d79dc3:0x22e3e38ab65faeb4
Take 5 Oil Change,(318) 379-4525,https://www.take5.com/locations/oil-change/louisiana/bossier-city/30410/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,news@drivenbrands.com,"1995 Airline Dr, Bossier City, LA 71112, United States",1995 Airline Dr,Bossier City,LA,71112,4.4,742,Oil change service,,,https://www.google.com/maps/place/Take+5+Oil+Change/data=!4m7!3m6!1s0x86313371f116f0ef:0x46c9f229b0b611dc!8m2!3d32.5284867!4d-93.7025343!16s%2Fg%2F11fpj86p4s!19sChIJ7_AW8XEzMYYR3BG2sCnyyUY?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x86313371f116f0ef:0x46c9f229b0b611dc
Valvoline Instant Oil Change,(318) 746-0670,https://store.vioc.com/la/bossier-city/1898-airline-drive?utm_source=google&utm_medium=local&utm_campaign=localsearch,,"1898 Airline Dr, Bossier City, LA 71112, United States",1898 Airline Dr,Bossier City,LA,71112,4.7,414,Oil change service,,,https://www.google.com/maps/place/Valvoline+Instant+Oil+Change/data=!4m7!3m6!1s0x863132510df1031f:0x8298c089969dc3d8!8m2!3d32.52099!4d-93.69589!16s%2Fg%2F11dx9lf8jp!19sChIJHwPxDVEyMYYR2MOdlonAmII?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x863132510df1031f:0x8298c089969dc3d8
Wray Ford Inc Service,(318) 686-7300,https://www.wrayford.net/,,"2851 Benton Rd, Bossier City, LA 71111, United States",2851 Benton Rd,Bossier City,LA,71111,4.5,651,Auto repair shop,,,https://www.google.com/maps/place/Wray+Ford+Inc+Service/data=!4m7!3m6!1s0x8631333c6266a301:0xa9fb4adb50a6fe4a!8m2!3d32.560856!4d-93.7284482!16s%2Fg%2F11p39lmhtj!19sChIJAaNmYjwzMYYRSv6mUNtK-6k?authuser=0&hl=en&rclk=1,auto repair shop,Bossier Parish,county,LA,2026-07-29T11:12:50,0x8631333c6266a301:0xa9fb4adb50a6fe4a
"171 Automotive & Towing, Inc.",(337) 462-3950,,,"3201 US-171, DeRidder, LA 70634, United States",3201 US-171,DeRidder,LA,70634,4.1,45,Towing service,,,"https://www.google.com/maps/place/171+Automotive+%26+Towing,+Inc./data=!4m7!3m6!1s0x863bad73ca27d87f:0x6add39c6fd5b31f8!8m2!3d30.8181938!4d-93.2417719!16s%2Fg%2F1thvt21m!19sChIJf9gnynOtO4YR-DFb_cY53Wo?authuser=0&hl=en&rclk=1",auto repair shop,Allen Parish,county,LA,2026-07-29T09:58:43,0x863bad73ca27d87f:0x6add39c6fd5b31f8
"Battery Warehouse Inc. Of DeRidder, La.",(337) 462-1352,http://www.batterywarehouse.info/,tina@batterywarehouse.info,"2008 US-190 W, DeRidder, LA 70634, United States",2008 US-190 W,DeRidder,LA,70634,4.6,52,Battery store,,,"https://www.google.com/maps/place/Battery+Warehouse+Inc.+Of+DeRidder,+La./data=!4m7!3m6!1s0x863bad59ffa75f55:0x2dc75ec24539bcb5!8m2!3d30.8473544!4d-93.3110157!16s%2Fg%2F1tx_6r5z!19sChIJVV-n_1mtO4YRtbw5RcJexy0?authuser=0&hl=en&rclk=1",auto repair shop,Beauregard Parish,county,LA,2026-07-29T10:38:56,0x863bad59ffa75f55:0x2dc75ec24539bcb5
"Cbg GMC, INC.",(337) 348-0387,https://www.cbgauto.com/,,"1025 E 1st St, DeRidder, LA 70634, United States",1025 E 1st St,DeRidder,LA,70634,4.5,103,GMC dealer,,,"https://www.google.com/maps/place/Cbg+GMC,+INC./data=!4m7!3m6!1s0x863bb2ae413fffff:0x8c2d3096c0f052c3!8m2!3d30.847887!4d-93.2655334!16s%2Fg%2F1tgfdrdx!19sChIJ__8_Qa6yO4YRw1LwwJYwLYw?authuser=0&hl=en&rclk=1",auto repair shop,Beauregard Parish,county,LA,2026-07-29T10:38:56,0x863bb2ae413fffff:0x8c2d3096c0f052c3
De Ridder Truck Parts Inc.,(337) 463-4106,,,"3778 LA-3226, DeRidder, LA 70634, United States",3778 LA-3226,DeRidder,LA,70634,4.6,14,Truck accessories store,,,https://www.google.com/maps/place/De+Ridder+Truck+Parts+Inc./data=!4m7!3m6!1s0x863bb4b1380a59bd:0x2b16c5380194cc5d!8m2!3d30.8512552!4d-93.3538371!16s%2Fg%2F1vrq9_z0!19sChIJvVkKOLG0O4YRXcyUATjFFis?authuser=0&hl=en&rclk=1,auto repair shop,Beauregard Parish,county,LA,2026-07-29T10:38:56,0x863bb4b1380a59bd:0x2b16c5380194cc5d
Harmon's Automotive & Towing Service Inc,(337) 462-2043,https://www.harmonsfirst.com/,,"2777 US-171, DeRidder, LA 70634, United States",2777 US-171,DeRidder,LA,70634,4.1,94,Towing service,,,https://www.google.com/maps/place/Harmon%27s+Automotive+%26+Towing+Service+Inc/data=!4m7!3m6!1s0x863bad5a5b3f043d:0xf639cc0e4aa5b61d!8m2!3d30.8291152!4d-93.2454706!16s%2Fg%2F1vnrq_11!19sChIJPQQ_W1qtO4YRHbalSg7MOfY?authuser=0&hl=en&rclk=1,auto repair shop,Allen Parish,county,LA,2026-07-29T09:58:43,0x863bad5a5b3f043d:0xf639cc0e4aa5b61d
