name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
ALANIZ GARAGE,,,,"Beeville, TX 78102, United States",,,TX,,,,Car repair and maintenance service,,,https://www.google.com/maps/place/ALANIZ+GARAGE/data=!4m7!3m6!1s0x866800f9c1e926ef:0xa5fd6b39fb598e86!8m2!3d28.4015545!4d-97.7514494!16s%2Fg%2F11krpg_bxj!19sChIJ7ybpwfkAaIYRho5Z-zlr_aU?authuser=0&hl=en&rclk=1,auto repair shop,Bee County,county,TX,2026-07-09T12:40:57,0x866800f9c1e926ef:0xa5fd6b39fb598e86
B&b Super Lube,,,,"Muleshoe, TX 79347, United States",,,TX,,,,Auto repair shop,,,https://www.google.com/maps/place/B%26b+Super+Lube/data=!4m7!3m6!1s0x87025e7094094717:0x41bf7f6dc71fc22a!8m2!3d34.2292126!4d-102.7210347!16s%2Fg%2F11t2884_sn!19sChIJF0cJlHBeAocRKsIfx21_v0E?authuser=0&hl=en&rclk=1,auto repair shop,Bailey County,county,TX,2026-07-09T12:16:08,0x87025e7094094717:0x41bf7f6dc71fc22a
Gordon Automotive,,,,"Abernathy, TX 79311, United States",,,TX,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Gordon+Automotive/data=!4m7!3m6!1s0x86fe1b9d3cd0e077:0xaef88b02aee2573a!8m2!3d33.8352245!4d-101.8414529!16s%2Fg%2F11rz5b81mq!19sChIJd-DQPJ0b_oYROlfirgKL-K4?authuser=0&hl=en&rclk=1,auto repair shop,Borden County,county,TX,2026-07-09T13:06:22,0x86fe1b9d3cd0e077:0xaef88b02aee2573a
Hilbers Tire,,,,"Archer City, TX 76351, United States",,,TX,,4.8,15,Tire shop,,,https://www.google.com/maps/place/Hilbers+Tire/data=!4m7!3m6!1s0x865305f698952c2d:0x4cfb27a05e0b40af!8m2!3d33.5955605!4d-98.6225867!16s%2Fg%2F11lf_gjlqy!19sChIJLSyVmPYFU4YRr0ALXqAn-0w?authuser=0&hl=en&rclk=1,auto repair shop,Archer County,county,TX,2026-07-09T11:52:04,0x865305f698952c2d:0x4cfb27a05e0b40af
Jimmy Beatty's Automotive,,,,"Lamesa, TX 79331, United States",,,TX,,5.0,1,Auto repair shop,,,https://www.google.com/maps/place/Jimmy+Beatty%27s+Automotive/data=!4m7!3m6!1s0x86fea44686584fe7:0x37cdd96e18035b53!8m2!3d32.7440741!4d-101.9524686!16s%2Fg%2F11wfx6q7dc!19sChIJ509Yhkak_oYRU1sDGG7ZzTc?authuser=0&hl=en&rclk=1,auto repair shop,Borden County,county,TX,2026-07-09T13:06:22,0x86fea44686584fe7:0x37cdd96e18035b53
Road Master Diesel Shop,,,,"Texas 79331, United States",,,TX,,,,Auto repair shop,,,https://www.google.com/maps/place/Road+Master+Diesel+Shop/data=!4m7!3m6!1s0x86fea5a12c9f03db:0x52206a03f88b6683!8m2!3d32.714538!4d-101.938029!16s%2Fg%2F11kn6s41x0!19sChIJ2wOfLKGl_oYRg2aL-ANqIFI?authuser=0&hl=en&rclk=1,auto repair shop,Borden County,county,TX,2026-07-09T13:06:22,0x86fea5a12c9f03db:0x52206a03f88b6683
Rodriguez Tire Shop,,,,"Bastrop, TX 78602, United States",,,TX,,3.7,55,Used tire shop,,,https://www.google.com/maps/place/Rodriguez+Tire+Shop/data=!4m7!3m6!1s0x86449a3ca7f10a8b:0x4eb2193892725044!8m2!3d30.1095579!4d-97.3400251!16s%2Fg%2F11g8w1l95y!19sChIJiwrxpzyaRIYRRFBykjgZsk4?authuser=0&hl=en&rclk=1,auto repair shop,Bastrop County,county,TX,2026-07-09T12:28:52,0x86449a3ca7f10a8b:0x4eb2193892725044
WEST TEXAS TIRE SHOP,,,,"Lamesa, TX 79331, United States",,,TX,,,,Tire shop,,,https://www.google.com/maps/place/WEST+TEXAS+TIRE+SHOP/data=!4m7!3m6!1s0x86fea435d9e75c0b:0xe81883085ed5ab74!8m2!3d32.73454!4d-101.9597452!16s%2Fg%2F11z7t7sjw6!19sChIJC1zn2TWk_oYRdKvVXgiDGOg?authuser=0&hl=en&rclk=1,auto repair shop,Borden County,county,TX,2026-07-09T13:06:22,0x86fea435d9e75c0b:0xe81883085ed5ab74
Jackson Hot Oil Service,,,,"924 US-385, Andrews, TX 79714, United States",924 US-385,Andrews,TX,79714,,,Auto repair shop,,,https://www.google.com/maps/place/Jackson+Hot+Oil+Service/data=!4m7!3m6!1s0x86fb8e8b921bffff:0x68e583643a1171de!8m2!3d32.3056686!4d-102.5428448!16s%2Fg%2F11h3vbqy2v!19sChIJ__8bkouO-4YR3nEROmSD5Wg?authuser=0&hl=en&rclk=1,auto repair shop,Andrews County,county,TX,2026-07-09T11:28:33,0x86fb8e8b921bffff:0x68e583643a1171de
Stampede Inc,(432) 523-3055,,,"414 W Broadway St, Andrews, TX 79714, United States",414 W Broadway St,Andrews,TX,79714,4.7,59,Car repair and maintenance service,,,https://www.google.com/maps/place/Stampede+Inc/data=!4m7!3m6!1s0x86fb8e8b1793f80d:0x20787695bd21bde1!8m2!3d32.3180098!4d-102.5512066!16s%2Fg%2F11byykzhwf!19sChIJDfiTF4uO-4YR4b0hvZV2eCA?authuser=0&hl=en&rclk=1,auto repair shop,Andrews County,county,TX,2026-07-09T11:28:33,0x86fb8e8b1793f80d:0x20787695bd21bde1
