name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
2nd 2 None Truck and Trailer,(334) 524-4848,https://2nd2nonetruckandtrailer.com/,,,,,AL,,5.0,42,Diesel engine repair service,,,https://www.google.com/maps/place/2nd+2+None+Truck+and+Trailer/data=!4m7!3m6!1s0x888ceb5e9420a9c3:0x7986962bd607edad!8m2!3d32.727428!4d-85.3453099!16s%2Fg%2F11x32dq3_9!19sChIJw6kglF7rjIgRre0H1iuWhnk?authuser=0&hl=en&rclk=1,auto repair shop,Russell County,county,AL,2026-07-21T18:20:24,0x888ceb5e9420a9c3:0x7986962bd607edad
3 B's Wrecker Service,(205) 336-8686,,,"Boligee, AL 35443, United States",,,AL,,4.0,55,Auto wrecker,,,https://www.google.com/maps/place/3+B%27s+Wrecker+Service/data=!4m7!3m6!1s0x8885ced606727e3d:0x5559613333211747!8m2!3d32.7982169!4d-88.0326788!16s%2Fg%2F1tc_9fnd!19sChIJPX5yBtbOhYgRRxchMzNhWVU?authuser=0&hl=en&rclk=1,auto repair shop,Choctaw County,county,AL,2026-07-21T13:02:28,0x8885ced606727e3d:0x5559613333211747
A Better Way Automotive,(334) 276-9827,,,"Five Points, AL 36855, United States",,,AL,,4.4,18,Auto repair shop,,,https://www.google.com/maps/place/A+Better+Way+Automotive/data=!4m7!3m6!1s0x888b5de03962622f:0xceeb50439f10b131!8m2!3d33.0799056!4d-85.2532603!16s%2Fg%2F11f_b_4_hr!19sChIJL2JiOeBdi4gRMbEQn0NQ684?authuser=0&hl=en&rclk=1,auto repair shop,Bullock County,county,AL,2026-07-21T12:05:53,0x888b5de03962622f:0xceeb50439f10b131
A to B Automotive LLC,(706) 593-2214,https://www.facebook.com/share/14brC8Wm2Sr/?mibextid=wwXIfr,,,,,AL,,5.0,13,Mechanic,,,https://www.google.com/maps/place/A+to+B+Automotive+LLC/data=!4m7!3m6!1s0x88f33523392a689f:0x131e44b8b30a57d7!8m2!3d32.436611!4d-84.9870875!16s%2Fg%2F11z7mbpwzt!19sChIJn2gqOSM184gR11cKs7hEHhM?authuser=0&hl=en&rclk=1,auto repair shop,Russell County,county,AL,2026-07-21T18:20:24,0x88f33523392a689f:0x131e44b8b30a57d7
ALVAREZ AUTO SERVICE & TIRE,(205) 265-3075,,,"Alabama 35501, United States",,,AL,,3.9,18,Auto repair shop,,,https://www.google.com/maps/place/ALVAREZ+AUTO+SERVICE+%26+TIRE/data=!4m7!3m6!1s0x888860a0e820a491:0xe0a0f58a78dc1435!8m2!3d33.8365101!4d-87.2237919!16s%2Fg%2F11s6623zbs!19sChIJkaQg6KBgiIgRNRTceIr1oOA?authuser=0&hl=en&rclk=1,auto repair shop,Walker County,county,AL,2026-07-21T19:09:03,0x888860a0e820a491:0xe0a0f58a78dc1435
All Area Towing,(256) 463-5477,https://allareatowing.com/,,,,,AL,,4.8,232,Towing service,,,https://www.google.com/maps/place/All+Area+Towing/data=!4m7!3m6!1s0x888b00acd5b4486f:0x865d5ebc2c07bed3!8m2!3d33.6252786!4d-85.725332!16s%2Fg%2F1thqbmkz!19sChIJb0i01awAi4gR074HLLxeXYY?authuser=0&hl=en&rclk=1,auto repair shop,Cleburne County,county,AL,2026-07-09T19:49:53,0x888b00acd5b4486f:0x865d5ebc2c07bed3
Alliance Truck and Trailer Repair,(850) 904-6417,,,,,,AL,,5.0,45,Mechanic,,,https://www.google.com/maps/place/Alliance+Truck+and+Trailer+Repair/data=!4m7!3m6!1s0x49cedbb5773c43c7:0x697c89acafee1e4f!8m2!3d31.867177!4d-85.3423364!16s%2Fg%2F11vzc2q5tc!19sChIJx0M8d7XbzkkRTx7ur6yJfGk?authuser=0&hl=en&rclk=1,auto repair shop,Barbour County,county,AL,2026-07-21T11:34:16,0x49cedbb5773c43c7:0x697c89acafee1e4f
Arnolds Auto Repair,(256) 259-4448,,,"Scottsboro, AL 35768, United States",,,AL,,3.5,130,Auto repair shop,,,https://www.google.com/maps/place/Arnolds+Auto+Repair/data=!4m7!3m6!1s0x8861eefb046ad5ff:0x96456eea67f7556b!8m2!3d34.6737784!4d-86.0498397!16s%2Fg%2F1x6q2h0h!19sChIJ_9VqBPvuYYgRa1X3Z-puRZY?authuser=0&hl=en&rclk=1,auto repair shop,Jackson County,county,AL,2026-07-21T15:44:30,0x8861eefb046ad5ff:0x96456eea67f7556b
Arty's Mobile Mechanic,(659) 215-2813,https://artys-mobilemechanic.com/,,,,,AL,,4.9,61,Mechanic,,,https://www.google.com/maps/place/Arty%27s+Mobile+Mechanic/data=!4m7!3m6!1s0x840d1bce368ea575:0xf1c6a66c033fa74!8m2!3d33.028725!4d-87.434305!16s%2Fg%2F11ldpb355c!19sChIJdaWONs4bDYQRdPozwGZqHA8?authuser=0&hl=en&rclk=1,auto repair shop,Hale County,county,AL,2026-07-21T15:27:47,0x840d1bce368ea575:0xf1c6a66c033fa74
Barnett Mobile Auto Solutions LLC.,(334) 218-3506,http://rodsroadsideservice.com/,,,,,AL,,4.4,13,Car battery store,,,https://www.google.com/maps/place/Barnett+Mobile+Auto+Solutions+LLC./data=!4m7!3m6!1s0x9d47efc81e362ad:0x9304d2b87fa142b0!8m2!3d32.6410545!4d-85.376016!16s%2Fg%2F11pz880hrd!19sChIJrWLjgfx-1AkRsEKhf7jSBJM?authuser=0&hl=en&rclk=1,auto repair shop,Lee County,county,AL,2026-07-21T16:25:34,0x9d47efc81e362ad:0x9304d2b87fa142b0
