name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
"""Mars"" Mobile automotive repair specialists",(602) 686-5156,https://www.marsautomotiverepair.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10280451948622444735,,,,,AZ,,,,Mechanic,,,https://www.google.com/maps/place/%22Mars%22+Mobile+automotive+repair+specialists/data=!4m7!3m6!1s0x82c8f1dfcb0522fb:0x2084ea7868c99a99!8m2!3d33.5093255!4d-111.6673054!16s%2Fg%2F11zft6l3zw!19sChIJ-yIFy9_xyIIRmZrJaHjqhCA?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0x82c8f1dfcb0522fb:0x2084ea7868c99a99
A&E Mobile Repair,(928) 965-9269,http://aandemobilerepairllc.godaddysites.com/,,,,,AZ,,5.0,2,Car repair and maintenance service,,,https://www.google.com/maps/place/A%26E+Mobile+Repair/data=!4m7!3m6!1s0x86d7fd6c8263b089:0x4dda2e82cd2b9e46!8m2!3d32.7022645!4d-109.5727955!16s%2Fg%2F11jv97z8kc!19sChIJibBjgmz914YRRp4rzYIu2k0?authuser=0&hl=en&rclk=1,auto repair shop,Graham County,county,AZ,2026-07-22T06:11:02,0x86d7fd6c8263b089:0x4dda2e82cd2b9e46
AC 24hr Roadside repair LLC,(951) 575-8552,https://roadsideassistancekingman.com/,,,,,AZ,,5.0,52,Repair service,,,https://www.google.com/maps/place/AC+24hr+Roadside+repair+LLC/data=!4m7!3m6!1s0x80cddd132b360c8d:0x55c218159d98f872!8m2!3d36.6709239!4d-116.7617875!16s%2Fg%2F11y6bdw6bl!19sChIJjQw2KxPdzYARcviYnRUYwlU?authuser=0&hl=en&rclk=1,auto repair shop,Mohave County,county,AZ,2026-07-22T06:37:03,0x80cddd132b360c8d:0x55c218159d98f872
AZ 1 Mobile Auto Repair,(480) 393-9283,http://az1mobileautorepair.com/,,,,,AZ,,4.6,94,Mechanic,,,https://www.google.com/maps/place/AZ+1+Mobile+Auto+Repair/data=!4m7!3m6!1s0x872bb1338b2ed63f:0xa8e1ba31c1e91107!8m2!3d33.597887!4d-111.9004456!16s%2Fg%2F11kr63tggp!19sChIJP9YuizOxK4cRBxHpwTG64ag?authuser=0&hl=en&rclk=1,auto repair shop,Maricopa County,county,AZ,2026-07-22T06:28:32,0x872bb1338b2ed63f:0xa8e1ba31c1e91107
Active Glass And Auto Services,(840) 444-0178,,,,,,AZ,,5.0,20,Auto glass repair service,,,https://www.google.com/maps/place/Active+Glass+And+Auto+Services/data=!4m7!3m6!1s0x80ce77e7349139e7:0x65da6659f5956aeb!8m2!3d35.2710375!4d-114.2848095!16s%2Fg%2F11z5yw_5_3!19sChIJ5zmRNOd3zoAR62qV9Vlm2mU?authuser=0&hl=en&rclk=1,auto repair shop,Mohave County,county,AZ,2026-07-13T08:32:21,0x80ce77e7349139e7:0x65da6659f5956aeb
Alex's Auto Repair,(520) 466-5158,,,"Arizona City, AZ 85123, United States",,,AZ,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Alex%27s+Auto+Repair/data=!4m7!3m6!1s0x872a65003036ec8b:0x2d2503b52d08cc07!8m2!3d32.7553052!4d-111.6715086!16s%2Fg%2F11mkb8b0mm!19sChIJi-w2MABlKocRB8wILbUDJS0?authuser=0&hl=en&rclk=1,auto repair shop,Pinal County,county,AZ,2026-07-13T08:54:20,0x872a65003036ec8b:0x2d2503b52d08cc07
AtoZ Mobile Mechanics,(520) 304-6078,http://www.atozmobilemechanic.com/,,"Casas Adobes, AZ 85741, United States",,,AZ,,3.8,100,Auto repair shop,,,https://www.google.com/maps/place/AtoZ+Mobile+Mechanics/data=!4m7!3m6!1s0x86d673898a53764b:0x1d5dfeaedb7a62b0!8m2!3d32.3508363!4d-111.0479315!16s%2Fg%2F1q5brmg23!19sChIJS3ZTiolz1oYRsGJ6267-XR0?authuser=0&hl=en&rclk=1,auto repair shop,Santa Cruz County,county,AZ,2026-07-22T07:04:58,0x86d673898a53764b:0x1d5dfeaedb7a62b0
Auto Kings Mobile Mechanics,(602) 580-6205,http://www.autokingsmobilemechanics.com/,,,,,AZ,,4.9,75,Mechanic,,,https://www.google.com/maps/place/Auto+Kings+Mobile+Mechanics/data=!4m7!3m6!1s0x6991ae1d7e19a9c3:0x29c44e4a9d69d275!8m2!3d33.358591!4d-111.779623!16s%2Fg%2F11kjzvnp3h!19sChIJw6kZfh2ukWkRddJpnUpOxCk?authuser=0&hl=en&rclk=1,auto repair shop,Gila County,county,AZ,2026-07-22T06:00:51,0x6991ae1d7e19a9c3:0x29c44e4a9d69d275
Auto Repair Angel - Mobile Auto Repair Service,(602) 919-8923,http://www.autorepairangel.com/,,"Gilbert, AZ 85297, United States",,,AZ,,3.6,93,Car repair and maintenance service,,,https://www.google.com/maps/place/Auto+Repair+Angel+-+Mobile+Auto+Repair+Service/data=!4m7!3m6!1s0x872bacebffffffff:0xdb5d832c41d0a423!8m2!3d33.2631553!4d-111.7206809!16s%2Fg%2F11b74nmgxw!19sChIJ_____-usK4cRI6TQQSyDXds?authuser=0&hl=en&rclk=1,auto repair shop,Gilbert,city,AZ,2026-07-22T07:53:37,0x872bacebffffffff:0xdb5d832c41d0a423
"BMF Garage, LLC",(602) 677-8910,http://www.bmfgarage.com/,,,,,AZ,,5.0,69,Mechanic,,,"https://www.google.com/maps/place/BMF+Garage,+LLC/data=!4m7!3m6!1s0x80d661a94a5ee4fd:0x52c9c6c9729f91f2!8m2!3d32.619915!4d-114.488572!16s%2Fg%2F11vkln23fp!19sChIJ_eReSqlh1oAR8pGfcsnGyVI?authuser=0&hl=en&rclk=1",auto repair shop,Yuma County,county,AZ,2026-07-13T09:19:47,0x80d661a94a5ee4fd:0x52c9c6c9729f91f2
