name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
156 Roadside Assistance,(650) 290-1949,https://156roadsideassistance.com/,,,,,CA,,5.0,1,Tire service,,,https://www.google.com/maps/place/156+Roadside+Assistance/data=!4m7!3m6!1s0x8e669afee2d12687:0x1743590fc31c5365!8m2!3d36.6225399!4d-121.211937!16s%2Fg%2F11z2y8t41z!19sChIJhybR4v6aZo4RZVMcww9ZQxc?authuser=0&hl=en&rclk=1,auto repair shop,San Benito County,county,CA,2026-07-22T12:19:04,0x8e669afee2d12687:0x1743590fc31c5365
A Mobile Mechanic,(530) 720-4530,https://amobilemechanic.org/,,,,,CA,,,,Mechanic,,,https://www.google.com/maps/place/A+Mobile+Mechanic/data=!4m7!3m6!1s0xc342a5d557e9ab1:0xd4517028a0041f12!8m2!3d40.198774!4d-122.114667!16s%2Fg%2F11nqxs7br8!19sChIJsZp-VV0qNAwREh8EoChwUdQ?authuser=0&hl=en&rclk=1,auto repair shop,Tehama County,county,CA,2026-07-22T14:06:13,0xc342a5d557e9ab1:0xd4517028a0041f12
Aaron's Automotive,(530) 777-0345,https://aaronsautomotive.repair/,,,,,CA,,5.0,20,Mechanic,,,https://www.google.com/maps/place/Aaron%27s+Automotive/data=!4m7!3m6!1s0x54d295c7961f3b45:0xc3028ea4e3b8b2fc!8m2!3d40.7351765!4d-122.194407!16s%2Fg%2F11zjplgcg2!19sChIJRTsflseV0lQR_LK446SOAsM?authuser=0&hl=en&rclk=1,auto repair shop,Shasta County,county,CA,2026-07-22T13:19:06,0x54d295c7961f3b45:0xc3028ea4e3b8b2fc
Accurate Automotive Services,(408) 771-4773,https://www.accurateauto.co/,,,,,CA,,,,Auto glass repair service,,,https://www.google.com/maps/place/Accurate+Automotive+Services/data=!4m7!3m6!1s0x26e894e86efeb7cf:0x7871c860305cd088!8m2!3d37.2122966!4d-121.7563774!16s%2Fg%2F11mrxpks3y!19sChIJz7f-buiU6CYRiNBcMGDIcXg?authuser=0&hl=en&rclk=1,auto repair shop,San Benito County,county,CA,2026-07-22T12:19:04,0x26e894e86efeb7cf:0x7871c860305cd088
Advanced Dent Repair,(831) 636-3366,http://www.advanceddentrepair.com/,,,,,CA,,5.0,15,Auto dent removal service,,,https://www.google.com/maps/place/Advanced+Dent+Repair/data=!4m7!3m6!1s0x80921d9aeba08145:0xe197089a38e9f98c!8m2!3d36.7414514!4d-121.457122!16s%2Fg%2F1tgnxgc3!19sChIJRYGg65odkoARjPnpOJoIl-E?authuser=0&hl=en&rclk=1,auto repair shop,San Benito County,county,CA,2026-07-22T12:19:04,0x80921d9aeba08145:0xe197089a38e9f98c
All Auto Custom's: Detailing-Maintenance-Installation,(707) 234-9597,https://www.all-autocustoms.com/,,,,,CA,,5.0,12,Car detailing service,,,https://www.google.com/maps/place/All+Auto+Custom%27s:+Detailing-Maintenance-Installation/data=!4m7!3m6!1s0x9a872b0cff73ee1:0x34768ef52af5e52d!8m2!3d38.83779!4d-122.7096674!16s%2Fg%2F11mly3rblb!19sChIJ4T73z7ByqAkRLeX1KvWOdjQ?authuser=0&hl=en&rclk=1,auto repair shop,Mendocino County,county,CA,2026-07-14T08:45:07,0x9a872b0cff73ee1:0x34768ef52af5e52d
Allan Wrenches Mobile Semi Truck & Auto Mechanic Repair,(530) 840-3284,https://www.allanwrenchesmobileservices.com/,,,,,CA,,5.0,36,Mechanic,,,https://www.google.com/maps/place/Allan+Wrenches+Mobile+Semi+Truck+%26+Auto+Mechanic+Repair/data=!4m7!3m6!1s0x4b3f447a3a854e57:0x3b684e5985260290!8m2!3d38.898041!4d-120.0651799!16s%2Fg%2F11wn_vm2sj!19sChIJV06FOnpEP0sRkAImhVlOaDs?authuser=0&hl=en&rclk=1,auto repair shop,Glenn County,county,CA,2026-07-22T09:16:15,0x4b3f447a3a854e57:0x3b684e5985260290
Amador Automotive,(209) 295-3300,https://www.amadorautomotive.com/,,"Pioneer, CA 95666, United States",,,CA,,3.3,23,Auto repair shop,,,https://www.google.com/maps/place/Amador+Automotive/data=!4m7!3m6!1s0x809a7307a820c0c5:0x980bbfa265fabe5e!8m2!3d38.4170599!4d-120.6084245!16s%2Fg%2F11sq_29g68!19sChIJxcAgqAdzmoARXr76ZaK_C5g?authuser=0&hl=en&rclk=1,auto repair shop,Amador County,county,CA,2026-07-22T08:28:05,0x809a7307a820c0c5:0x980bbfa265fabe5e
Automotive Mobile Garage LLC,(530) 313-3456,,,"Shingle Springs, CA 95682, United States",,,CA,,5.0,8,Auto repair shop,,,https://www.google.com/maps/place/Automotive+Mobile+Garage+LLC/data=!4m7!3m6!1s0x809af74996c4b77b:0xfc0b9ba46a956fcd!8m2!3d38.6691362!4d-120.9359987!16s%2Fg%2F11vcbplhlb!19sChIJe7fElkn3moARzW-VaqSbC_w?authuser=0&hl=en&rclk=1,auto repair shop,El Dorado County,county,CA,2026-07-14T06:58:26,0x809af74996c4b77b:0xfc0b9ba46a956fcd
Back Country Mobile Repair,(530) 515-7947,,,,,,CA,,5.0,3,Oil change service,,,https://www.google.com/maps/place/Back+Country+Mobile+Repair/data=!4m7!3m6!1s0x2f0b96575519d78b:0xace615c583b95588!8m2!3d38.0717865!4d-120.095841!16s%2Fg%2F11z5jhnx24!19sChIJi9cZVVeWCy8RiFW5g8UV5qw?authuser=0&hl=en&rclk=1,auto repair shop,Tuolumne County,county,CA,2026-07-22T14:29:55,0x2f0b96575519d78b:0xace615c583b95588
Bishop RV Repair,(760) 937-3770,https://bishoprvrepair.com/,,,,,CA,,5.0,6,RV repair and maintenance service,,,https://www.google.com/maps/place/Bishop+RV+Repair/data=!4m7!3m6!1s0x4c6e512105b4b6c1:0x4ad5ea1af546cdaf!8m2!3d37.596314!4d-118.7540801!16s%2Fg%2F11zgddnf_w!19sChIJwba0BSFRbkwRr81G9Rrq1Uo?authuser=0&hl=en&rclk=1,auto repair shop,Inyo County,county,CA,2026-07-22T09:42:30,0x4c6e512105b4b6c1:0x4ad5ea1af546cdaf
Burton Mobile Brakes - Humboldt Mobile Mechanic,(707) 532-5749,,,,,,CA,,5.0,17,Mechanic,,,https://www.google.com/maps/place/Burton+Mobile+Brakes+-+Humboldt+Mobile+Mechanic/data=!4m7!3m6!1s0xa6f7e5b20d3d73c1:0xeca5ffe95eb19c59!8m2!3d40.811736!4d-124.128523!16s%2Fg%2F11mf4vl36p!19sChIJwXM9DbLl96YRWZyxXun_pew?authuser=0&hl=en&rclk=1,auto repair shop,Humboldt County,county,CA,2026-07-22T09:24:19,0xa6f7e5b20d3d73c1:0xeca5ffe95eb19c59
C&R’s Mobile Mechanic Auto and Diesel,(559) 837-3015,http://crmobileservice.com/,,,,,CA,,4.9,75,Mechanic,,,https://www.google.com/maps/place/C%26R%E2%80%99s+Mobile+Mechanic+Auto+and+Diesel/data=!4m7!3m6!1s0x3a1821417ec0e3:0xd62f9c04288d1c5!8m2!3d36.3502356!4d-118.957579!16s%2Fg%2F11vx6s_s_b!19sChIJ48B-QSEYOgARxdGIQsD5Yg0?authuser=0&hl=en&rclk=1,auto repair shop,Tulare County,county,CA,2026-07-22T14:21:06,0x3a1821417ec0e3:0xd62f9c04288d1c5
Dryft Detailing & Window Tint LLC,(831) 673-1761,https://app.urable.com/virtual-shop/TEKstKSYk7DhPZYQdKiy,,,,,CA,,4.9,57,Boat detailing service,,,https://www.google.com/maps/place/Dryft+Detailing+%26+Window+Tint+LLC/data=!4m7!3m6!1s0x8cba8d621daa0e9b:0x2189f2996b66d507!8m2!3d37.530574!4d-122.1145295!16s%2Fg%2F11ymzw2mpd!19sChIJmw6qHWKNuowRB9Vma5nyiSE?authuser=0&hl=en&rclk=1,auto repair shop,San Benito County,county,CA,2026-07-22T12:19:04,0x8cba8d621daa0e9b:0x2189f2996b66d507
First choice mobile mechanics and roadside service,(530) 561-9354,,,,,,CA,,4.2,10,Mechanic,,,https://www.google.com/maps/place/First+choice+mobile+mechanics+and+roadside+service/data=!4m7!3m6!1s0x54d2edbc623984bf:0xb1042597723cbf56!8m2!3d41.147439!4d-122.519575!16s%2Fg%2F11yxjkvj8m!19sChIJv4Q5Yrzt0lQRVr88cpclBLE?authuser=0&hl=en&rclk=1,auto repair shop,Siskiyou County,county,CA,2026-07-22T13:25:22,0x54d2edbc623984bf:0xb1042597723cbf56
Hohmann Auto Mobile Repair,(559) 352-3949,,,,,,CA,,4.7,12,Car repair and maintenance service,,,https://www.google.com/maps/place/Hohmann+Auto+Mobile+Repair/data=!4m7!3m6!1s0x8094c1e60c885ecf:0xe7f65d1d9807687a!8m2!3d35.8936535!4d-119.743979!16s%2Fg%2F11h2jwwg6g!19sChIJz16IDObBlIARemgHmB1d9uc?authuser=0&hl=en&rclk=1,auto repair shop,Kings County,county,CA,2026-07-22T10:01:14,0x8094c1e60c885ecf:0xe7f65d1d9807687a
Just In Time Mobile Mechanic,(530) 307-1936,,,,,,CA,,5.0,7,Mechanic,,,https://www.google.com/maps/place/Just+In+Time+Mobile+Mechanic/data=!4m7!3m6!1s0xd3107893b01fbd3:0x809d8d82ab815068!8m2!3d39.0908625!4d-119.9249499!16s%2Fg%2F11ycld767t!19sChIJ0_sBO4kHMQ0RaFCBq4KNnYA?authuser=0&hl=en&rclk=1,auto repair shop,Alpine County,county,CA,2026-07-22T08:23:29,0xd3107893b01fbd3:0x809d8d82ab815068
KC’s Automotive Sales and Services LLC,(530) 542-3277,http://kcsautos.com/,,,,,CA,,4.6,141,Mechanic,,,https://www.google.com/maps/place/KC%E2%80%99s+Automotive+Sales+and+Services+LLC/data=!4m7!3m6!1s0x80998facc44e0bb1:0xa0f835381b960bfc!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F12634xjyg!19sChIJsQtOxKyPmYAR_AuWGzg1-KA?authuser=0&hl=en&rclk=1,auto repair shop,Alpine County,county,CA,2026-07-22T08:23:29,0x80998facc44e0bb1:0xa0f835381b960bfc
Kailen’s Mobile Auto Service,(209) 890-9179,,,,,,CA,,5.0,2,Oil change service,,,https://www.google.com/maps/place/Kailen%E2%80%99s+Mobile+Auto+Service/data=!4m7!3m6!1s0x85177ff2a6981f73:0x9a1d26f2b2c46f8!8m2!3d38.0717865!4d-120.095841!16s%2Fg%2F11vddf14nw!19sChIJcx-YpvJ_F4UR-EYsK2_SoQk?authuser=0&hl=en&rclk=1,auto repair shop,Tuolumne County,county,CA,2026-07-22T14:29:55,0x85177ff2a6981f73:0x9a1d26f2b2c46f8
Lavy's Mobile Auto Repair,(530) 413-7654,https://lavysmobileautorepair.blogspot.com/p/welcome.html?m=1,,,,,CA,,5.0,58,Repair service,,,https://www.google.com/maps/place/Lavy%27s+Mobile+Auto+Repair/data=!4m7!3m6!1s0x809cb5136c647a7d:0x4b25a162f1629a7f!8m2!3d39.298169!4d-121.460847!16s%2Fg%2F11w4w9dmyb!19sChIJfXpkbBO1nIARf5pi8WKhJUs?authuser=0&hl=en&rclk=1,auto repair shop,Plumas County,county,CA,2026-07-22T12:01:54,0x809cb5136c647a7d:0x4b25a162f1629a7f
Leber's Mobile Auto Repair Services,(916) 985-7448,,,"Folsom, CA 95763, United States",,,CA,,3.9,11,Auto repair shop,,,https://www.google.com/maps/place/Leber%27s+Mobile+Auto+Repair+Services/data=!4m7!3m6!1s0x809ae152fb5ee417:0x36cb7e5b2b7e11d!8m2!3d38.68!4d-121.18!16s%2Fg%2F1tfvzdf5!19sChIJF-Re-1LhmoARHeG3suW3bAM?authuser=0&hl=en&rclk=1,auto repair shop,El Dorado County,county,CA,2026-07-14T06:58:26,0x809ae152fb5ee417:0x36cb7e5b2b7e11d
Liams Mobile Auto Repair,(831) 201-8676,,,,,,CA,,5.0,13,Mechanic,,,https://www.google.com/maps/place/Liams+Mobile+Auto+Repair/data=!4m7!3m6!1s0x6e5ad4fa95e18741:0x6745340e6a3d5195!8m2!3d40.828233!4d-124.097959!16s%2Fg%2F11nbngrdsp!19sChIJQYfhlfrUWm4RlVE9ag40RWc?authuser=0&hl=en&rclk=1,auto repair shop,Humboldt County,county,CA,2026-07-22T09:24:19,0x6e5ad4fa95e18741:0x6745340e6a3d5195
