name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Good Year Tire & Service,(203) 754-0113,https://www.goodyear.com/en-US/tire-shop/Waterbury+CT+06702+US/000171127,,"Waterbury, CT 06702, United States",,,CT,,4.0,13,Tire shop,,,https://www.google.com/maps/place/Good+Year+Tire+%26+Service/data=!4m7!3m6!1s0x89e7c04d71044861:0xb707efbac2c0b4a7!8m2!3d41.5608376!4d-73.0530724!16s%2Fg%2F11gmxbfml_!19sChIJYUgEcU3A54kRp7TAwrrvB7c?authuser=0&hl=en&rclk=1,auto repair shop,Waterbury,city,CT,2026-07-15T06:33:57,0x89e7c04d71044861:0xb707efbac2c0b4a7
Dubois Automotive,(860) 742-5848,http://www.duboisautomotive.com/,,"343 US-6, Andover, CT 06232, United States",343 US-6,Andover,CT,06232,4.1,51,Auto repair shop,,,https://www.google.com/maps/place/Dubois+Automotive/data=!4m7!3m6!1s0x89e65eea3c4eaaab:0xf581c53be98504e4!8m2!3d41.7400138!4d-72.3757155!16s%2Fg%2F11g72g67mm!19sChIJq6pOPOpe5okR5ASF6TvFgfU?authuser=0&hl=en&rclk=1,auto repair shop,Tolland County,county,CT,2026-07-23T00:39:10,0x89e65eea3c4eaaab:0xf581c53be98504e4
Hoffman Enterprise LLC,(860) 941-6379,,,"44 Bushnell Hollow Rd, Baltic, CT 06330, United States",44 Bushnell Hollow Rd,Baltic,CT,06330,4.8,41,Towing service,,,https://www.google.com/maps/place/Hoffman+Enterprise+LLC/data=!4m7!3m6!1s0x89e67bde20d69597:0xb65af46eb149af7!8m2!3d41.6149763!4d-72.0709734!16s%2Fg%2F11kp9nr3qp!19sChIJl5XWIN575okR95oU60avZQs?authuser=0&hl=en&rclk=1,auto repair shop,Windham County,county,CT,2026-07-23T00:47:00,0x89e67bde20d69597:0xb65af46eb149af7
Tender Car Care,(860) 567-4140,http://tendercarcare.com/,,"12 Roosevelt Ave, Bantam, CT 06750, United States",12 Roosevelt Ave,Bantam,CT,06750,4.7,40,Auto repair shop,,,https://www.google.com/maps/place/Tender+Car+Care/data=!4m7!3m6!1s0x89e79198d099be5b:0x43096ebcbe227fa6!8m2!3d41.7204134!4d-73.2352367!16s%2Fg%2F1tf2534v!19sChIJW76Z0JiR54kRpn8ivrxuCUM?authuser=0&hl=en&rclk=1,auto repair shop,Litchfield County,county,CT,2026-07-23T00:06:08,0x89e79198d099be5b:0x43096ebcbe227fa6
The Quiet Zone of Bantam,(860) 567-3380,https://www.quietzonect.com/bantam-services,,"738 Bantam Rd, Bantam, CT 06750, United States",738 Bantam Rd,Bantam,CT,06750,4.7,185,Auto repair shop,,,https://www.google.com/maps/place/The+Quiet+Zone+of+Bantam/data=!4m7!3m6!1s0x89e7be054867ae27:0x17a888022843c96!8m2!3d41.7252834!4d-73.23442!16s%2Fg%2F1tf03hw1!19sChIJJ65nSAW-54kRljyEIoCIegE?authuser=0&hl=en&rclk=1,auto repair shop,Litchfield County,county,CT,2026-07-23T00:06:08,0x89e7be054867ae27:0x17a888022843c96
Mechanical Advantage,(860) 738-1480,,,"404 New Hartford Rd, Barkhamsted, CT 06063, United States",404 New Hartford Rd,Barkhamsted,CT,06063,4.5,44,Auto repair shop,,,https://www.google.com/maps/place/Mechanical+Advantage/data=!4m7!3m6!1s0x89e70a80dca992e7:0x48c8dd76581b2e82!8m2!3d41.9095023!4d-73.0459928!16s%2Fg%2F1th1drjy!19sChIJ55Kp3IAK54kRgi4bWHbdyEg?authuser=0&hl=en&rclk=1,auto repair shop,Litchfield County,county,CT,2026-07-23T00:06:08,0x89e70a80dca992e7:0x48c8dd76581b2e82
Lakeview Auto,(860) 829-1779,https://lakeviewautoberlin.com/,,"2684 Berlin Tpke, Berlin, CT 06037, United States",2684 Berlin Tpke,Berlin,CT,06037,4.6,24,Auto body shop,,,https://www.google.com/maps/place/Lakeview+Auto/data=!4m7!3m6!1s0x89e7b5a4f98c129b:0xe0c71749f27cc39d!8m2!3d41.5811663!4d-72.7660135!16s%2Fg%2F1v4pv0pp!19sChIJmxKM-aS154kRncN88kkXx-A?authuser=0&hl=en&rclk=1,auto repair shop,Middlesex County,county,CT,2026-07-23T00:13:31,0x89e7b5a4f98c129b:0xe0c71749f27cc39d
RPM Automotive Repairs LLC,(475) 351-6120,http://www.rpmautoct.online/,,"33 Old Amity Rd Unit A, Bethany, CT 06524, United States",33 Old Amity Rd Unit A,Bethany,CT,06524,4.9,61,Auto repair shop,,,https://www.google.com/maps/place/RPM+Automotive+Repairs+LLC/data=!4m7!3m6!1s0x89e7ddd68523a097:0x97e6956116e2123c!8m2!3d41.4009589!4d-73.000539!16s%2Fg%2F11v604thjj!19sChIJl6Ajhdbd54kRPBLiFmGV5pc?authuser=0&hl=en&rclk=1,auto repair shop,New Haven County,county,CT,2026-07-23T00:21:52,0x89e7ddd68523a097:0x97e6956116e2123c
British Motors-Fairfield County,(203) 866-9307,,,"149 Grassy Plain St Ste B2, Bethel, CT 06801, United States",149 Grassy Plain St Ste B2,Bethel,CT,06801,4.6,10,Auto repair shop,,,https://www.google.com/maps/place/British+Motors-Fairfield+County/data=!4m7!3m6!1s0x89e81e82626a64c9:0x68c8224ef1c977ef!8m2!3d41.363341!4d-73.422288!16s%2Fg%2F1tnjklxv!19sChIJyWRqYoIe6IkR73fJ8U4iyGg?authuser=0&hl=en&rclk=1,auto repair shop,Fairfield County,county,CT,2026-07-14T21:02:23,0x89e81e82626a64c9:0x68c8224ef1c977ef
Bear Auto Performance,(860) 309-6339,https://www.bearautoperformance.com/,,"277 Magnolia Hill Rd, Bethlehem, CT 06751, United States",277 Magnolia Hill Rd,Bethlehem,CT,06751,5.0,55,Auto repair shop,,,https://www.google.com/maps/place/Bear+Auto+Performance/data=!4m7!3m6!1s0x89e7958f9cfce271:0x6beddcb351ca9d6c!8m2!3d41.6362624!4d-73.1721373!16s%2Fg%2F11fnc2dlcj!19sChIJceL8nI-V54kRbJ3KUbPc7Ws?authuser=0&hl=en&rclk=1,auto repair shop,Litchfield County,county,CT,2026-07-23T00:06:07,0x89e7958f9cfce271:0x6beddcb351ca9d6c
