name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
AMMO Automotive & Recovery LLC,(302) 312-1101,https://www.ammoar.com/,,,,,DE,,4.7,15,Car repair and maintenance service,,,https://www.google.com/maps/place/AMMO+Automotive+%26+Recovery+LLC/data=!4m7!3m6!1s0x69cb3196f722a289:0x6737a2ccc3ac87cd!8m2!3d39.2057054!4d-75.8012036!16s%2Fg%2F11y6kggy4n!19sChIJiaIi95Yxy2kRzYesw8yiN2c?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x69cb3196f722a289:0x6737a2ccc3ac87cd
Delaware Auto Keys,(302) 752-5229,https://www.delawareautokeys.com/,,,,,DE,,4.9,453,Key duplication service,,,https://www.google.com/maps/place/Delaware+Auto+Keys/data=!4m7!3m6!1s0x89b88597633fd6cd:0x8d2d3dfe5ebbd826!8m2!3d38.8630605!4d-77.235908!16s%2Fg%2F1hc1rxgkr!19sChIJzdY_Y5eFuIkRJti7Xv49LY0?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89b88597633fd6cd:0x8d2d3dfe5ebbd826
Dover AFB Auto Hobby Shop,(302) 677-3249,https://www.doverfss.com/auto-hobby,,"Dover, DE 19901, United States",,,DE,,4.6,16,Auto repair shop,,,https://www.google.com/maps/place/Dover+AFB+Auto+Hobby+Shop/data=!4m7!3m6!1s0x89c763adc56aae47:0x98f325b04ab07748!8m2!3d39.1267416!4d-75.4855588!16s%2Fg%2F11gmwmk84r!19sChIJR65qxa1jx4kRSHewSrAl85g?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89c763adc56aae47:0x98f325b04ab07748
Dre's home and auto repair,(302) 612-6728,,,,,,DE,,4.4,8,Repair service,,,https://www.google.com/maps/place/Dre%27s+home+and+auto+repair/data=!4m7!3m6!1s0x89c77b39df1d001d:0xa73bf18b588412f!8m2!3d38.8630605!4d-77.235908!16s%2Fg%2F11jm12fbph!19sChIJHQAd3zl7x4kRL0GItRi_cwo?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89c77b39df1d001d:0xa73bf18b588412f
Ruggiers Auto Repair LLC,(302) 505-0538,,,,,,DE,,5.0,23,Mechanic,,,https://www.google.com/maps/place/Ruggiers+Auto+Repair+LLC/data=!4m7!3m6!1s0x89b89905e5fff233:0x5f0f1770d2209854!8m2!3d40.2003813!4d-77.2024542!16s%2Fg%2F11ygx2j_j2!19sChIJM_L_5QWZuIkRVJgg0nAXD18?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89b89905e5fff233:0x5f0f1770d2209854
Trentec Automotive,(302) 268-4994,,,"Newark, DE 19711, United States",,,DE,,4.7,42,Auto repair shop,,,https://www.google.com/maps/place/Trentec+Automotive/data=!4m7!3m6!1s0x89c700a08e219553:0x617c5850245fa08a!8m2!3d39.6828114!4d-75.7077524!16s%2Fg%2F11g9d6bslc!19sChIJU5UhjqAAx4kRiqBfJFBYfGE?authuser=0&hl=en&rclk=1,auto repair shop,Newark,city,DE,2026-07-23T02:45:38,0x89c700a08e219553:0x617c5850245fa08a
Vital Repairs,(302) 572-4630,https://www.vitalsrepair.com/,,,,,DE,,5.0,27,Mechanic,,,https://www.google.com/maps/place/Vital+Repairs/data=!4m7!3m6!1s0x89c76599e675906b:0x7e670dc6347673fe!8m2!3d39.145324!4d-75.386594!16s%2Fg%2F11x95y5vv6!19sChIJa5B15pllx4kR_nN2NMYNZ34?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x89c76599e675906b:0x7e670dc6347673fe
Wrench On The Go,(434) 321-3685,https://www.wrenchonthego.com/,,,,,DE,,4.9,135,Car repair and maintenance service,,,https://www.google.com/maps/place/Wrench+On+The+Go/data=!4m7!3m6!1s0x4354718e9d0f6c2d:0xa182771b7af26cac!8m2!3d39.049962!4d-75.613326!16s%2Fg%2F11vbs1nf1m!19sChIJLWwPnY5xVEMRrGzyeht3gqE?authuser=0&hl=en&rclk=1,auto repair shop,Kent County,county,DE,2026-07-23T02:02:36,0x4354718e9d0f6c2d:0xa182771b7af26cac
ASAP Automotive,(302) 328-1550,http://asapatt.com/,,"807 Pulaski Hwy #3, Bear, DE 19701, United States",807 Pulaski Hwy #3,Bear,DE,19701,4.9,582,Auto repair shop,,,https://www.google.com/maps/place/ASAP+Automotive/data=!4m7!3m6!1s0x89c706c0b9536b93:0x76f5b146af8a5b8d!8m2!3d39.6419277!4d-75.6453924!16s%2Fg%2F1tk1z_tr!19sChIJk2tTucAGx4kRjVuKr0ax9XY?authuser=0&hl=en&rclk=1,auto repair shop,New Castle County,county,DE,2026-07-23T02:12:24,0x89c706c0b9536b93:0x76f5b146af8a5b8d
Fairwinds Automotive,(302) 322-5296,http://www.fairwindsautomotive.com/,,"814 Pulaski Hwy, Bear, DE 19701, United States",814 Pulaski Hwy,Bear,DE,19701,4.6,47,Auto repair shop,,,https://www.google.com/maps/place/Fairwinds+Automotive/data=!4m7!3m6!1s0x89c706c055a87141:0x5e579c8e42c964e9!8m2!3d39.6407443!4d-75.6456169!16s%2Fg%2F1tknldlr!19sChIJQXGoVcAGx4kR6WTJQo6cV14?authuser=0&hl=en&rclk=1,auto repair shop,New Castle County,county,DE,2026-07-23T02:12:24,0x89c706c055a87141:0x5e579c8e42c964e9
Fox Run Auto,(302) 834-1200,https://www.foxrunauto.com/,,"610 Connor Blvd, Bear, DE 19701, United States",610 Connor Blvd,Bear,DE,19701,4.7,1661,Auto repair shop,,,https://www.google.com/maps/place/Fox+Run+Auto/data=!4m7!3m6!1s0x89c7078c2f0c9739:0xee2602e3042e6c!8m2!3d39.6095503!4d-75.7052632!16s%2Fg%2F1v42grzc!19sChIJOZcML4wHx4kRbC4E4wIm7gA?authuser=0&hl=en&rclk=1,auto repair shop,Newark,city,DE,2026-07-23T02:45:38,0x89c7078c2f0c9739:0xee2602e3042e6c
Integrity Auto Repair,(302) 836-4016,http://www.integrityfixed.com/,,"463 County Rd, Bear, DE 19701, United States",463 County Rd,Bear,DE,19701,4.8,165,Auto repair shop,,,https://www.google.com/maps/place/Integrity+Auto+Repair/data=!4m7!3m6!1s0x89c707c530ee3195:0xa1704ecb104fe215!8m2!3d39.5925979!4d-75.6805953!16s%2Fg%2F11b5yl3lq8!19sChIJlTHuMMUHx4kRFeJPEMtOcKE?authuser=0&hl=en&rclk=1,auto repair shop,New Castle County,county,DE,2026-07-23T02:12:24,0x89c707c530ee3195:0xa1704ecb104fe215
Kikes auto repair,(302) 584-6915,http://kikes-auto-repair-bear.poi.place/,,"3310 Wrangle Hill Rd, Bear, DE 19701, United States",3310 Wrangle Hill Rd,Bear,DE,19701,4.4,114,Auto repair shop,,,https://www.google.com/maps/place/Kikes+auto+repair/data=!4m7!3m6!1s0x89c707e70b5016fd:0x5deb5faa89df4568!8m2!3d39.5902519!4d-75.6920471!16s%2Fg%2F11btrqwyqt!19sChIJ_RZQC-cHx4kRaEXfiapf610?authuser=0&hl=en&rclk=1,auto repair shop,Newark,city,DE,2026-07-23T02:45:38,0x89c707e70b5016fd:0x5deb5faa89df4568
Latinos Auto Repair,(856) 625-7616,,,"3310 Wrangle Hill Rd, Bear, DE 19701, United States",3310 Wrangle Hill Rd,Bear,DE,19701,4.8,40,Auto repair shop,,,https://www.google.com/maps/place/Latinos+Auto+Repair/data=!4m7!3m6!1s0x89c707e773f9c85d:0x36d70119cc402bf6!8m2!3d39.590144!4d-75.692078!16s%2Fg%2F11c5hydmv5!19sChIJXcj5c-cHx4kR9itAzBkB1zY?authuser=0&hl=en&rclk=1,auto repair shop,New Castle County,county,DE,2026-07-23T02:12:24,0x89c707e773f9c85d:0x36d70119cc402bf6
US GOLD AUTO REPAIR LLC,(302) 357-2712,,,"3310 Wrangle Hill Rd #113, Bear, DE 19701, United States",3310 Wrangle Hill Rd #113,Bear,DE,19701,4.9,62,Auto repair shop,,,https://www.google.com/maps/place/US+GOLD+AUTO+REPAIR+LLC/data=!4m7!3m6!1s0x89c7074c5af8e3a7:0x57454d3c60659df7!8m2!3d39.590142!4d-75.691755!16s%2Fg%2F11rfb_g2j7!19sChIJp-P4WkwHx4kR951lYDxNRVc?authuser=0&hl=en&rclk=1,auto repair shop,New Castle County,county,DE,2026-07-23T02:12:24,0x89c7074c5af8e3a7:0x57454d3c60659df7
ATLANTIC AUTO REPAIR OF BETHANY BEACH,(302) 539-7352,http://www.atlanticautobethany.com/,,"790 Garfield Pkwy, Bethany Beach, DE 19930, United States",790 Garfield Pkwy,Bethany Beach,DE,19930,4.8,33,Auto repair shop,,,https://www.google.com/maps/place/ATLANTIC+AUTO+REPAIR+OF+BETHANY+BEACH/data=!4m7!3m6!1s0x89b8ce0dfc700001:0x76b2a10d1f22062c!8m2!3d38.5400878!4d-75.0723119!16s%2Fg%2F11kjzr8930!19sChIJAQBw_A3OuIkRLAYiHw2hsnY?authuser=0&hl=en&rclk=1,auto repair shop,Sussex County,county,DE,2026-07-23T02:22:51,0x89b8ce0dfc700001:0x76b2a10d1f22062c
Affordable Auto Repair 2597 Dublin Hill Rd Bridgeville De 19933,(410) 739-2034,,,"2597 Dublin Hill Rd, Bridgeville, DE 19933, United States",2597 Dublin Hill Rd,Bridgeville,DE,19933,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Affordable+Auto+Repair+2597+Dublin+Hill+Rd+Bridgeville+De+19933/data=!4m7!3m6!1s0x89b8f5fdc1343497:0x40ec686b503e97a4!8m2!3d38.7423088!4d-75.7014275!16s%2Fg%2F11j4ph1mw2!19sChIJlzQ0wf31uIkRpJc-UGto7EA?authuser=0&hl=en&rclk=1,auto repair shop,Sussex County,county,DE,2026-07-15T07:24:48,0x89b8f5fdc1343497:0x40ec686b503e97a4
