name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Ali Tire & Auto,(334) 232-4196,,,"1655 S Eufaula Ave, Eufaula, AL 36027, United States",1655 S Eufaula Ave,Eufaula,AL,36027,4.7,13,Tire shop,,,https://www.google.com/maps/place/Ali+Tire+%26+Auto/data=!4m7!3m6!1s0x888d47cafc5a0e7b:0x90c2ec0ad628e24a!8m2!3d31.871992!4d-85.1545852!16s%2Fg%2F11ykxxw65h!19sChIJew5a_MpHjYgRSuIo1grswpA?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-16T05:51:32,0x888d47cafc5a0e7b:0x90c2ec0ad628e24a
Billy Lawrence Chevrolet Service,(334) 370-0852,http://www.billylawrencechevrolet.com/,,"3220 S Eufaula Ave, Eufaula, AL 36027, United States",3220 S Eufaula Ave,Eufaula,AL,36027,4.3,16,Auto repair shop,,,https://www.google.com/maps/place/Billy+Lawrence+Chevrolet+Service/data=!4m7!3m6!1s0x888d46e840de0bfd:0x8b8057138fa51546!8m2!3d31.8412746!4d-85.1678239!16s%2Fg%2F11b6sssgwc!19sChIJ_QveQOhGjYgRRhWljxNXgIs?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-16T05:51:31,0x888d46e840de0bfd:0x8b8057138fa51546
Cox & Son Truck & Trailer Rpr,(334) 687-9440,,,"3917 S Eufaula Ave, Eufaula, AL 36027, United States",3917 S Eufaula Ave,Eufaula,AL,36027,4.2,23,Truck repair shop,,,https://www.google.com/maps/place/Cox+%26+Son+Truck+%26+Trailer+Rpr/data=!4m7!3m6!1s0x888d4415e339cc17:0x4a891c0296af9e6f!8m2!3d31.7966996!4d-85.1668669!16s%2Fg%2F1vhkl9t1!19sChIJF8w54xVEjYgRb56vlgIciUo?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-16T05:51:32,0x888d4415e339cc17:0x4a891c0296af9e6f
Impressive Collision Center,(334) 687-4400,https://www.facebook.com/pages/category/Local-Service/Impressive-collision-center-1716659541888678/,,"317 S Eufaula Ave, Eufaula, AL 36027, United States",317 S Eufaula Ave,Eufaula,AL,36027,4.8,206,Auto body shop,,,https://www.google.com/maps/place/Impressive+Collision+Center/data=!4m7!3m6!1s0x888d47834a1f3657:0x394fda762165825a!8m2!3d31.8896752!4d-85.1452986!16s%2Fg%2F1tgnmvsr!19sChIJVzYfSoNHjYgRWoJlIXbaTzk?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-16T05:51:31,0x888d47834a1f3657:0x394fda762165825a
JK’s Automotive,(334) 232-7373,,,"104 Triangle Ln, Eufaula, AL 36027, United States",104 Triangle Ln,Eufaula,AL,36027,4.4,7,Auto repair shop,,,https://www.google.com/maps/place/JK%E2%80%99s+Automotive/data=!4m7!3m6!1s0x888d4751bfe21d63:0x89ca54e976ef9909!8m2!3d31.8798149!4d-85.1486626!16s%2Fg%2F11ltw_t11n!19sChIJYx3iv1FHjYgRCZnvdulUyok?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-16T05:51:31,0x888d4751bfe21d63:0x89ca54e976ef9909
Rogers Auto Services,(334) 687-6010,https://www.facebook.com/pages/category/Automotive-Repair-Shop/Rogers-Auto-Service-1738688063110028/,,"432 S Randolph Ave, Eufaula, AL 36027, United States",432 S Randolph Ave,Eufaula,AL,36027,4.1,40,Auto body shop,,,https://www.google.com/maps/place/Rogers+Auto+Services/data=!4m7!3m6!1s0x888d479cec8c749d:0x62a10840e83bc62c!8m2!3d31.8875813!4d-85.1442815!16s%2Fg%2F1tf36qy4!19sChIJnXSM7JxHjYgRLMY76EAIoWI?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-24T00:04:06,0x888d479cec8c749d:0x62a10840e83bc62c
Vlad’s Automotive Services,(334) 316-5802,,,"305 E Barbour St, Eufaula, AL 36027, United States",305 E Barbour St,Eufaula,AL,36027,5.0,8,Auto repair shop,,,https://www.google.com/maps/place/Vlad%E2%80%99s+Automotive+Services/data=!4m7!3m6!1s0x888d478457c0b3e5:0x85a43e5cfec192e!8m2!3d31.8912341!4d-85.1416771!16s%2Fg%2F11sw6871wv!19sChIJ5bPAV4RHjYgRLhnsz-VDWgg?authuser=0&hl=en&rclk=1,auto repair shop,Quitman County,county,GA,2026-07-24T00:04:06,0x888d478457c0b3e5:0x85a43e5cfec192e
Wooten Garage & Transmission,(256) 632-6391,,,"924 AL-75, Flat Rock, AL 35966, United States",924 AL-75,Flat Rock,AL,35966,4.5,20,Auto repair shop,,,https://www.google.com/maps/place/Wooten+Garage+%26+Transmission/data=!4m7!3m6!1s0x88604ac74f722bb3:0xd6a00e743934964a!8m2!3d34.8120325!4d-85.5849485!16s%2Fg%2F1tm13b7k!19sChIJsytyT8dKYIgRSpY0OXQOoNY?authuser=0&hl=en&rclk=1,auto repair shop,Walker County,county,GA,2026-07-16T08:15:35,0x88604ac74f722bb3:0xd6a00e743934964a
Chavez Automotive Mobile Services,(334) 540-7072,https://www.facebook.com/share/1A4NgnjruD/?mibextid=wwXIfr,,"49 Wheatfield Dr, Fort Mitchell, AL 36856, United States",49 Wheatfield Dr,Fort Mitchell,AL,36856,5.0,5,Auto repair shop,,,https://www.google.com/maps/place/Chavez+Automotive+Mobile+Services/data=!4m7!3m6!1s0x888cd58ce6e402e7:0x2d11a899e730f892!8m2!3d32.2673713!4d-84.9727906!16s%2Fg%2F11y0sh1vlh!19sChIJ5wLk5ozVjIgRkvgw55moES0?authuser=0&hl=en&rclk=1,auto repair shop,Stewart County,county,GA,2026-07-24T00:39:38,0x888cd58ce6e402e7:0x2d11a899e730f892
Cooper Car Care LLC,(762) 822-0184,,,"12 Pine Valley Cir, Fort Mitchell, AL 36856, United States",12 Pine Valley Cir,Fort Mitchell,AL,36856,5.0,1,Mechanic,,,https://www.google.com/maps/place/Cooper+Car+Care+LLC/data=!4m7!3m6!1s0x888cd574ebd1d681:0x4da806001a28322e!8m2!3d32.262963!4d-84.9800293!16s%2Fg%2F11yfr5sdv9!19sChIJgdbR63TVjIgRLjIoGgAGqE0?authuser=0&hl=en&rclk=1,auto repair shop,Stewart County,county,GA,2026-07-24T00:39:38,0x888cd574ebd1d681:0x4da806001a28322e
