name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
A And S Services LLC,(808) 336-0747,https://aandsservices.llc/,,,,,HI,,,,Mechanic,,,https://www.google.com/maps/place/A+And+S+Services+LLC/data=!4m7!3m6!1s0x8c065ec5d0858eb:0x42bdae1d610092e8!8m2!3d21.1350214!4d-157.010147!16s%2Fg%2F11ybmffdzq!19sChIJ61gIXexlwAgR6JIAYR2uvUI?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-24T03:17:13,0x8c065ec5d0858eb:0x42bdae1d610092e8
Anywhere Mobile Repair,(808) 727-2636,,,,,,HI,,4.8,89,Car repair and maintenance service,,,https://www.google.com/maps/place/Anywhere+Mobile+Repair/data=!4m7!3m6!1s0x7954daa3fdd80ad9:0x621c58a0d8f58870!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11fylqkxrp!19sChIJ2QrY_aPaVHkRcIj12KBYHGI?authuser=0&hl=en&rclk=1,auto repair shop,Maui County,county,HI,2026-07-16T10:38:22,0x7954daa3fdd80ad9:0x621c58a0d8f58870
Cheap Tires,(808) 688-8001,,,"Aiea, HI 96701, United States",,,HI,,3.0,4,Used tire shop,,,https://www.google.com/maps/place/Cheap+Tires/data=!4m7!3m6!1s0x7c006f540d501c7f:0xd8b3c29e631d1358!8m2!3d21.3821139!4d-157.9471029!16s%2Fg%2F11g7rb4m9t!19sChIJfxxQDVRvAHwRWBMdY57Cs9g?authuser=0&hl=en&rclk=1,auto repair shop,Pearl City,city,HI,2026-07-24T02:52:32,0x7c006f540d501c7f:0xd8b3c29e631d1358
Cherry Mobile Auto Detailing,(808) 283-1980,http://www.cherrydetailed.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5531105755877953769,,,,,HI,,5.0,26,Car detailing service,,,https://www.google.com/maps/place/Cherry+Mobile+Auto+Detailing/data=!4m7!3m6!1s0x699f852d4170e6d3:0xfe13d3c6172b0d24!8m2!3d20.8029957!4d-156.3379827!16s%2Fg%2F11vq2kv7n4!19sChIJ0-ZwQS2Fn2kRJA0rF8bTE_4?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-16T10:14:37,0x699f852d4170e6d3:0xfe13d3c6172b0d24
Easy Roadside Assistance LLC,(808) 940-7151,http://easyroadside.carrd.co/,,,,,HI,,5.0,164,Towing service,,,https://www.google.com/maps/place/Easy+Roadside+Assistance+LLC/data=!4m7!3m6!1s0x7c006db2b4ec8033:0x84b108ff9c5afdc6!8m2!3d20.94277!4d-156.9579371!16s%2Fg%2F11kms22jlh!19sChIJM4DstLJtAHwRxv1anP8IsYQ?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-16T10:14:37,0x7c006db2b4ec8033:0x84b108ff9c5afdc6
Frog's Repair with Mobile Service,(808) 280-4201,http://frogsrepair.com/,,,,,HI,,4.0,12,Car repair and maintenance service,,,https://www.google.com/maps/place/Frog%27s+Repair+with+Mobile+Service/data=!4m7!3m6!1s0x7954d1b4926cc9e7:0x1e81159e2871eeb!8m2!3d20.7619155!4d-156.4560836!16s%2Fg%2F1tgx6tgz!19sChIJ58lskrTRVHkR6x6H4lkR6AE?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-24T03:17:13,0x7954d1b4926cc9e7:0x1e81159e2871eeb
Kaduce Mobile Mechanics,(808) 651-3152,,,,,,HI,,5.0,11,Car repair and maintenance service,,,https://www.google.com/maps/place/Kaduce+Mobile+Mechanics/data=!4m7!3m6!1s0x1e8844242bfed23:0xf625ab24e46f4c3f!8m2!3d31.7541625!4d-102.3196091!16s%2Fg%2F11nx0vmnmb!19sChIJI-2_QkKE6AERP0xv5CSrJfY?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-24T03:28:20,0x1e8844242bfed23:0xf625ab24e46f4c3f
Kauai Town Car,(808) 320-1620,http://kauaitowncar.com/,,,,,HI,,5.0,99,Chauffeur service,,,https://www.google.com/maps/place/Kauai+Town+Car/data=!4m7!3m6!1s0xaf7cc89c6de595ad:0xa860471296679ddf!8m2!3d22.0518381!4d-159.5401414!16s%2Fg%2F11s67bkt_5!19sChIJrZXlbZzIfK8R351nlhJHYKg?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-16T10:27:06,0xaf7cc89c6de595ad:0xa860471296679ddf
Local Boy Auto Repair,(808) 216-8969,http://autorepairoahu.com/,,,,,HI,,4.5,4,Car repair and maintenance service,,,https://www.google.com/maps/place/Local+Boy+Auto+Repair/data=!4m7!3m6!1s0x7c006b5eb65431b7:0xfbd06efbe968cc67!8m2!3d21.340232!4d-157.8010565!16s%2Fg%2F11h24ty2xb!19sChIJtzFUtl5rAHwRZ8xo6ftu0Ps?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-16T10:14:37,0x7c006b5eb65431b7:0xfbd06efbe968cc67
Maui Auto Cosmetics,(267) 566-3689,https://www.instagram.com/mauiautocosmetics/,,,,,HI,,5.0,6,Auto painting,,,https://www.google.com/maps/place/Maui+Auto+Cosmetics/data=!4m7!3m6!1s0x29a7c2866606ba81:0x417e94293ff088e2!8m2!3d20.8029957!4d-156.3379827!16s%2Fg%2F11w3bcj4wb!19sChIJgboGZobCpykR4ojwPymUfkE?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-16T10:14:37,0x29a7c2866606ba81:0x417e94293ff088e2
Mechanic Near Me LLC - Mobile Mechanic,(808) 793-9399,http://www.mechanicnearmellc.com/,,,,,HI,,4.9,67,Car repair and maintenance service,,,https://www.google.com/maps/place/Mechanic+Near+Me+LLC+-+Mobile+Mechanic/data=!4m7!3m6!1s0x66be5128710b17d3:0x68394b53941b82a6!8m2!3d20.8052056!4d-156.4752426!16s%2Fg%2F11s65gf486!19sChIJ0xcLcShRvmYRpoIblFNLOWg?authuser=0&hl=en&rclk=1,auto repair shop,Maui County,county,HI,2026-07-24T02:15:52,0x66be5128710b17d3:0x68394b53941b82a6
Mobile Mechanic Maui,(808) 868-8652,https://mobilemechanicmaui.com/,,,,,HI,,5.0,11,Mechanic,,,https://www.google.com/maps/place/Mobile+Mechanic+Maui/data=!4m7!3m6!1s0x62406603c025dec9:0x57e04ff0b61df22!8m2!3d20.8029957!4d-156.3379827!16s%2Fg%2F11vbl3r074!19sChIJyd4lwANmQGIRIt9hC_8EfgU?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-24T03:17:13,0x62406603c025dec9:0x57e04ff0b61df22
Nash Customs Hawaii,(808) 777-9834,http://nashcustom.com/,,"Pearl City, HI 96782, United States",,,HI,,5.0,18,Car detailing service,,,https://www.google.com/maps/place/Nash+Customs+Hawaii/data=!4m7!3m6!1s0xa794ca9e1ac62a93:0x8a4cd17513771014!8m2!3d21.3905466!4d-157.9709081!16s%2Fg%2F11l2fplh0p!19sChIJkyrGGp7KlKcRFBB3E3XRTIo?authuser=0&hl=en&rclk=1,auto repair shop,Pearl City,city,HI,2026-07-24T04:04:00,0xa794ca9e1ac62a93:0x8a4cd17513771014
"OHANA AUTO CARE, LLC",(808) 341-3783,,,,,,HI,,5.0,33,Car repair and maintenance service,,,"https://www.google.com/maps/place/OHANA+AUTO+CARE,+LLC/data=!4m4!3m3!1s0x7c0067192ceae20b:0x42023b5056fe48be!16s%2Fg%2F11h28bftnf!19sChIJC-LqLBlnAHwRvkj-VlA7AkI?authuser=0&hl=en&rclk=1",auto repair shop,Pearl City,city,HI,2026-07-16T11:11:16,0x7c0067192ceae20b:0x42023b5056fe48be
Pa'a Hana Towing & Hauling LLC,(808) 639-3061,http://www.kauaitowing.com/,,,,,HI,,4.6,20,Towing service,,,https://www.google.com/maps/place/Pa%27a+Hana+Towing+%26+Hauling+LLC/data=!4m7!3m6!1s0x7c0705ce8fa3db85:0xbe1ca1930660a147!8m2!3d21.9185494!4d-159.5230045!16s%2Fg%2F11lkbmsy5j!19sChIJhdujj84FB3wRR6FgBpOhHL4?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-16T10:27:06,0x7c0705ce8fa3db85:0xbe1ca1930660a147
Patrick's Automotive Mobile Repair,(808) 205-2345,http://patricksmobileautomotiverepair.com/,,"Haiku, HI 96708, United States",,,HI,,4.7,41,Mechanic,,,https://www.google.com/maps/place/Patrick%27s+Automotive+Mobile+Repair/data=!4m7!3m6!1s0x7954d3420301c695:0xc6fdccd3590fd722!8m2!3d20.914565!4d-156.323285!16s%2Fg%2F12626kgkj!19sChIJlcYBA0LTVHkRItcPWdPM_cY?authuser=0&hl=en&rclk=1,auto repair shop,Maui County,county,HI,2026-07-24T03:32:32,0x7954d3420301c695:0xc6fdccd3590fd722
Rent A Car Kauai,(808) 822-9272,http://www.rentacarkauai.com/,,,,,HI,,4.9,426,Car rental agency,,,https://www.google.com/maps/place/Rent+A+Car+Kauai/data=!4m7!3m6!1s0x7c06e1e1421330ed:0x4ec720d90a9ea793!8m2!3d45.152623!4d-129.7148225!16s%2Fg%2F11fpqcq0s8!19sChIJ7TATQuHhBnwRk6eeCtkgx04?authuser=0&hl=en&rclk=1,auto repair shop,Kauai County,county,HI,2026-07-16T10:27:06,0x7c06e1e1421330ed:0x4ec720d90a9ea793
Star Auto Glass Tinting,(808) 661-0404,,,"Lahaina, HI 96761, United States",,,HI,,5.0,1,Window tinting service,,,https://www.google.com/maps/place/Star+Auto+Glass+Tinting/data=!4m7!3m6!1s0x79552bbbf2c0e42d:0x24858beae1e7ad7!8m2!3d20.8783333!4d-156.6825!16s%2Fg%2F1v_z9366!19sChIJLeTA8rsrVXkR13oerr5YSAI?authuser=0&hl=en&rclk=1,auto repair shop,Kalawao County,county,HI,2026-07-16T10:14:37,0x79552bbbf2c0e42d:0x24858beae1e7ad7
