name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
"Audubon Diesel,Llc.",(712) 563-3737,,,"Audubon, IA 50025, United States",,,IA,,5.0,11,Auto repair shop,,,"https://www.google.com/maps/place/Audubon+Diesel,Llc./data=!4m7!3m6!1s0x87ecd0e4db25672d:0x764ff84f48681e8!8m2!3d41.7057823!4d-94.9279108!16s%2Fg%2F11s0z97s9b!19sChIJLWcl2-TQ7IcR6IGG9IT_ZAc?authuser=0&hl=en&rclk=1",auto repair shop,Audubon County,county,IA,2026-07-24T04:18:54,0x87ecd0e4db25672d:0x764ff84f48681e8
B&C Truck & Tire Repair,(712) 309-5392,https://bandctruckrepair.com/,,,,,IA,,4.7,23,Truck parts supplier,,,https://www.google.com/maps/place/B%26C+Truck+%26+Tire+Repair/data=!4m7!3m6!1s0x87951d5967cbb62b:0xb3092b460f6466bc!8m2!3d40.3305475!4d-95.2909665!16s%2Fg%2F11fd3_b0wk!19sChIJK7bLZ1kdlYcRvGZkD0YrCbM?authuser=0&hl=en&rclk=1,auto repair shop,Page County,county,IA,2026-07-17T07:49:27,0x87951d5967cbb62b:0xb3092b460f6466bc
BJ'S PERFORMANCE CENTER,(319) 372-8595,http://bjsperformance.com/,,"Fort Madison, IA 52627, United States",,,IA,,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/BJ%27S+PERFORMANCE+CENTER/data=!4m7!3m6!1s0x87e6d7d8a9dbbaa9:0x5db6286b5230cd72!8m2!3d40.6269481!4d-91.3417007!16s%2Fg%2F11wpnq4rd8!19sChIJqbrbqdjX5ocRcs0wUmsotl0?authuser=0&hl=en&rclk=1,auto repair shop,Lee County,county,IA,2026-07-24T07:08:36,0x87e6d7d8a9dbbaa9:0x5db6286b5230cd72
Cloyed Auto Repair LLC,(641) 295-0563,,,,,,IA,,5.0,3,Mechanic,,,https://www.google.com/maps/place/Cloyed+Auto+Repair+LLC/data=!4m7!3m6!1s0x41ae2faa24fd0f1b:0xf55c2a5075c3c3a0!8m2!3d41.225731!4d-92.4874669!16s%2Fg%2F11xrmml1lv!19sChIJGw_9JKovrkERoMPDdVAqXPU?authuser=0&hl=en&rclk=1,auto repair shop,Mahaska County,county,IA,2026-07-24T07:26:55,0x41ae2faa24fd0f1b:0xf55c2a5075c3c3a0
Emerson Automotive,(712) 824-7656,,,"Emerson, IA 51533, United States",,,IA,,4.2,5,Auto repair shop,,,https://www.google.com/maps/place/Emerson+Automotive/data=!4m7!3m6!1s0x8794987226ab2e8f:0xb66e1ea3b3345eeb!8m2!3d41.0180034!4d-95.4017423!16s%2Fg%2F1260ssbx9!19sChIJjy6rJnKYlIcR6140s6MebrY?authuser=0&hl=en&rclk=1,auto repair shop,Fremont County,county,IA,2026-07-24T07:17:12,0x8794987226ab2e8f:0xb66e1ea3b3345eeb
Full Throttle Mobile Auto Repair,(319) 431-0734,,,,,,IA,,4.4,25,Mechanic,,,https://www.google.com/maps/place/Full+Throttle+Mobile+Auto+Repair/data=!4m7!3m6!1s0x87e4f7575e9acb65:0xee912d7fa69c4c5f!8m2!3d41.9691256!4d-91.663896!16s%2Fg%2F11vzq6ylg7!19sChIJZcuaXlf35IcRX0ycpn8tke4?authuser=0&hl=en&rclk=1,auto repair shop,Linn County,county,IA,2026-07-16T17:52:24,0x87e4f7575e9acb65:0xee912d7fa69c4c5f
Gorden's Body Shop,(712) 364-2662,,,"Ida Grove, IA 51445, United States",,,IA,,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/Gorden%27s+Body+Shop/data=!4m7!3m6!1s0x87929eb46b9b4a4b:0x3ca9404ffa9d570f!8m2!3d42.3461711!4d-95.4610299!16s%2Fg%2F11gk8qtw2r!19sChIJS0qba7SekocRD1ed-k9AqTw?authuser=0&hl=en&rclk=1,auto repair shop,Ida County,county,IA,2026-07-24T07:54:34,0x87929eb46b9b4a4b:0x3ca9404ffa9d570f
Greyn's Automotive,(712) 541-3860,,,,,,IA,,5.0,6,Mechanic,,,https://www.google.com/maps/place/Greyn%27s+Automotive/data=!4m7!3m6!1s0x878c3920b1a7bf35:0xc38adb5a55dd08a9!8m2!3d43.2746685!4d-96.3542205!16s%2Fg%2F11ynfnbqlk!19sChIJNb-nsSA5jIcRqQjdVVrbisM?authuser=0&hl=en&rclk=1,auto repair shop,Sioux County,county,IA,2026-07-17T09:00:27,0x878c3920b1a7bf35:0xc38adb5a55dd08a9
Joe's Mobile Mechanics,(515) 661-0294,,,"Chariton, IA 50049, United States",,,IA,,3.8,13,Auto repair shop,,,https://www.google.com/maps/place/Joe%27s+Mobile+Mechanics/data=!4m7!3m6!1s0x87eeed7a38092887:0xbfe0392b208144af!8m2!3d41.0199996!4d-93.3140985!16s%2Fg%2F11w_n7j1d1!19sChIJhygJOHrt7ocRr0SBICs54L8?authuser=0&hl=en&rclk=1,auto repair shop,Lucas County,county,IA,2026-07-24T08:22:27,0x87eeed7a38092887:0xbfe0392b208144af
J’s Mobile Repair L.L.C.,(712) 899-1606,,,,,,IA,,4.8,18,Repair service,,,https://www.google.com/maps/place/J%E2%80%99s+Mobile+Repair+L.L.C./data=!4m7!3m6!1s0x87920f5b85fc7753:0x9271b22f9cb3808c!8m2!3d42.177638!4d-96.188874!16s%2Fg%2F11q3q83sp6!19sChIJU3f8hVsPkocRjICznC-ycZI?authuser=0&hl=en&rclk=1,auto repair shop,Monona County,county,IA,2026-07-24T08:44:06,0x87920f5b85fc7753:0x9271b22f9cb3808c
