name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
Shelby Auto Service,(205) 664-4727,https://www.shelbyautoservice.com/,,"1215 Shelby W Pkwy, Alabaster, AL 35007, United States",1215 Shelby W Pkwy,Alabaster,AL,35007,4.9,89,Auto repair shop,,,https://www.google.com/maps/place/Shelby+Auto+Service/data=!4m7!3m6!1s0x88892fa0ebe7bda9:0xeff876184268d872!8m2!3d33.1890604!4d-86.7858985!16s%2Fg%2F11k58c7fvf!19sChIJqb3n66AviYgRcthoQhh2-O8?authuser=0&hl=en&rclk=1,auto repair shop,Shelby County,county,IN,2026-07-28T01:23:06,0x88892fa0ebe7bda9:0xeff876184268d872
ASAP Auto Services And Parts,(256) 686-1330,,,"3309 Sexton Rd SE, Decatur, AL 35603, United States",3309 Sexton Rd SE,Decatur,AL,35603,4.6,75,Auto repair shop,,,https://www.google.com/maps/place/ASAP+Auto+Services+And+Parts/data=!4m7!3m6!1s0x886286e595f453a9:0x624279511a51ec01!8m2!3d34.5471445!4d-86.9775191!16s%2Fg%2F11cnq59_48!19sChIJqVP0leWGYogRAexRGlF5QmI?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,IN,2026-07-27T18:09:26,0x886286e595f453a9:0x624279511a51ec01
Precision Tune Auto Care,(256) 350-8400,http://www.precisiontune.com/DecaturAL,,"2334 6th Ave SE, Decatur, AL 35601, United States",2334 6th Ave SE,Decatur,AL,35601,4.5,398,Auto repair shop,,,https://www.google.com/maps/place/Precision+Tune+Auto+Care/data=!4m7!3m6!1s0x886286adf910fa3b:0xb24890af72dfc270!8m2!3d34.5647256!4d-86.9728589!16s%2Fg%2F1tppspwz!19sChIJO_oQ-a2GYogRcMLfcq-QSLI?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,IN,2026-07-27T18:09:26,0x886286adf910fa3b:0xb24890af72dfc270
Pro-Align Automotive - a Main Street Auto shop,(256) 371-5573,https://mainstreetauto.com/location/pro-align-automotive/,,"2610 Gordon Terry Pkwy, Decatur, AL 35601, United States",2610 Gordon Terry Pkwy,Decatur,AL,35601,4.7,320,Auto repair shop,,,https://www.google.com/maps/place/Pro-Align+Automotive+-+a+Main+Street+Auto+shop/data=!4m7!3m6!1s0x886284e13e2a7c09:0xec7bab5b303a66c7!8m2!3d34.6011659!4d-87.0388642!16s%2Fg%2F1th642z6!19sChIJCXwqPuGEYogRx2Y6MFure-w?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,IN,2026-07-27T18:09:26,0x886284e13e2a7c09:0xec7bab5b303a66c7
Pro-Tech Automotive,(256) 350-5040,,,"3025 Hwy 31 S, Decatur, AL 35603, United States",3025 Hwy 31 S,Decatur,AL,35603,4.4,204,Auto repair shop,,,https://www.google.com/maps/place/Pro-Tech+Automotive/data=!4m7!3m6!1s0x8862815049ea81cd:0x745537290828ccfd!8m2!3d34.5507902!4d-86.9742425!16s%2Fg%2F1v6p5092!19sChIJzYHqSVCBYogR_cwoCCk3VXQ?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,IN,2026-07-27T18:09:26,0x8862815049ea81cd:0x745537290828ccfd
Satterfields' Auto Tech Services,(256) 353-3414,,,"1946 Central Pkwy SW, Decatur, AL 35601, United States",1946 Central Pkwy SW,Decatur,AL,35601,4.3,71,Auto repair shop,,,https://www.google.com/maps/place/Satterfields%27+Auto+Tech+Services/data=!4m7!3m6!1s0x8862841db63ed8bb:0x17a122ecadf8c6c9!8m2!3d34.5752241!4d-86.9843244!16s%2Fg%2F1tnhz1fm!19sChIJu9g-th2EYogRycb4rewioRc?authuser=0&hl=en&rclk=1,auto repair shop,Decatur County,county,IN,2026-07-27T18:09:26,0x8862841db63ed8bb:0x17a122ecadf8c6c9
Morgan City Garage,(256) 498-2922,,,"519 Farm Supply Rd, Laceys Spring, AL 35754, United States",519 Farm Supply Rd,Laceys Spring,AL,35754,5.0,2,Auto repair shop,,,https://www.google.com/maps/place/Morgan+City+Garage/data=!4m7!3m6!1s0x8862753c73f4e25d:0x195c5b7fde6b927d!8m2!3d34.4898535!4d-86.5958449!16s%2Fg%2F1hc165rll!19sChIJXeL0czx1YogRfZJr3n9bXBk?authuser=0&hl=en&rclk=1,auto repair shop,Morgan County,county,IN,2026-07-27T23:03:34,0x8862753c73f4e25d:0x195c5b7fde6b927d
Crew Co Auto Repair,(334) 398-7173,https://www.crewco.co/,,"3300 Atlanta Hwy, Montgomery, AL 36109, United States",3300 Atlanta Hwy,Montgomery,AL,36109,4.9,57,Auto repair shop,,,https://www.google.com/maps/place/Crew+Co+Auto+Repair/data=!4m7!3m6!1s0x888e81c03d95e623:0x115b3e37f6330a11!8m2!3d32.3834622!4d-86.2621783!16s%2Fg%2F11yfzcwzhw!19sChIJI-aVPcCBjogREQoz9jc-WxE?authuser=0&hl=en&rclk=1,auto repair shop,Montgomery County,county,IN,2026-07-27T22:53:53,0x888e81c03d95e623:0x115b3e37f6330a11
Haigler Auto Services,(334) 272-2025,https://haiglerautoservice.com/,,"4287 Atlanta Hwy, Montgomery, AL 36109, United States",4287 Atlanta Hwy,Montgomery,AL,36109,4.3,130,Auto repair shop,,,https://www.google.com/maps/place/Haigler+Auto+Services/data=!4m7!3m6!1s0x888c2a225840b91d:0x25a11ef02d669581!8m2!3d32.3823138!4d-86.2345118!16s%2Fg%2F1wnbysmw!19sChIJHblAWCIqjIgRgZVmLfAeoSU?authuser=0&hl=en&rclk=1,auto repair shop,Montgomery County,county,IN,2026-07-27T22:53:53,0x888c2a225840b91d:0x25a11ef02d669581
DeKalb Auto Repair LLC,(256) 657-8936,,,"6845 AL-40, Valley Head, AL 35989, United States",6845 AL-40,Valley Head,AL,35989,5.0,3,Auto repair shop,,,https://www.google.com/maps/place/DeKalb+Auto+Repair+LLC/data=!4m7!3m6!1s0x8861d1ec4cc58bf1:0x5c83b37e51d03a8e!8m2!3d34.6054548!4d-85.7253157!16s%2Fg%2F11z3_6bf_k!19sChIJ8YvFTOzRYYgRjjrQUX6zg1w?authuser=0&hl=en&rclk=1,auto repair shop,DeKalb County,county,IN,2026-07-27T18:18:03,0x8861d1ec4cc58bf1:0x5c83b37e51d03a8e
