name,phone,website,email,address,street,city,state,zip,rating,review_count,category,hours_status,hours_detail,google_maps_url,search_keyword,search_place,search_type,search_state,scraped_at,place_id
1st Fix Auto Service,(504) 578-2973,http://1stfixautoservice.com/,stfixmobileautoservice@gmail.com,,,,LA,,4.8,25,Car repair and maintenance service,,,https://www.google.com/maps/place/1st+Fix+Auto+Service/data=!4m7!3m6!1s0x8620d37e4d8de0a5:0xeebf634654feaefb!8m2!3d30.0326605!4d-89.8825635!16s%2Fg%2F11nnp_2y0r!19sChIJpeCNTX7TIIYR-67-VEZjv-4?authuser=0&hl=en&rclk=1,auto repair shop,St. John the Baptist Parish,county,LA,2026-07-30T08:30:09,0x8620d37e4d8de0a5:0xeebf634654feaefb
5 Star Tires,(318) 253-9426,,,"Marksville, LA 71351, United States",,,LA,,4.6,10,Tire shop,,,https://www.google.com/maps/place/5+Star+Tires/data=!4m7!3m6!1s0x862511341f7d01d9:0xcdedbd375c269e13!8m2!3d31.1274122!4d-92.0618393!16s%2Fg%2F11sqc_h6rf!19sChIJ2QF9HzQRJYYRE54mXDe97c0?authuser=0&hl=en&rclk=1,auto repair shop,Avoyelles Parish,county,LA,2026-07-29T10:27:09,0x862511341f7d01d9:0xcdedbd375c269e13
Acadiana Roadside - Mobile mechanic,(337) 241-2279,https://www.facebook.com/share/1EyaCPvjK4/?mibextid=wwXIfr,,,,,LA,,4.9,34,Mechanic,,,https://www.google.com/maps/place/Acadiana+Roadside+-+Mobile+mechanic/data=!4m7!3m6!1s0x8624a509da0b63bd:0xfd5a2d4ad97b0a5a!8m2!3d30.2772705!4d-92.5926505!16s%2Fg%2F11xcwtsfp0!19sChIJvWML2gmlJIYRWgp72UotWv0?authuser=0&hl=en&rclk=1,auto repair shop,Acadia Parish,county,LA,2026-07-29T09:43:23,0x8624a509da0b63bd:0xfd5a2d4ad97b0a5a
Adams Mobile Mechanic,(337) 382-3694,,,,,,LA,,4.5,75,Mechanic,,,https://www.google.com/maps/place/Adams+Mobile+Mechanic/data=!4m7!3m6!1s0x8623659a5586d687:0x3af0831a5afc6517!8m2!3d30.1614014!4d-92.044017!16s%2Fg%2F11v1827l1t!19sChIJh9aGVZplI4YRF2X8WhqD8Do?authuser=0&hl=en&rclk=1,auto repair shop,Vermilion Parish,county,LA,2026-07-30T10:15:24,0x8623659a5586d687:0x3af0831a5afc6517
"All Around Tire & Mobile Services, LLC",(318) 521-0590,https://atmdieselservices.org/?utm_source=omg-gbp&utm_medium=webclick,allaroundtiremobile@gmail.com,,,,LA,,5.0,21,Car repair and maintenance service,,,"https://www.google.com/maps/place/All+Around+Tire+%26+Mobile+Services,+LLC/data=!4m7!3m6!1s0x63dbde3080fc76f3:0x59aff9b59151b49b!8m2!3d32.332133!4d-93.4560755!16s%2Fg%2F11ycj3xc9v!19sChIJ83b8gDDe22MRm7RRkbX5r1k?authuser=0&hl=en&rclk=1",auto repair shop,Bienville Parish,county,LA,2026-07-29T10:55:15,0x63dbde3080fc76f3:0x59aff9b59151b49b
American Lock & Key SWLA LLC,(337) 396-6798,,,,,,LA,,4.9,55,Locksmith,,,https://www.google.com/maps/place/American+Lock+%26+Key+SWLA+LLC/data=!4m7!3m6!1s0x863bad20c95d6367:0x26a5a7eadbbe9400!8m2!3d30.743894!4d-93.155857!16s%2Fg%2F11ftc0xw_z!19sChIJZ2NdySCtO4YRAJS-2-qnpSY?authuser=0&hl=en&rclk=1,auto repair shop,Beauregard Parish,county,LA,2026-07-29T10:38:56,0x863bad20c95d6367:0x26a5a7eadbbe9400
Auto-Mancy LLC - Mobile Mechanic,(985) 502-1578,http://www.auto-mancy.com/,mikew@auto-mancy.com,,,,LA,,4.7,13,Mechanic,,,https://www.google.com/maps/place/Auto-Mancy+LLC+-+Mobile+Mechanic/data=!4m7!3m6!1s0x5f0427bcb2649c3:0x69241661e145d4cb!8m2!3d30.3817176!4d-90.1200209!16s%2Fg%2F11lyn4rb3f!19sChIJw0kmy3tC8AURy9RF4WEWJGk?authuser=0&hl=en&rclk=1,auto repair shop,St. Tammany Parish,county,LA,2026-07-30T09:19:04,0x5f0427bcb2649c3:0x69241661e145d4cb
Bogalusa Auto Repair,(985) 732-2518,,,"Bogalusa, LA 70427, United States",,,LA,,4.8,37,Auto repair shop,,,https://www.google.com/maps/place/Bogalusa+Auto+Repair/data=!4m7!3m6!1s0x889d9b4d1ffc5fc7:0x965143f3333de972!8m2!3d30.77312!4d-89.8535885!16s%2Fg%2F1tx_743h!19sChIJx1_8H02bnYgRcuk9M_NDUZY?authuser=0&hl=en&rclk=1,auto repair shop,Washington Parish,county,LA,2026-07-30T10:37:12,0x889d9b4d1ffc5fc7:0x965143f3333de972
Cajun Roadside llc,(337) 321-0632,https://cajunroadside.com/?y_source=1_MTM1NDQ1NDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,impallari@gmail.com,,,,LA,,4.9,60,Towing service,,,https://www.google.com/maps/place/Cajun+Roadside+llc/data=!4m7!3m6!1s0x86237d1c6368a04f:0x6a4271549dcb8177!8m2!3d30.117131!4d-91.971973!16s%2Fg%2F11hbg8z_gj!19sChIJT6BoYxx9I4YRd4HLnVRxQmo?authuser=0&hl=en&rclk=1,auto repair shop,Vermilion Parish,county,LA,2026-07-30T10:15:24,0x86237d1c6368a04f:0x6a4271549dcb8177
Capers Certified- Mobile Mechanic,(206) 402-9490,https://caperscertified.com/,caperscertified@gmail.com,,,,LA,,5.0,27,Mechanic,,,https://www.google.com/maps/place/Capers+Certified-+Mobile+Mechanic/data=!4m7!3m6!1s0x40d5b679dd840c43:0xbb1e0d5e8b0d52d1!8m2!3d32.4767755!4d-92.969033!16s%2Fg%2F11nblkmhl2!19sChIJQwyE3Xm21UAR0VINi14NHrs?authuser=0&hl=en&rclk=1,auto repair shop,Bienville Parish,county,LA,2026-07-29T10:55:15,0x40d5b679dd840c43:0xbb1e0d5e8b0d52d1
